quad_id,scale,manual_excluded_50m,n_available_pixels,sample_index,mean_reflectance,pc1
sub50_1,50m,FALSE,175140,137033,0.22009530389481338,-6.658041474793194
sub50_1,50m,FALSE,175140,52740,0.19733704268655256,-8.725012101046289
sub50_1,50m,FALSE,175140,65410,0.2514722186856526,6.252087305813615
sub50_1,50m,FALSE,175140,69578,0.2911392836254244,8.237008029686534
sub50_1,50m,FALSE,175140,3912,0.1788994250511212,-14.445721502370809
sub50_1,50m,FALSE,175140,49209,0.2394874317432977,8.038337191323123
sub50_1,50m,FALSE,175140,164444,0.2314687561212985,5.041995875622188
sub50_1,50m,FALSE,175140,26306,0.17944917072780614,-9.676098677605898
sub50_1,50m,FALSE,175140,4924,0.18970595166271875,-11.171879543991086
sub50_1,50m,FALSE,175140,5457,0.2555244776366417,-1.450302951011642
sub50_1,50m,FALSE,175140,127957,0.20485685073793675,-7.635390746906698
sub50_1,50m,FALSE,175140,98202,0.2818868531237456,6.718015788798206
sub50_1,50m,FALSE,175140,115368,0.31165522022927106,14.904563128878333
sub50_1,50m,FALSE,175140,53471,0.2548684827090541,1.8653404546912573
sub50_1,50m,FALSE,175140,47379,0.18196887452124563,-6.299786979941875
sub50_1,50m,FALSE,175140,18054,0.29730198373787164,14.734567063924858
sub50_1,50m,FALSE,175140,21577,0.16319938640548917,-13.266916729345345
sub50_1,50m,FALSE,175140,70695,0.22125233461972604,-2.188377459915076
sub50_1,50m,FALSE,175140,32113,0.22233410237341628,-7.2156360939175785
sub50_1,50m,FALSE,175140,164211,0.16489131606284005,-9.856566609523146
sub50_1,50m,FALSE,175140,15178,0.15368461871350353,-15.26693368733526
sub50_1,50m,FALSE,175140,76312,0.1580175684133837,-13.33897236147411
sub50_1,50m,FALSE,175140,135932,0.19249506349375178,-10.760191474467323
sub50_1,50m,FALSE,175140,67908,0.26057167797664965,10.493783340913048
sub50_1,50m,FALSE,175140,166211,0.21029621001702448,-9.66267534065927
sub50_1,50m,FALSE,175140,92560,0.2688381468092114,12.36046494328006
sub50_1,50m,FALSE,175140,89735,0.26253999083895574,7.982941169163526
sub50_1,50m,FALSE,175140,42210,0.2149180922164651,0.584811065142806
sub50_1,50m,FALSE,175140,90461,0.260154729785998,9.923913737876191
sub50_1,50m,FALSE,175140,72645,0.24860994922659121,5.813660634553908
sub50_1,50m,FALSE,175140,15492,0.22296023354981065,-3.5818134439337133
sub50_1,50m,FALSE,175140,134171,0.2728552505497105,7.710243758631603
sub50_1,50m,FALSE,175140,144431,0.30653269281072065,19.944436061738234
sub50_1,50m,FALSE,175140,137888,0.25943972791491215,3.438305150344412
sub50_1,50m,FALSE,175140,89026,0.18714586974021571,-9.390432145441757
