"pca_basis","pca_label","quad_id","scale","manual_excluded_50m","n_available_pixels","sample_index","mean_reflectance","pc1","pc2","pc3"
"standardized_PCA","Standardized PCA","sub50_1","50m",FALSE,175140,137033,0.220095303894813,-8.87854410800641,7.46466674254944,-2.52947559103783
"standardized_PCA","Standardized PCA","sub50_1","50m",FALSE,175140,52740,0.197337042686553,-5.69008455538351,6.51229945986473,-2.1930449716614
"standardized_PCA","Standardized PCA","sub50_1","50m",FALSE,175140,65410,0.251472218685653,2.2172910675645,-6.1578496197248,-0.182451143702575
"standardized_PCA","Standardized PCA","sub50_1","50m",FALSE,175140,69578,0.291139283625424,-4.87145281968878,-1.61718335477873,-0.176127972379889
"standardized_PCA","Standardized PCA","sub50_1","50m",FALSE,175140,3912,0.178899425051121,-9.31311435872479,13.3932599233602,5.48882050342371
"standardized_PCA","Standardized PCA","sub50_1","50m",FALSE,175140,49209,0.239487431743298,8.9715875846059,-2.75039124794524,-1.33112333102845
"standardized_PCA","Standardized PCA","sub50_1","50m",FALSE,175140,164444,0.231468756121298,6.87248600557994,-0.167611387046329,-2.9249160591228
"standardized_PCA","Standardized PCA","sub50_1","50m",FALSE,175140,26306,0.179449170727806,-0.750670049739592,7.38445703401278,0.382810115310589
"standardized_PCA","Standardized PCA","sub50_1","50m",FALSE,175140,4924,0.189705951662719,-7.68747979307694,2.36653703709811,0.760050423453961
"standardized_PCA","Standardized PCA","sub50_1","50m",FALSE,175140,5457,0.255524477636642,-9.28196460610093,0.843863261989334,1.9491063853631
"standardized_PCA","Standardized PCA","sub50_1","50m",FALSE,175140,127957,0.204856850737937,-6.75325489119274,-1.39230293090434,-1.48868032325852
"standardized_PCA","Standardized PCA","sub50_1","50m",FALSE,175140,98202,0.281886853123746,-4.2999282283533,-3.18639467617744,3.12185495462017
"standardized_PCA","Standardized PCA","sub50_1","50m",FALSE,175140,115368,0.311655220229271,-1.09484582377757,-4.19672824202844,0.495283694863553
"standardized_PCA","Standardized PCA","sub50_1","50m",FALSE,175140,53471,0.254868482709054,-4.34770574085931,1.91039526181255,1.2405804733327
"standardized_PCA","Standardized PCA","sub50_1","50m",FALSE,175140,47379,0.181968874521246,3.62343032898555,0.214194282174191,-5.70910930465811
"standardized_PCA","Standardized PCA","sub50_1","50m",FALSE,175140,18054,0.297301983737872,2.7618213705206,3.03914868674882,2.35139806210492
"standardized_PCA","Standardized PCA","sub50_1","50m",FALSE,175140,21577,0.163199386405489,-2.60039111819855,-0.247953514221777,1.16508561749179
"standardized_PCA","Standardized PCA","sub50_1","50m",FALSE,175140,70695,0.221252334619726,-2.10455509217726,-5.15814737732487,-0.380782730547777
"standardized_PCA","Standardized PCA","sub50_1","50m",FALSE,175140,32113,0.222334102373416,-10.3452732608969,-2.45713915954391,1.26281651277968
"standardized_PCA","Standardized PCA","sub50_1","50m",FALSE,175140,164211,0.16489131606284,4.78803150496614,5.39215590742834,0.590153924379263
"standardized_PCA","Standardized PCA","sub50_1","50m",FALSE,175140,15178,0.153684618713504,-1.61326286388782,14.9732205246344,5.96830101884054
"standardized_PCA","Standardized PCA","sub50_1","50m",FALSE,175140,76312,0.158017568413384,-1.05460100234186,3.38273986716136,-3.22961056430605
"standardized_PCA","Standardized PCA","sub50_1","50m",FALSE,175140,135932,0.192495063493752,-7.88234638432774,1.01929482509635,1.0734209541659
"standardized_PCA","Standardized PCA","sub50_1","50m",FALSE,175140,67908,0.26057167797665,5.49053722162696,-5.30297934490429,-2.01340061289224
"standardized_PCA","Standardized PCA","sub50_1","50m",FALSE,175140,166211,0.210296210017024,-9.81982002403833,6.84211218446402,5.86387430918556
"standardized_PCA","Standardized PCA","sub50_1","50m",FALSE,175140,92560,0.268838146809211,5.99187459770135,0.466819015600106,-3.5307170599509
"standardized_PCA","Standardized PCA","sub50_1","50m",FALSE,175140,89735,0.262539990838956,2.71884890557588,-4.50020331228124,4.22654193240887
"standardized_PCA","Standardized PCA","sub50_1","50m",FALSE,175140,42210,0.214918092216465,6.16587144026728,-0.793553810570655,3.12659121340328
"standardized_PCA","Standardized PCA","sub50_1","50m",FALSE,175140,90461,0.260154729785998,6.39709087605076,-5.69363676369778,5.29769846381807
"standardized_PCA","Standardized PCA","sub50_1","50m",FALSE,175140,72645,0.248609949226591,2.98504796718053,-8.42455121836799,3.67171162979187
"standardized_PCA","Standardized PCA","sub50_1","50m",FALSE,175140,15492,0.222960233549811,-4.35566871299827,2.06098883024876,0.227727231553695
"standardized_PCA","Standardized PCA","sub50_1","50m",FALSE,175140,134171,0.27285525054971,-1.55161130453377,-0.529517412660107,-1.92674606201954
"standardized_PCA","Standardized PCA","sub50_1","50m",FALSE,175140,144431,0.306532692810721,6.79100058060333,-3.94662674820395,1.74860011833741
"standardized_PCA","Standardized PCA","sub50_1","50m",FALSE,175140,137888,0.259439727914912,-3.87632958969917,-5.0746632725162,0.832815732243519
"standardized_PCA","Standardized PCA","sub50_1","50m",FALSE,175140,89026,0.187145869740216,-2.74312139183301,9.7804469542794,0.851855162266933
"standardized_PCA","Standardized PCA","sub50_1","50m",FALSE,175140,144698,0.248512859887266,7.6106123542433,-5.19449353235414,3.18395797400309
"standardized_PCA","Standardized PCA","sub50_1","50m",FALSE,175140,34286,0.235737932984494,29.1502780040233,-6.60858027498435,-5.81402491384167
"standardized_PCA","Standardized PCA","sub50_1","50m",FALSE,175140,134451,0.221057914251323,9.36608056051413,-2.56339007617832,0.0636186063395611
"standardized_PCA","Standardized PCA","sub50_1","50m",FALSE,175140,47781,0.160181830594824,-7.13929784825549,5.12324353340716,1.30388218860566
"standardized_PCA","Standardized PCA","sub50_1","50m",FALSE,175140,69723,0.234936117279259,0.286557878232847,-4.73212843705268,1.07652742811198
"standardized_PCA","Standardized PCA","sub50_1","50m",FALSE,175140,49099,0.279119812637136,-1.55713358130237,-3.41061430271499,3.19253441166153
"standardized_PCA","Standardized PCA","sub50_1","50m",FALSE,175140,144567,0.257904125562261,-0.3667475569687,-6.03843927478402,-0.184922652774826
"standardized_PCA","Standardized PCA","sub50_1","50m",FALSE,175140,108143,0.291123956565029,-1.0736219006272,-1.10020949616611,-1.19428662335581
"standardized_PCA","Standardized PCA","sub50_1","50m",FALSE,175140,7411,0.161666264888361,-7.9596483497784,5.16644726283784,2.8561925526595
"standardized_PCA","Standardized PCA","sub50_1","50m",FALSE,175140,86471,0.248106092460885,0.77986290382743,-3.27350009854728,0.945577991711077
"standardized_PCA","Standardized PCA","sub50_1","50m",FALSE,175140,48138,0.249680241908539,-5.87410103743357,-0.0414233567421632,-2.50017413720056
"standardized_PCA","Standardized PCA","sub50_1","50m",FALSE,175140,116149,0.242538200244923,-5.12894837649924,10.8299185379278,0.869769997086984
"standardized_PCA","Standardized PCA","sub50_1","50m",FALSE,175140,86722,0.290899257860647,-4.02646854200872,0.973864648919229,0.601847884085558
"standardized_PCA","Standardized PCA","sub50_1","50m",FALSE,175140,90786,0.187177887405769,-8.68973678501746,9.99569403706623,3.41709820690729
"standardized_PCA","Standardized PCA","sub50_1","50m",FALSE,175140,64123,0.246191184013343,-10.7862432394676,4.85383406146564,0.134000452724303
"standardized_PCA","Standardized PCA","sub50_1","50m",FALSE,175140,39023,0.272285688052739,23.0099877138688,0.0413286998564051,-2.35697734595762
"standardized_PCA","Standardized PCA","sub50_1","50m",FALSE,175140,152982,0.182826600630175,-0.384666972843664,12.6781681516882,-0.216960580188718
"standardized_PCA","Standardized PCA","sub50_1","50m",FALSE,175140,132011,0.291479241072146,-0.537484562670135,-0.31021509652817,1.49576942672715
"standardized_PCA","Standardized PCA","sub50_1","50m",FALSE,175140,102316,0.240356700895123,-6.03103606936178,4.3003845967051,-3.12346946496824
"standardized_PCA","Standardized PCA","sub50_1","50m",FALSE,175140,16384,0.24907074794789,0.295333650341223,-1.17062544191036,-0.613033909642455
"standardized_PCA","Standardized PCA","sub50_1","50m",FALSE,175140,9097,0.219378154470839,0.311073227972343,3.33242969618676,-1.00136477394773
"standardized_PCA","Standardized PCA","sub50_1","50m",FALSE,175140,161769,0.282696923564288,1.99540512098951,-2.31559521524044,0.70241339972739
"standardized_PCA","Standardized PCA","sub50_1","50m",FALSE,175140,92271,0.25389341497409,-1.64771061187501,0.563001204098612,1.82929219387324
"standardized_PCA","Standardized PCA","sub50_1","50m",FALSE,175140,151469,0.274132223237952,-4.66313251655371,5.51103019226591,5.96477933775865
"standardized_PCA","Standardized PCA","sub50_1","50m",FALSE,175140,50581,0.275845119975938,5.45308590379768,-1.31436300950801,3.68907220191887
"standardized_PCA","Standardized PCA","sub50_1","50m",FALSE,175140,97227,0.273882175726462,-4.04360337047074,-0.49122474602513,0.481077956999893
"standardized_PCA","Standardized PCA","sub50_1","50m",FALSE,175140,125116,0.315367658168447,5.40534912625287,-0.736600951430496,3.58623394419628
"standardized_PCA","Standardized PCA","sub50_1","50m",FALSE,175140,537,0.273087778613587,-4.23508931214941,-0.248611109580787,0.738647419587504
"standardized_PCA","Standardized PCA","sub50_1","50m",FALSE,175140,89717,0.272609130548667,1.99860269523457,-2.93548158224032,0.960020019899917
"standardized_PCA","Standardized PCA","sub50_1","50m",FALSE,175140,83972,0.27499993989044,0.965541981874916,0.453082271443202,0.214303437764403
"standardized_PCA","Standardized PCA","sub50_1","50m",FALSE,175140,28253,0.259479270632233,3.71178201429745,0.319671297430207,-0.937522391057782
"standardized_PCA","Standardized PCA","sub50_1","50m",FALSE,175140,160194,0.245692795127138,19.3092540641784,4.73213809845173,4.59787203534756
"standardized_PCA","Standardized PCA","sub50_1","50m",FALSE,175140,29751,0.272563875137159,8.54156890638173,1.15099674142297,2.0719351385694
"standardized_PCA","Standardized PCA","sub50_1","50m",FALSE,175140,123762,0.309652848030664,4.50814828122239,-2.29992678781951,2.9358756042766
"standardized_PCA","Standardized PCA","sub50_1","50m",FALSE,175140,17442,0.21797665457957,-1.41270089319425,-0.84512533241377,-1.14480574128204
"standardized_PCA","Standardized PCA","sub50_1","50m",FALSE,175140,11171,0.261611754036208,-7.42534251436831,1.94368208566764,2.83848944462309
"standardized_PCA","Standardized PCA","sub50_1","50m",FALSE,175140,96631,0.331714255473584,-0.151443884374802,0.0951422956620527,2.25425140468838
"standardized_PCA","Standardized PCA","sub50_1","50m",FALSE,175140,17808,0.236505187924736,13.2954432354249,2.97569215531837,4.41854773100917
"standardized_PCA","Standardized PCA","sub50_1","50m",FALSE,175140,69252,0.261633801173942,1.95719363672001,-5.85859597474093,2.65212265393318
"standardized_PCA","Standardized PCA","sub50_1","50m",FALSE,175140,30182,0.285403342240236,10.4162813599513,-0.0279850274263995,0.232003810902222
"standardized_PCA","Standardized PCA","sub50_1","50m",FALSE,175140,152768,0.298604826465988,2.88990176692125,-7.00220410503465,-1.00507409867375
