"quad_id","pca_basis","pca_label","scale","manual_excluded_50m","n_available_pixels","mean_reflectance","pc1","pc2","pc3","sampled_pixels"
"sub50_1","regular_PCA","Regular PCA","50m",FALSE,175140,0.240454441906365,2.47928663103352,-0.253686000222953,-0.805723548082041,250
"sub50_10","regular_PCA","Regular PCA","50m",FALSE,190670,0.243845475165527,3.17965014162905,-0.446627265656793,-1.67762170056293,250
"sub50_11","regular_PCA","Regular PCA","50m",FALSE,176363,0.227489483324626,-0.793104211710521,-0.963873126000584,-0.435408660371822,250
"sub50_12","regular_PCA","Regular PCA","50m",FALSE,169495,0.221050820062684,0.0562245796861787,1.55890963623319,-1.61174394450807,250
"sub50_13","regular_PCA","Regular PCA","50m",FALSE,203330,0.228232698003354,1.90878832165544,2.37153734187186,0.033028106238664,250
"sub50_14","regular_PCA","Regular PCA","50m",FALSE,178478,0.21157939117351,-3.23063967121277,0.349056216180924,-0.579390389611716,250
"sub50_15","regular_PCA","Regular PCA","50m",FALSE,172782,0.21721405863947,-2.42644605920023,-0.0170470300563545,0.039380475150722,250
"sub50_16","regular_PCA","Regular PCA","50m",FALSE,157562,0.221719168337832,-1.87124902865313,-0.35374376364938,0.425078730911727,250
"sub50_17","regular_PCA","Regular PCA","50m",FALSE,170415,0.21188359108872,-1.82839078803276,1.89799484541967,-0.505901271107497,250
"sub50_18","regular_PCA","Regular PCA","50m",FALSE,175121,0.21605380926639,-0.961532649363122,2.14555995337182,-0.344252439726687,250
"sub50_19","regular_PCA","Regular PCA","50m",FALSE,200918,0.232066292596415,4.92939599409104,4.84602603578491,-0.655275088346307,250
"sub50_2","regular_PCA","Regular PCA","50m",FALSE,164543,0.221876266291461,-1.70603217843661,-0.624201223127209,-1.30729411931596,250
"sub50_20","regular_PCA","Regular PCA","50m",FALSE,181089,0.221571364775239,-0.58426104675233,0.695295197243785,-1.44252528171469,250
"sub50_21","regular_PCA","Regular PCA","50m",FALSE,185088,0.228160060575151,0.60711697656858,0.6131770579355,-0.565567760356728,250
"sub50_22","regular_PCA","Regular PCA","50m",FALSE,159220,0.209535102896154,-3.47649742321993,0.771448930107295,-0.127278449997036,250
"sub50_23","regular_PCA","Regular PCA","50m",FALSE,173628,0.22239927379846,-1.40886162925495,-0.224214467796351,-0.0447500609730909,250
"sub50_24","regular_PCA","Regular PCA","50m",FALSE,166816,0.216901510101295,-2.3171188687133,0.14219586722261,-0.0667524610986008,250
"sub50_25","regular_PCA","Regular PCA","50m",FALSE,200712,0.240198117005804,2.32830722105353,-0.266775360254151,0.652945401110982,250
"sub50_26","regular_PCA","Regular PCA","50m",FALSE,168753,0.225991601210957,-0.994280973394863,-0.673801554176119,0.308053632148212,250
"sub50_27","regular_PCA","Regular PCA","50m",FALSE,167394,0.224677063943941,-0.803685718891126,-0.0779826176188146,-0.619288535275448,250
"sub50_28","regular_PCA","Regular PCA","50m",FALSE,178528,0.22675906826869,-1.08873079202297,-0.876312419572904,-0.5111751471861,250
"sub50_29","regular_PCA","Regular PCA","50m",FALSE,172241,0.216236084072704,-0.530283612829104,2.15216284936721,-1.11497957163532,250
"sub50_3","regular_PCA","Regular PCA","50m",FALSE,170209,0.230596534264874,-0.508861189435774,-1.44630721489546,-1.18696124324129,250
"sub50_30","regular_PCA","Regular PCA","50m",FALSE,160607,0.223198820129376,-1.05774101414431,-0.048507068118488,0.0867086374903709,250
"sub50_31","regular_PCA","Regular PCA","50m",FALSE,187329,0.236470124631335,2.83448994259967,1.24568995472751,0.295329575851821,250
"sub50_32","regular_PCA","Regular PCA","50m",FALSE,162092,0.215656383423296,-2.3698727789658,0.257097486785002,-0.482437934145202,250
"sub50_33","regular_PCA","Regular PCA","50m",FALSE,178883,0.233786346380206,1.34350156768357,0.379832482294314,0.820357176134815,250
"sub50_34","regular_PCA","Regular PCA","50m",FALSE,182142,0.243104953162703,2.12582840080146,-1.29820161838755,0.950641652808778,250
"sub50_35","regular_PCA","Regular PCA","50m",FALSE,193953,0.244465293573231,2.67194060638376,-1.13294133919709,0.075712283411088,250
"sub50_36","regular_PCA","Regular PCA","50m",FALSE,174203,0.218361640385525,-2.10977115773139,0.0485039349003549,-0.881282388500736,250
"sub50_37","regular_PCA","Regular PCA","50m",FALSE,188112,0.223729096065183,-0.949915622587731,0.0860410331617255,-0.296211366119598,250
"sub50_38","regular_PCA","Regular PCA","50m",FALSE,172053,0.216066285539873,-2.40895547486444,0.021646443168778,-0.860010450146676,250
"sub50_39","regular_PCA","Regular PCA","50m",FALSE,201042,0.238809674675068,3.75829432854198,1.62047920372073,-0.827285367479168,250
"sub50_4","regular_PCA","Regular PCA","50m",FALSE,144375,0.219374717551355,-0.877947563744797,1.27600645236204,-0.589340232148885,250
"sub50_40","regular_PCA","Regular PCA","50m",FALSE,171408,0.221372538363708,-0.622684001544852,1.06572433718128,0.00540168937700957,250
"sub50_41","regular_PCA","Regular PCA","50m",FALSE,183905,0.238359707874015,1.49692412752369,-0.996917181440978,0.127575708615947,250
"sub50_42","regular_PCA","Regular PCA","50m",FALSE,177583,0.241330709382311,1.27619423882133,-1.68393808170678,1.38992856080788,250
"sub50_43","regular_PCA","Regular PCA","50m",FALSE,180378,0.22839279729801,0.33631182419849,0.396163708741624,1.0096601830555,250
"sub50_44","regular_PCA","Regular PCA","50m",FALSE,152090,0.197384856726682,-4.54516614438771,2.65776052413461,-0.555355179261818,250
"sub50_45","regular_PCA","Regular PCA","50m",FALSE,196375,0.231142074450319,3.61516940148304,3.51994661203538,-0.34524042572486,250
"sub50_46","regular_PCA","Regular PCA","50m",FALSE,178822,0.22879570850633,0.309368033080293,0.0477938091811705,-0.573261462792495,250
"sub50_47","regular_PCA","Regular PCA","50m",FALSE,180256,0.220200783946485,-1.3850573220708,0.270669777456663,-0.815616507835384,250
"sub50_48","regular_PCA","Regular PCA","50m",FALSE,141246,0.221614192504805,-1.8539317808187,-0.595881257733683,-0.546695763689694,250
"sub50_49","regular_PCA","Regular PCA","50m",FALSE,206958,0.237928351000475,2.24992340304537,0.175693368202998,0.421106104413978,250
"sub50_5","regular_PCA","Regular PCA","50m",FALSE,176981,0.225689909557073,-0.500991537009696,-0.0333819063114507,-0.152524722708496,250
"sub50_50","regular_PCA","Regular PCA","50m",FALSE,192715,0.237751613955498,1.30183597256306,-0.934611102145262,0.535943570002435,250
"sub50_51","regular_PCA","Regular PCA","50m",FALSE,200631,0.248851162686882,3.61483875396176,-0.851341866288018,0.98577785380407,250
