"pca_basis","pca_label","quad_id","scale","manual_excluded_50m","n_available_pixels","sample_index","mean_reflectance","pc1","pc2","pc3"
"regular_PCA","Regular PCA","sub50_1","50m",FALSE,175140,137033,0.220095303894813,-6.57603909530386,-4.4810626904189,1.75233116589742
"regular_PCA","Regular PCA","sub50_1","50m",FALSE,175140,52740,0.197337042686553,-8.62636380859213,-1.44670542925953,0.586176449538301
"regular_PCA","Regular PCA","sub50_1","50m",FALSE,175140,65410,0.251472218685653,6.22954775598105,0.631275599749464,-2.15116948528431
"regular_PCA","Regular PCA","sub50_1","50m",FALSE,175140,69578,0.291139283625424,8.23345374629534,-6.7453881930019,0.269532513795608
"regular_PCA","Regular PCA","sub50_1","50m",FALSE,175140,3912,0.178899425051121,-14.2852844001802,-2.8829971682268,-0.0908529481843147
"regular_PCA","Regular PCA","sub50_1","50m",FALSE,175140,49209,0.239487431743298,7.96563413813481,6.26374025270432,-0.0871961132798239
"regular_PCA","Regular PCA","sub50_1","50m",FALSE,175140,164444,0.231468756121298,4.99801680293156,4.9557332094799,-0.77779775437575
"regular_PCA","Regular PCA","sub50_1","50m",FALSE,175140,26306,0.179449170727806,-9.57516057359669,1.94487033545518,-0.612789295031483
"regular_PCA","Regular PCA","sub50_1","50m",FALSE,175140,4924,0.189705951662719,-11.0362628712204,-2.86692067629208,0.328600467605748
"regular_PCA","Regular PCA","sub50_1","50m",FALSE,175140,5457,0.255524477636642,-1.37359392311825,-8.22947685811081,-0.534055752474157
"regular_PCA","Regular PCA","sub50_1","50m",FALSE,175140,127957,0.204856850737937,-7.52565746597705,-2.85722079511675,0.0775476950561899
"regular_PCA","Regular PCA","sub50_1","50m",FALSE,175140,98202,0.281886853123746,6.73179113510668,-6.27026437860543,-1.13126439141013
"regular_PCA","Regular PCA","sub50_1","50m",FALSE,175140,115368,0.311655220229271,14.8503600366327,-4.86868623989799,-2.62836314139255
