"scale","region","region_label","brightness_column","metric","metric_label","n","pearson_r","r_squared","f_statistic","f_p_value","slope","intercept","spearman_r","spearman_p_value"
"10m","nir","NIR illum.","mean_nir_pixel_brightness","spec_spca_rao","Std PCA Rao's Q",1744,-0.208240049170294,0.0433639180784464,78.9641397812634,1.54129236348785e-18,-604.258129176172,426.021260861928,-0.350631628950393,1.29471161308738e-51
"10m","nir","NIR illum.","mean_nir_pixel_brightness","spec_spca_mean","Std PCA mean distance",1744,-0.35249532437145,0.124252953703734,247.158864271726,3.50182039466156e-52,-12.6171082445207,12.7450516196968,-0.433674259238639,6.79587242554082e-81
"20m","blue","Blue illum.","mean_blue_pixel_brightness","spec_sa","Spectral angle entropy",485,-0.125519579601665,0.0157551648633788,7.73155657754169,0.0056383373566889,-4.48667942544104,2.92258370499651,-0.16031532654463,0.000393478726442235
"20m","blue","Blue illum.","mean_blue_pixel_brightness","spec_alpha","Raw PCA alpha hull",436,0.591928594177683,0.350379460605168,234.082324497163,1.43223178932108e-42,34254.5701721784,-15.7724385049479,0.556968401361849,6.85446893063914e-37
"20m","blue","Blue illum.","mean_blue_pixel_brightness","spec_rao_q","Raw PCA Rao's Q",436,0.461857894705945,0.213312714902208,117.680455781168,2.01325959278023e-24,12257.5045002628,-63.9730011779832,0.550572227165027,6.36552164664932e-36
"20m","blue","Blue illum.","mean_blue_pixel_brightness","spec_pca_mean","Raw PCA mean distance",436,0.52402524217535,0.274602454436934,164.292622651655,4.0365448627502e-32,249.92504840386,3.14658517274955,0.503376751990977,2.18651644850719e-29
"20m","blue","Blue illum.","mean_blue_pixel_brightness","spec_spca_alpha","Std PCA alpha hull",436,0.244519523662078,0.0597897974519295,27.5989050361435,2.34417033675575e-07,13220.8053509327,391.639686231457,0.173765652181152,0.000266676450521233
"20m","blue","Blue illum.","mean_blue_pixel_brightness","spec_spca_rao","Std PCA Rao's Q",436,0.229511661978794,0.0526756029842681,24.1324004397964,1.27642633288513e-06,9498.37332357886,-31.6785441682278,0.219204159388196,3.83206850992079e-06
"20m","blue","Blue illum.","mean_blue_pixel_brightness","spec_spca_mean","Std PCA mean distance",436,0.205269075029587,0.042135393163502,19.091174788632,1.56081439794655e-05,110.035113769787,4.93433537558934,0.111662372580006,0.0196910610251922
"20m","green","Green illum.","mean_green_pixel_brightness","spec_sa","Spectral angle entropy",485,-0.0931176813044546,0.00867090257151804,4.22467771087024,0.0403772922355577,-1.83612854083852,2.91855804376617,-0.109043890955793,0.0162872800399256
"20m","green","Green illum.","mean_green_pixel_brightness","spec_alpha","Raw PCA alpha hull",436,0.719597562957299,0.517820652614084,466.080026971054,9.57634836212489e-71,22435.7099255494,-368.392815944307,0.715096821458899,1.72815116709357e-69
"20m","green","Green illum.","mean_green_pixel_brightness","spec_rao_q","Raw PCA Rao's Q",436,0.596730117999815,0.356086833728074,240.003922784708,2.09367517109718e-43,8532.4269298894,-213.087043634,0.750215186950224,5.36613389794704e-80
"20m","green","Green illum.","mean_green_pixel_brightness","spec_pca_mean","Raw PCA mean distance",436,0.701701321692371,0.49238474486482,420.978245057715,6.86742882545852e-66,180.306258724989,-0.181924227593873,0.724812485114275,3.12066483835943e-72
"20m","green","Green illum.","mean_green_pixel_brightness","spec_spca_alpha","Std PCA alpha hull",436,0.332393102247155,0.110485174421488,53.9064266497641,1.04677815179052e-12,9682.71842948395,208.982682577334,0.30793010061845,4.97552572379599e-11
"20m","green","Green illum.","mean_green_pixel_brightness","spec_spca_rao","Std PCA Rao's Q",436,0.272050529089888,0.0740114903780882,34.6883211728032,7.76305020923463e-09,6065.89630724162,-122.393161285414,0.31303059238126,2.28919835167418e-11
"20m","green","Green illum.","mean_green_pixel_brightness","spec_spca_mean","Std PCA mean distance",436,0.297752611296299,0.0886566175337652,42.220059694217,2.240755369421e-10,85.9932336775502,3.16821188832227,0.265207907876096,1.87882162740294e-08
"20m","red","Red illum.","mean_red_pixel_brightness","spec_sa","Spectral angle entropy",485,-0.370232247382671,0.137071917002023,76.722194139245,3.33939819814493e-17,-3.61083220043526,3.22457350098377,-0.386415440461051,1.01543627941139e-18
"20m","red","Red illum.","mean_red_pixel_brightness","spec_alpha","Raw PCA alpha hull",436,0.489481776086679,0.23959240912097,136.746538048491,1.19448501392246e-27,7469.88258709325,-156.117381978453,0.441184139943548,3.41771334280656e-22
"20m","red","Red illum.","mean_red_pixel_brightness","spec_rao_q","Raw PCA Rao's Q",436,0.417669586021977,0.174447883087769,91.7087845928704,7.78170476770851e-20,2923.17346336399,-141.267554954013,0.510693180691161,2.46826411851961e-30
"20m","red","Red illum.","mean_red_pixel_brightness","spec_pca_mean","Raw PCA mean distance",436,0.52156786969513,0.272033042698316,162.180905804687,8.73453684260679e-32,65.5988842959884,0.921640330891333,0.472897013588812,1.12075738291905e-25
"20m","red","Red illum.","mean_red_pixel_brightness","spec_spca_alpha","Std PCA alpha hull",436,-0.0659715812962014,0.00435224953872131,1.89713309644896,0.169109477197876,-940.652707607306,751.263176995727,-0.0765786107429144,0.110318457463156
"20m","red","Red illum.","mean_red_pixel_brightness","spec_spca_rao","Std PCA Rao's Q",436,0.045244401391675,0.00204705585729101,0.890244622533275,0.345935964896499,493.784405039889,100.120420265639,-0.0334678146199715,0.485791780850975
"20m","red","Red illum.","mean_red_pixel_brightness","spec_spca_mean","Std PCA mean distance",436,-0.0600070845885922,0.00360085020082246,1.5684166204597,0.211111544857812,-8.48278275217443,7.99819430976108,-0.127683140563953,0.00759908524512861
"20m","nir","NIR illum.","mean_nir_pixel_brightness","spec_sa","Spectral angle entropy",485,-0.519650558345293,0.270036702788575,178.677103280585,6.74279176249426e-35,-1.12492805672646,3.3609188874699,-0.546806290542623,3.64053996712632e-39
"20m","nir","NIR illum.","mean_nir_pixel_brightness","spec_alpha","Raw PCA alpha hull",436,0.202247097182432,0.0409038883187203,18.5093937032078,2.0907660850403e-05,693.859800451192,326.63517457999,0.133263450360768,0.00531861008008372
"20m","nir","NIR illum.","mean_nir_pixel_brightness","spec_rao_q","Raw PCA Rao's Q",436,0.147743263914565,0.0218280720321288,9.68478341187385,0.00198074152562497,232.456452799812,65.9819761341502,0.197561093909829,3.26184722432154e-05
"20m","nir","NIR illum.","mean_nir_pixel_brightness","spec_pca_mean","Raw PCA mean distance",436,0.254853123340399,0.0649501144763568,30.1463591613114,6.83100042229812e-08,7.20589227614852,4.63896021370661,0.167948329070617,0.000428556561409755
"20m","nir","NIR illum.","mean_nir_pixel_brightness","spec_spca_alpha","Std PCA alpha hull",436,-0.366067482740312,0.134005401919829,67.1578605249239,2.84421948893917e-15,-1173.39909882825,1200.12428538992,-0.387414694391095,4.60480913475959e-17
"20m","nir","NIR illum.","mean_nir_pixel_brightness","spec_spca_rao","Std PCA Rao's Q",436,-0.202732223583022,0.0411003544789166,18.6021070371306,1.99549954117563e-05,-497.40195557396,386.978419378977,-0.341521561768609,2.26200669166536e-13
"20m","nir","NIR illum.","mean_nir_pixel_brightness","spec_spca_mean","Std PCA mean distance",436,-0.35699577654456,0.127445984470654,63.3904105371725,1.49845551981445e-14,-11.3451718082399,12.4043042269553,-0.441089884801684,3.49588380320469e-22
"50m","blue","Blue illum.","mean_blue_pixel_brightness","spec_sa","Spectral angle entropy",80,-0.166230605307268,0.0276326141408207,2.21659419508354,0.140566182156453,-6.59978024507743,2.9765184833129,-0.232114392873887,0.0382834576049779
"50m","blue","Blue illum.","mean_blue_pixel_brightness","spec_alpha","Raw PCA alpha hull",74,0.524300873030857,0.274891405460918,27.2954717986305,1.63068197105334e-06,33012.8981073634,79.2331665961223,0.471691965938541,2.21255303280097e-05
"50m","blue","Blue illum.","mean_blue_pixel_brightness","spec_rao_q","Raw PCA Rao's Q",74,0.365001735912834,0.133226267219382,11.0666612023686,0.00138626437028491,8788.31690155078,19.4499197878061,0.443643095149944,7.52743615463177e-05
"50m","blue","Blue illum.","mean_blue_pixel_brightness","spec_pca_mean","Raw PCA mean distance",74,0.459069983465747,0.210745249719241,19.2252982631877,3.88988817266289e-05,204.633016934194,4.42758116428889,0.441095890410959,8.36907920195662e-05
"50m","blue","Blue illum.","mean_blue_pixel_brightness","spec_spca_alpha","Std PCA alpha hull",74,0.235232469126519,0.0553343145313587,4.21743978588717,0.0436431658410017,14821.2129105215,401.78870586567,0.0849611255090707,0.471695341369171
"50m","blue","Blue illum.","mean_blue_pixel_brightness","spec_spca_rao","Std PCA Rao's Q",74,0.0810274715446123,0.00656545114491297,0.475836564148615,0.492531676424412,2997.39136002638,105.549757311642,0.168130322102925,0.152171285048016
"50m","blue","Blue illum.","mean_blue_pixel_brightness","spec_spca_mean","Std PCA mean distance",74,0.137086305293475,0.018792655099016,1.37898597494263,0.244143411222163,73.8855427042007,5.87622491062806,0.0124546464272492,0.916122712342313
"50m","green","Green illum.","mean_green_pixel_brightness","spec_sa","Spectral angle entropy",80,-0.0510388730503559,0.00260496656225038,0.203718070617614,0.652988744278517,-1.07110984469835,2.8962012436538,-0.0618143459915612,0.585957066459369
"50m","green","Green illum.","mean_green_pixel_brightness","spec_alpha","Raw PCA alpha hull",74,0.746432836245672,0.557161979025758,90.5876654439027,2.28582308636184e-14,24839.8423861389,-410.244244247251,0.708374676045909,1.66938049394132e-12
"50m","green","Green illum.","mean_green_pixel_brightness","spec_rao_q","Raw PCA Rao's Q",74,0.606351050366524,0.367661596280587,41.86308276786,1.03192122079529e-08,7715.95955117673,-161.484519192172,0.708374676045909,1.66938049394132e-12
"50m","green","Green illum.","mean_green_pixel_brightness","spec_pca_mean","Raw PCA mean distance",74,0.729791367404713,0.53259543993844,82.0421428291525,1.6311842270855e-13,171.929563654821,0.569475857128492,0.717734172528693,6.20229711651475e-13
"50m","green","Green illum.","mean_green_pixel_brightness","spec_spca_alpha","Std PCA alpha hull",74,0.470811045273076,0.221663040351126,20.5049223314295,2.30308890621456e-05,15677.9094156548,-25.6503848819568,0.355675675675676,0.00187138868006693
"50m","green","Green illum.","mean_green_pixel_brightness","spec_spca_rao","Std PCA Rao's Q",74,0.244610487784948,0.0598342907343902,4.58224426866329,0.0356921149312919,4782.34900615005,-54.8510328008701,0.394179933358015,0.000510916950804824
"50m","green","Green illum.","mean_green_pixel_brightness","spec_spca_mean","Std PCA mean distance",74,0.385100619812691,0.148302487380119,12.5370556249753,0.000703942305224562,109.696972742958,2.29806595975579,0.328011847463902,0.00433064987943126
"50m","red","Red illum.","mean_red_pixel_brightness","spec_sa","Spectral angle entropy",80,-0.564338261215982,0.318477673072278,36.4496620552714,4.9858741236845e-08,-5.78798907622859,3.47384028316472,-0.532466010314112,3.70143454743425e-07
"50m","red","Red illum.","mean_red_pixel_brightness","spec_alpha","Raw PCA alpha hull",74,0.347817455022479,0.120976982018314,9.90911788102928,0.00239329605237538,5886.59492890908,88.5826087100786,0.33224731580896,0.00382697217204846
