"scale","region","region_label","brightness_column","metric","metric_label","n","pearson_r","r_squared","f_statistic","f_p_value","slope","intercept","spearman_r","spearman_p_value"
"10m","red","Red illum.","mean_red_pixel_brightness","spec_sa","Spectral angle entropy",1903,-0.329483086355402,0.108559104194281,231.502568531818,2.02151533670026e-49,-3.03632602536412,3.17061723663169,-0.334839044519409,4.44438999243626e-51
"10m","red","Red illum.","mean_red_pixel_brightness","spec_alpha","Raw PCA alpha hull",1741,0.572623899674602,0.327898130478549,848.405390254604,3.00726010030893e-152,7627.116362608,-288.159065895942,0.539655712482097,3.66690754859466e-132
"10m","red","Red illum.","mean_red_pixel_brightness","spec_rao_q","Raw PCA Rao's Q",1744,0.36707848240708,0.134746612246285,271.283073669792,9.2647074905567e-57,2832.92788096193,-145.993284908191,0.506866540544329,1.78212636179351e-114
"10m","red","Red illum.","mean_red_pixel_brightness","spec_pca_mean","Raw PCA mean distance",1744,0.49760797111196,0.247613692914162,573.299977676572,9.19860772307607e-110,66.5475661592907,0.429832561792875,0.466548600226199,5.69383599451788e-95
"10m","red","Red illum.","mean_red_pixel_brightness","spec_convex","Raw PCA convex hull",1744,0.425324787813627,0.180901175128707,384.727504796169,1.47038965251706e-77,18369.8511175085,-914.309580007139,0.440486991999438,1.0982512024237e-83
"10m","red","Red illum.","mean_red_pixel_brightness","spec_hull3d_v","Raw PCA 3D hull volume",1744,0.406371408569712,0.165137721702932,344.571696056611,2.49864793976296e-70,176261.061950939,-11267.91642221,0.45559325858263,4.15973269316423e-90
"10m","red","Red illum.","mean_red_pixel_brightness","spec_hull3d_a","Raw PCA 3D hull area",1744,0.430178192486889,0.185053277291287,395.56304732407,1.73845702876029e-79,44420.1702533401,-2157.22654634691,0.453685058348812,2.80685196390827e-89
"10m","red","Red illum.","mean_red_pixel_brightness","spec_spca_alpha","Std PCA alpha hull",1744,0.12550939016216,0.0157526070188774,27.8802276973984,1.45256004763199e-07,1589.77750750003,376.222463336889,0.0922804663923393,0.000113749863102847
"10m","red","Red illum.","mean_red_pixel_brightness","spec_spca_rao","Std PCA Rao's Q",1744,0.0317724812715958,0.0010094905661539,1.7603095821568,0.184759795317208,403.502933239121,99.7949377851709,-0.0709544408128181,0.00302921963267925
"10m","red","Red illum.","mean_red_pixel_brightness","spec_spca_mean","Std PCA mean distance",1744,-0.0543233810114701,0.00295102972451736,5.15590902088678,0.0232890287595146,-8.51001998356845,7.75976191378128,-0.145244756076886,1.1040664104072e-09
"10m","red","Red illum.","mean_red_pixel_brightness","spec_spca_convex","Std PCA convex hull",1744,0.187931134415254,0.0353181112826042,63.7766196026512,2.50826520896564e-15,17625.6533791554,-14.6876084808969,0.175403628506448,1.61797894775062e-13
"10m","red","Red illum.","mean_red_pixel_brightness","spec_spca_hull3d_v","Std PCA 3D hull volume",1744,0.160810575326754,0.0258600411369216,46.2440650859793,1.42994911120649e-11,321045.838322688,-5483.65805923649,0.150080350845299,3.00052040141474e-10
"10m","red","Red illum.","mean_red_pixel_brightness","spec_spca_hull3d_a","Std PCA 3D hull area",1744,0.174449872540963,0.0304327580295582,54.6778626511255,2.1951423859574e-13,43009.4642512348,707.411977165505,0.158927517782358,2.47715447662371e-11
"10m","nir","NIR illum.","mean_nir_pixel_brightness","spec_sa","Spectral angle entropy",1903,-0.445369302410225,0.198353815529372,470.370358676797,2.23017439167202e-93,-0.933451321992175,3.27936324501663,-0.452131085421764,1.60303541668133e-96
"10m","nir","NIR illum.","mean_nir_pixel_brightness","spec_alpha","Raw PCA alpha hull",1741,0.291763462337864,0.0851259179553783,161.808028262826,1.65092632408826e-35,888.092576387506,118.972109103793,0.261420576566006,1.34931433834453e-28
"10m","nir","NIR illum.","mean_nir_pixel_brightness","spec_rao_q","Raw PCA Rao's Q",1744,0.0954644609464323,0.00911346330379292,16.0216659398154,6.52489714594896e-05,168.337547630746,80.7710839070324,0.217105178799521,4.74515544078739e-20
"10m","nir","NIR illum.","mean_nir_pixel_brightness","spec_pca_mean","Raw PCA mean distance",1744,0.217314513190814,0.0472255976433604,86.344669725856,4.36253228861401e-20,6.64043086754506,4.49998940150324,0.183422592192743,1.16288312886875e-14
"10m","nir","NIR illum.","mean_nir_pixel_brightness","spec_convex","Raw PCA convex hull",1744,0.187621828385394,0.0352019504866783,63.5592057620002,2.79005881330744e-15,1851.53099519688,200.564610972036,0.218668470801569,2.52736719518124e-20
"10m","nir","NIR illum.","mean_nir_pixel_brightness","spec_hull3d_v","Raw PCA 3D hull volume",1744,0.137472474250627,0.0188986811765893,33.5556603359781,8.20022053729207e-09,13624.2206193858,1367.07481698178,0.194505181269905,2.49886090618714e-16
"10m","nir","NIR illum.","mean_nir_pixel_brightness","spec_hull3d_a","Raw PCA 3D hull area",1744,0.175694662802873,0.0308686145374153,55.4858993639036,1.47365621871378e-13,4145.27242595091,693.944732036225,0.207865856392557,1.77913790890336e-18
"10m","nir","NIR illum.","mean_nir_pixel_brightness","spec_spca_alpha","Std PCA alpha hull",1744,-0.187189839852042,0.0350400361438332,63.2562440400436,3.23639005191105e-15,-541.757686551834,801.143503126602,-0.201385096277814,2.04521178539324e-17
"10m","nir","NIR illum.","mean_nir_pixel_brightness","spec_spca_rao","Std PCA Rao's Q",1744,-0.208240049170294,0.0433639180784464,78.9641397812634,1.54129236348785e-18,-604.258129176172,426.021260861928,-0.350631628950393,1.29471161308738e-51
"10m","nir","NIR illum.","mean_nir_pixel_brightness","spec_spca_mean","Std PCA mean distance",1744,-0.35249532437145,0.124252953703734,247.158864271726,3.50182039466156e-52,-12.6171082445207,12.7450516196968,-0.433674259238639,6.79587242554082e-81
"10m","nir","NIR illum.","mean_nir_pixel_brightness","spec_spca_convex","Std PCA convex hull",1744,-0.0146763792409276,0.000215396107623528,0.375300857824149,0.540208891288171,-314.505392086893,2033.33405335863,-0.0106375262020265,0.657093058523943
"10m","nir","NIR illum.","mean_nir_pixel_brightness","spec_spca_hull3d_v","Std PCA 3D hull volume",1744,-0.0399731767249351,0.00159785485748289,2.78791784981379,0.0951572286415298,-18234.0769331649,37671.2588709584,-0.0415522526401784,0.0827801192550317
"10m","nir","NIR illum.","mean_nir_pixel_brightness","spec_spca_hull3d_a","Std PCA 3D hull area",1744,-0.028901760707354,0.000835311771985146,1.4563295960536,0.227678873315898,-1628.09730572951,6107.58549857978,-0.0277852829411658,0.246154910050532
"20m","blue","Blue illum.","mean_blue_pixel_brightness","spec_sa","Spectral angle entropy",485,-0.125519579601665,0.0157551648633788,7.73155657754169,0.0056383373566889,-4.48667942544104,2.92258370499651,-0.16031532654463,0.000393478726442235
