"quad_id","scale","brightness_n_pixels","mean_pixel_brightness","median_pixel_brightness","sd_pixel_brightness","blue_brightness_n_pixels","mean_blue_pixel_brightness","green_brightness_n_pixels","mean_green_pixel_brightness","red_brightness_n_pixels","mean_red_pixel_brightness","nir_brightness_n_pixels","mean_nir_pixel_brightness"
"1015_b","10m",4428,0.0414833003809034,0.0398614425212145,0.008345611430963,4428,0.0150045035448311,4428,0.0344346533038951,4428,0.0764395752452998,4428,0.340195113599768
"1015_c","10m",3443,0.0390740731985866,0.0379033610224724,0.00620170125753788,3443,0.0154448074783105,3443,0.0327053046848669,3443,0.074070197735003,3443,0.321090504567753
"1015_d","10m",3668,0.0381231069175837,0.0371810551732779,0.00534208104220711,3668,0.0151437790433005,3668,0.0318975180161631,3668,0.0722125777286155,3668,0.328249169627454
"1016_a","10m",1177,0.034183167435463,0.0334905833005905,0.00300266765512177,1177,0.0104764102828287,1177,0.0275938671070615,1177,0.0663924990467151,1177,0.299670105116219
"1016_b","10m",3459,0.0381103350906642,0.0370193831622601,0.00555106932457547,3459,0.0130480406629517,3459,0.0310570602045796,3459,0.07049273472417,3459,0.295805361684488
"1016_c","10m",5061,0.0389289434110782,0.0382041037082672,0.0055664983271435,5061,0.0120785779503273,5061,0.0312860869589414,5061,0.0771845951161043,5061,0.33736753240743
"1016_d","10m",5267,0.0401104623107026,0.0392626449465752,0.00610875672690596,5267,0.0126609156972932,5267,0.0323096182145902,5267,0.0833993038483134,5267,0.377571521842471
"1017_a","10m",4329,0.0427051591997776,0.0394377037882805,0.0105861997928273,4329,0.0139321701494942,4329,0.0342070909244015,4329,0.0834351069955119,4329,0.356873058789012
"1017_b","10m",4401,0.0407722305063767,0.0402370616793633,0.00636748791828705,4401,0.0124747982014969,4401,0.0327344785691606,4401,0.0827547834952028,4401,0.369752473620001
"1017_c","10m",6969,0.0422091756089784,0.0418475791811943,0.00661331292950146,6969,0.0138158985772934,6969,0.0336100828323267,6969,0.0835120553949445,6969,0.369365620751975
