quad_id,scale,elev_mean,tri5_mean,tri11_mean,tri21_mean,Name,sub_id
0_a,10m,220.029150704029,1.8504117589734126,8.889335765591161,31.96464781473681,0,0_a
0_b,10m,219.05897874331933,1.4612715965596,7.336837180541441,28.08010729375234,0,0_b
0_c,10m,217.45319058699425,1.3219035945648372,6.449050811264663,24.094852807462253,0,0_c
0_d,10m,218.0976546375481,1.438136230046992,6.995490177364714,26.64273071727883,0,0_d
1_a,10m,215.94350246235487,1.722193688340531,8.197889423311645,28.431486521152966,1,1_a
1_b,10m,215.5824371278391,1.428506924156912,6.752654231274284,23.768370261105414,1,1_b
1_c,10m,213.95526413736616,1.1340203387300207,5.424588770745904,19.56276515863095,1,1_c
1_d,10m,213.75214879293324,1.3736909768175007,6.634220094415338,23.794450855067492,1,1_d
100_a,10m,220.80899560422958,2.4260694648850682,11.633183563045778,40.54401628187689,100,100_a
100_b,10m,220.65064775213548,2.0931202077450113,10.167429362654063,35.936436055786594,100,100_b
100_c,10m,218.48639880221677,1.4094597545992171,7.010791328288749,28.10027734815203,100,100_c
100_d,10m,218.18267789406363,1.3760607444130097,6.986172547460997,28.037284522210452,100,100_d
2_a,10m,212.37769031939547,0.9593419186364397,4.212465137169297,14.942194374080762,2,2_a
2_b,10m,212.6996590910491,1.0952498042225234,4.579760759344225,15.52975873188659,2,2_b
2_c,10m,211.72901052201775,1.237134004056704,4.505036609802385,11.952841789032945,2,2_c
2_d,10m,211.83059144600762,0.8659793412425596,3.488287820563147,9.934582663864191,2,2_d
101_a,10m,216.4652294046992,1.65247853125166,7.741517940683054,27.81902576852622,101,101_a
101_b,10m,216.22216236838977,1.904681455294576,9.048787584162245,31.312721056138276,101,101_b
101_c,10m,213.57682402200953,1.7040013410357562,8.219599335264824,28.92059657113931,101,101_c
101_d,10m,214.13711313382368,2.4519588928652603,10.491954744801431,34.431783590962404,101,101_d
200_a,10m,222.2177638200135,2.2107568744933634,10.748036942359173,38.818221587542794,200,200_a
200_b,10m,220.8297347324637,2.4974662967380152,11.9987029697456,42.023052540087455,200,200_b
200_c,10m,218.40094677075783,1.3841287017787236,7.212833956412953,29.833575045067956,200,200_c
200_d,10m,220.31365221464756,2.0385418046122523,9.605357707818603,32.95266820911274,200,200_d
3_a,10m,211.33067573364914,1.6193110285086858,5.467880061556899,13.802676497219329,3,3_a
3_b,10m,211.80463461676783,0.7085156036695144,3.200286499722802,11.000387170982714,3,3_b
3_c,10m,212.65784736315695,0.8295165681562048,3.860603687623523,14.19512732705464,3,3_c
3_d,10m,212.39732611968273,0.9664461156811022,4.698705643379463,15.815191957751573,3,3_d
102_a,10m,211.9417369886184,1.3274037554413523,6.553904638311801,24.99223151541804,102,102_a
102_b,10m,211.94486462545532,0.7998853644220196,3.874248895143267,16.422293933254092,102,102_b
102_c,10m,211.4034810852702,0.47883308902070154,1.9989920104789303,8.56026983857532,102,102_c
102_d,10m,211.00969287553892,1.5786940520330874,5.138923386751522,13.042054389510001,102,102_d
201_a,10m,218.9359478834114,1.5251691604543436,7.40824943943647,28.04763156520751,201,201_a
201_b,10m,217.39160666566562,1.233726113286511,6.151174117568206,24.770295304672285,201,201_b
201_c,10m,215.89134590110584,2.2186624069058056,10.907813172459212,39.0452830164556,201,201_c
201_d,10m,217.23995819641897,1.8528062848244788,9.27177736621493,36.07250552152688,201,201_d
300_a,10m,225.80093456262048,1.9843756950339873,9.620756595076132,34.4522085980723,300,300_a
300_b,10m,224.0697929543457,1.9223077342584591,9.565700531901664,36.39156980510167,300,300_b
300_c,10m,222.29071175225502,1.7028516718700555,8.469002775357202,31.885461530201024,300,300_c
300_d,10m,223.78833626934284,1.6813147525271224,8.252016020198786,30.545082319470193,300,300_d
4_a,10m,213.5942018840116,1.215190922296816,5.33176225002469,17.884869052642667,4,4_a
4_b,10m,213.85044728979008,1.1000948936899473,5.114765252974291,18.629681318687755,4,4_b
4_c,10m,215.35806117247304,1.3314264747110218,6.432708786527666,23.064700556254696,4,4_c
4_d,10m,214.9264244483047,1.7992121514585435,6.90554678823884,21.937677503780993,4,4_d
103_a,10m,210.9587429445424,1.4809654097516354,4.812785857954829,11.605873682066859,103,103_a
103_b,10m,211.11980688175493,1.166327048408652,4.522952413418393,12.409737454333237,103,103_b
103_c,10m,212.03968411603665,1.5525281348591975,5.884208686905789,16.829784941735376,103,103_c
103_d,10m,211.7210095943894,1.1261256869398608,4.677677881859031,15.459920801719495,103,103_d
202_a,10m,214.1095576356947,3.1981091430004227,15.29489145957646,49.174903059227546,202,202_a
202_b,10m,212.39435535592042,2.8143378977998803,13.210642855283279,42.05104679752791,202,202_b
202_c,10m,210.69847953982244,1.2066330085907697,4.909804675357843,19.753918201673834,202,202_c
202_d,10m,210.66001049265722,2.1766489688427693,9.92022886687193,38.100779329144856,202,202_d
301_a,10m,221.76444197952446,1.8155121040465403,8.763631228634159,31.151187489904622,301,301_a
301_b,10m,220.42939802862216,1.7644544072306163,8.529781507772292,30.9594165212783,301,301_b
301_c,10m,218.2932007108127,1.8546543966468987,8.878843003135769,32.160808769307714,301,301_c
