quad_id,scale,elev_mean,tri5_mean,tri11_mean,tri21_mean,Name
sub50_1,50m,216.25268564412988,1.6433111281416959,7.868378125193739,28.44591349480093,sub50_1
sub50_2,50m,221.12317276940064,1.8196009469931973,8.83503074408892,32.202685307580715,sub50_2
sub50_3,50m,217.76914290395442,1.9482197931080492,9.388562060214522,33.70614346704861,sub50_3
sub50_4,50m,208.47215285483855,2.443661686905831,10.979164097380032,35.41881497323428,sub50_4
sub50_5,50m,211.60145441241724,1.5041369352787912,6.760276636425031,23.75739969417075,sub50_5
sub50_6,50m,213.32413867894195,1.782894340358307,8.156338510375251,28.655442690818173,sub50_6
sub50_7,50m,210.57789565218374,1.5071921504731467,7.0361922828974635,25.1550625577684,sub50_7
sub50_8,50m,206.64283005759782,1.9431936679028006,8.927143398011044,31.02727707167641,sub50_8
sub50_9,50m,212.62394301088173,1.2055675227529894,5.054210234890068,16.609120160789292,sub50_9
sub50_10,50m,212.70748378446876,2.2742529306157584,10.454257943334134,35.39302025863841,sub50_10
sub50_11,50m,209.33200977545266,1.6445060112971244,7.5206008318606505,25.237453539726992,sub50_11
sub50_12,50m,208.7796885038923,1.8336253741988033,7.722961365407917,23.549925038710576,sub50_12
sub50_13,50m,216.98406210843774,1.651348895600199,7.439524957018792,25.986052842705817,sub50_13
sub50_14,50m,222.52753994404208,1.2445458985303501,5.675889536129675,20.505372966903984,sub50_14
sub50_15,50m,221.9197677829565,1.720392463370669,8.126308060989455,28.98904242204009,sub50_15
sub50_16,50m,219.092205348388,2.146056569617237,10.105628119579277,36.120090427889,sub50_16
sub50_17,50m,220.3585511601794,1.6099490306433621,7.550004663389714,26.86230701399419,sub50_17
sub50_18,50m,218.36664867643378,1.1800280575179094,5.527979729502471,20.095418691633004,sub50_18
sub50_19,50m,212.31861686230584,1.442260558966851,6.348718913926508,22.01080455627702,sub50_19
sub50_20,50m,210.76299149301423,2.044124983209992,9.566665212245692,32.000830301569465,sub50_20
sub50_21,50m,220.41353758374703,1.7606614142234553,8.026024447891876,27.605418982068063,sub50_21
sub50_22,50m,228.37856502831903,1.2470396981547593,5.556081066011891,19.85785077628857,sub50_22
sub50_23,50m,230.73130935754662,1.3349764869530465,6.029013185331811,21.644993374363057,sub50_23
sub50_24,50m,228.91016026271882,1.1591892549167448,5.240286728126282,18.511195731218027,sub50_24
sub50_25,50m,231.13029440938746,1.8861717761585974,8.780423638938448,31.542486930582353,sub50_25
sub50_26,50m,224.42426127190026,1.5523753814453607,7.06971576104645,25.007352769628774,sub50_26
sub50_27,50m,216.42623512134207,1.612741386846007,7.326998888872962,25.34076953228438,sub50_27
sub50_28,50m,212.20951483781766,2.7347356323953447,13.05894527929494,44.23216227516619,sub50_28
sub50_29,50m,221.995818246904,1.601216842374048,7.2167671984593245,25.164359870707134,sub50_29
sub50_30,50m,229.76442631135671,1.702221149744405,7.585847348268639,25.935167573680417,sub50_30
sub50_31,50m,232.64681764064022,1.4845789133786904,6.203339301467103,21.641671102084903,sub50_31
sub50_32,50m,231.7313912183264,1.075879617772916,4.474111396859709,15.301537962629117,sub50_32
sub50_33,50m,239.49558524002094,1.8762901823676559,8.622155794096791,30.56965126958028,sub50_33
sub50_34,50m,230.26657645024542,1.7637272372870003,8.399042288841477,30.6142438027848,sub50_34
sub50_35,50m,220.1717006229969,2.3161092336564644,10.653798768030905,35.747578535991146,sub50_35
sub50_36,50m,213.22633486346635,2.8535548366678047,13.362547882166206,45.73280741311373,sub50_36
sub50_37,50m,217.42616407524773,2.100173276896321,10.023618058132746,36.02660526578981,sub50_37
sub50_38,50m,219.19530544888363,2.5122696323033398,12.005711482089383,42.364106777939824,sub50_38
sub50_39,50m,221.05013735089162,2.1538150022745977,10.350569630685229,36.913766936909184,sub50_39
sub50_40,50m,224.08340850072088,1.7067319105194279,8.093251444278467,28.729811157596217,sub50_40
sub50_41,50m,246.3899302948879,2.187546688030514,10.1575286516032,36.018012053913395,sub50_41
sub50_42,50m,236.7718184942608,2.06302501178646,9.531260291728369,33.274656747083824,sub50_42
sub50_43,50m,228.51978044796923,1.7736785389093868,8.358966928223479,30.22603716252399,sub50_43
sub50_44,50m,217.76114796389516,2.5237816441591527,12.031429643766602,43.20726241120044,sub50_44
sub50_45,50m,207.50273278823425,2.693798821052957,11.647795964209722,37.417946228301275,sub50_45
sub50_46,50m,207.38454915687072,1.872681507990394,8.215249586645134,26.455230603656705,sub50_46
sub50_47,50m,209.35745470379175,1.4043160039243203,6.3852037119550085,22.459930352484758,sub50_47
sub50_48,50m,212.77547353283893,1.649648400376941,7.655104793521852,26.922285863396617,sub50_48
sub50_49,50m,255.30348072967018,2.4317718425624095,11.17908943686523,38.721520214437646,sub50_49
sub50_50,50m,245.89026584192834,2.1948085534011827,10.157019097071116,35.85379596948917,sub50_50
sub50_51,50m,235.31762929666863,2.341111138637435,10.846204133769414,38.50534392150056,sub50_51
sub50_52,50m,223.1200137009719,1.9423895518691596,9.211100333086481,33.344229381304686,sub50_52
sub50_53,50m,210.6931236046244,2.020477661191617,9.534316144212777,33.68990724667451,sub50_53
sub50_54,50m,207.32136495422614,1.621549993369496,7.167152478665052,23.210990099758583,sub50_54
sub50_55,50m,208.38897627881363,0.9137269536507815,3.9297777733493744,13.192543348035645,sub50_55
sub50_56,50m,210.98340250594828,1.0907729095387222,4.905708946548015,17.011280524191047,sub50_56
sub50_57,50m,265.13313483755167,2.0133778242703384,9.443197658314782,34.02473321421626,sub50_57
sub50_58,50m,255.07143168078193,2.624602077804099,11.54194489051134,39.55407562637194,sub50_58
sub50_59,50m,242.0498494915753,2.4392858271435065,11.13892165396355,39.71377850139392,sub50_59
sub50_60,50m,226.6929581527495,2.8411924382293767,13.316912532331605,46.615923025687785,sub50_60
sub50_61,50m,215.22466061300995,2.3768964443561145,11.454721737996868,41.28490523668777,sub50_61
sub50_62,50m,206.06941586012536,2.7242510183975153,11.586414725009943,33.58771350999963,sub50_62
sub50_63,50m,206.86503113666123,1.4661974244436429,6.5669764972158235,21.829422999194954,sub50_63
sub50_64,50m,214.5997590005555,1.8484424709799718,8.859976698075249,31.71896539600239,sub50_64
sub50_65,50m,273.65839877879534,2.6530625451658114,12.488158764004263,44.78209764493238,sub50_65
sub50_66,50m,260.84732425478376,2.500773165707701,11.02791566904977,37.389381136378425,sub50_66
sub50_67,50m,248.86070894686546,2.642259690644354,12.145240222638451,42.3841047836176,sub50_67
sub50_68,50m,236.6343820331104,2.8008168153086883,13.09894549681769,46.16597010848329,sub50_68
sub50_69,50m,222.48907262111794,2.516266572811408,11.881568259526967,42.46454419743023,sub50_69
sub50_70,50m,213.4465894313737,2.2349688529834184,10.374833223690038,36.87008877671559,sub50_70
sub50_71,50m,207.11529731599708,1.87595297041615,8.44373076389753,26.039336313316145,sub50_71
sub50_72,50m,213.51649548550782,2.4342753678317517,11.781515390616853,43.48976137633549,sub50_72
sub50_73,50m,282.62331673907835,2.8050242554223956,13.378171501812465,47.80790946657154,sub50_73
sub50_74,50m,270.241528896169,2.446912613112264,11.615284491449861,41.9130706144048,sub50_74
sub50_75,50m,258.46963820975736,2.5856485683029247,12.01026117859541,42.73089792002155,sub50_75
sub50_76,50m,244.6187968958224,2.436169815814819,11.3268164141121,40.31555925161471,sub50_76
sub50_77,50m,233.67259275195576,2.9570203970322115,13.425391297646762,46.4638615694493,sub50_77
sub50_78,50m,224.74375402775286,2.0781333563968456,9.798464708949155,35.30477843804195,sub50_78
sub50_79,50m,214.43947635580508,2.1245918411427684,10.230933604097284,36.70795790321259,sub50_79
sub50_80,50m,208.0371583338133,2.0907630208135366,9.705252339348247,31.7834814191676,sub50_80
