"pc_axis","variance","pct_variance","cumulative_pct_variance"
1,80.1339678143899,0.662264196813144,0.662264196813144
2,25.0757215146908,0.207237367890008,0.869501564703152
3,4.55104690299876,0.037611957876023,0.907113522579175
4,1.93749046125656,0.0160123178616246,0.923125840440799
5,1.4650258042633,0.0121076512749033,0.935233491715703
6,1.12293472428138,0.00928045226678834,0.944513943982491
7,0.939896284843464,0.00776773789126834,0.952281681873759
8,0.915212166393685,0.00756373691234454,0.959845418786104
9,0.726835691217262,0.00600690653898567,0.965852325325089
10,0.607695058510493,0.00502227321083055,0.97087459853592
11,0.515626712029478,0.00426137778536761,0.975135976321288
12,0.439202583551309,0.00362977341777943,0.978765749739067
13,0.427717943177661,0.00353485903452614,0.982300608773593
14,0.303039267087527,0.0025044567527895,0.984805065526383
15,0.241447490760171,0.00199543380793531,0.986800499334318
16,0.178411549869853,0.00147447561875912,0.988274974953077
17,0.140410213911705,0.00116041499100583,0.989435389944083
18,0.129675148839348,0.00107169544495329,0.990507085389036
19,0.120991566109896,0.000999930298428901,0.991507015687465
20,0.0921983369329188,0.000761969726718341,0.992268985414184
21,0.0741423878083168,0.000612747006680308,0.992881732420864
22,0.07077577319797,0.000584923745437772,0.993466656166302
23,0.0666716203975845,0.000551005127252768,0.994017661293555
24,0.0534485661474289,0.000441723687168836,0.994459384980723
25,0.0471549040073768,0.000389709950474191,0.994849094931197
26,0.0437188020768155,0.000361312413857981,0.995210407345056
27,0.036009549006072,0.00029759957856258,0.995508006923618
28,0.0339210317525303,0.000280339105392814,0.995788346029011
29,0.0306525560774133,0.00025332690973069,0.996041672938741
30,0.0282081942061673,0.000233125571951797,0.996274798510693
31,0.0259693189054543,0.000214622470293012,0.996489420980986
32,0.025301277222364,0.000209101464647638,0.996698522445634
33,0.0240640482468152,0.000198876431791862,0.996897398877426
34,0.0225773539835436,0.000186589702343336,0.997083988579769
35,0.0204174114845587,0.000168738937888916,0.997252727517658
36,0.0199455403991229,0.000164839176852256,0.99741756669451
37,0.0184466150640936,0.000152451364166064,0.997570018058677
38,0.0166623115372721,0.000137705054027043,0.997707723112703
39,0.0164359529747865,0.000135834322105674,0.997843557434809
40,0.0149247720433162,0.000123345223498481,0.997966902658308
41,0.0144477444550685,0.000119402846736104,0.998086305505044
42,0.0136790498776721,0.000113049998989026,0.998199355504033
43,0.0127433698977972,0.000105317106593366,0.998304672610626
44,0.0122566339907827,0.000101294495791593,0.998405967106418
45,0.011268790316239,9.31304984813143e-05,0.998499097604899
46,0.0108374435064109,8.95656488133134e-05,0.998588663253712
47,0.0103380928154352,8.54387835986382e-05,0.998674102037311
48,0.00965206868305852,7.97691626699055e-05,0.998753871199981
49,0.00879722936903039,7.27043749506648e-05,0.998826575574932
50,0.00844392381459078,6.97844943354614e-05,0.998896360069267
51,0.00759554050570096,6.27730620305868e-05,0.998959133131298
52,0.00748342899578519,6.18465206263242e-05,0.999020979651924
53,0.00672419369864109,5.55718487491003e-05,0.999076551500673
54,0.00651214304702581,5.3819364025007e-05,0.999130370864698
55,0.00575243672427156,4.75407993741454e-05,0.999177911664072
56,0.00556917640588213,4.60262512882823e-05,0.99922393791536
57,0.00552635137156832,4.56723253848624e-05,0.999269610240745
58,0.00527604757966901,4.36036990055293e-05,0.999313213939751
59,0.00512817137403913,4.23815816036294e-05,0.999355595521354
60,0.00484350412793125,4.00289597349692e-05,0.999395624481089
61,0.00482512794615881,3.98770904641226e-05,0.999435501571554
62,0.00448645971850309,3.70781794917613e-05,0.999472579751045
63,0.00427058702943897,3.5294107681314e-05,0.999507873858727
64,0.00399878442181738,3.30478051389868e-05,0.999540921663866
65,0.00374922503318203,3.09853308527442e-05,0.999571906994718
66,0.00357225279917004,2.95227504063641e-05,0.999601429745125
67,0.00330075456826975,2.72789633741303e-05,0.999628708708499
68,0.00287140971396247,2.37306587930784e-05,0.999652439367292
69,0.00282110955557484,2.33149550047509e-05,0.999675754322297
70,0.00261092912407872,2.15779266452788e-05,0.999697332248942
71,0.00238529182080732,1.97131555438622e-05,0.999717045404486
72,0.00225598117598989,1.86444725288422e-05,0.999735689877015
73,0.00215039459275233,1.77718561384491e-05,0.999753461733153
74,0.00192589889832664,1.59165198208814e-05,0.999769378252974
75,0.00181246507043451,1.49790501688803e-05,0.999784357303143
