"quad_id","n_pixels","manual_excluded","metric_method","pca_euclidean_mean","pca_euclidean_median","pca_euclidean_sd","rao_q_pca","rao_q_distance","alpha_hull_area","alpha_hull_method","alpha_hull_n_points","alpha_hull_alpha","pca_convex_hull_area","pca_hull_volume_3d","pca_hull_area_3d","pca_hull_3d_method","pca_hull_3d_n_points","standardized_PCA_n_pixels","standardized_PCA_manual_excluded","standardized_PCA_metric_method","standardized_PCA_pca_euclidean_mean","standardized_PCA_pca_euclidean_median","standardized_PCA_pca_euclidean_sd","standardized_PCA_rao_q_pca","standardized_PCA_rao_q_distance","standardized_PCA_alpha_hull_area","standardized_PCA_alpha_hull_method","standardized_PCA_alpha_hull_n_points","standardized_PCA_alpha_hull_alpha","standardized_PCA_pca_convex_hull_area","standardized_PCA_pca_hull_volume_3d","standardized_PCA_pca_hull_area_3d","standardized_PCA_pca_hull_3d_method","standardized_PCA_pca_hull_3d_n_points","sa_n_pixels","sa_n_pairs","sa_method","sa_entropy","sa_exact_entropy","sa_boot_mean","sa_boot_sd","sa_boot_cv","sa_boot_median","sa_boot_min","sa_boot_max","scale"
"10_c",7047,FALSE,"all_pixels",5.81391498000572,5.09080808651543,3.42506887687466,91.0620790246534,"squared_euclidean_pc1_pc3",421.208956074945,"all_pixels",6979,1,873.11967870987,5379.95858794221,2106.49945276091,"all_pixels",6979,7047,FALSE,"all_pixels",6.24559832082625,5.4028845854974,4.02595256754361,110.426984867357,"squared_euclidean_pc1_pc3",485.259529161676,"all_pixels",6979,1,1520.22222989856,20224.2986936049,4214.31554478897,"all_pixels",6979,7047,24826581,"bootstrap_mean",2.80667211175505,NA,2.80667211175505,0.0091248127473781,0.0032511146240279,2.80564523766799,2.78564305602324,2.8320612813696,"10m"
"10_d",7086,FALSE,"all_pixels",6.45089461395292,5.7644809481728,3.65517129773997,109.944866178362,"squared_euclidean_pc1_pc3",398.007836732777,"all_pixels",7047,1,918.892450494483,5523.36617162186,2180.84795791614,"all_pixels",7047,7086,FALSE,"all_pixels",6.01403466989726,5.28105750892167,4.14436686431674,106.683931627532,"squared_euclidean_pc1_pc3",438.749908153815,"all_pixels",7047,1,2068.22080872834,28324.489555961,5734.59626424483,"all_pixels",7047,7086,25102155,"bootstrap_mean",2.79935898522427,NA,2.79935898522427,0.0100531402586438,0.00359122938919477,2.79952134918962,2.77586414105926,2.8306193098028,"10m"
"100_a",7809,FALSE,"all_pixels",8.48139930260237,7.85044397901941,4.40373487347909,182.649063129538,"squared_euclidean_pc1_pc3",683.059984114998,"all_pixels",7809,1,1060.9312170105,8038.96789418264,2652.48044852101,"all_pixels",7809,7809,FALSE,"all_pixels",6.71364208125152,5.72094259661515,4.06108928043126,123.126648319024,"squared_euclidean_pc1_pc3",566.898200255488,"all_pixels",7809,1,1338.16923491558,16293.7739467201,3622.24486909348,"all_pixels",7809,7809,30486336,"bootstrap_mean",2.86670711222497,NA,2.86670711222497,0.267898109431075,0.0934515103718246,2.7428109338243,2.71713029328375,3.44525843681355,"10m"
"100_b",7035,FALSE,"all_pixels",7.54079141981942,6.95282455446413,3.86144902553,143.544408597821,"squared_euclidean_pc1_pc3",505.178132429449,"all_pixels",7026,1,836.021815237529,6860.61011094294,2235.99940871311,"all_pixels",7026,7035,FALSE,"all_pixels",6.71296345148464,6.01669554166737,3.56425684447144,115.53199867345,"squared_euclidean_pc1_pc3",539.357782725632,"all_pixels",7026,1,1123.8168237894,16560.5511950212,3512.05422817053,"all_pixels",7026,7035,24742095,"bootstrap_mean",2.80547975441096,NA,2.80547975441096,0.00927687330467943,0.0033066976477352,2.80517811208926,2.77910073918822,2.82117366211249,"10m"
"100_c",8911,FALSE,"all_pixels",7.92476808631599,7.14349146867822,4.28384863843125,162.302497947494,"squared_euclidean_pc1_pc3",623.457490793797,"all_pixels",8911,1,1065.58366826218,9296.04810311999,2779.81902132873,"all_pixels",8911,8911,FALSE,"all_pixels",6.11625264074809,5.4346443473484,3.41746104261769,98.1725514229333,"squared_euclidean_pc1_pc3",525.363486984396,"all_pixels",8911,1,1324.80708804774,20143.7330347136,3982.62103523996,"all_pixels",8911,8911,39698505,"bootstrap_mean",2.7119673023501,NA,2.7119673023501,0.010159943608257,0.00374633705924579,2.71116244561087,2.6899229381875,2.73712157769369,"10m"
"100_d",7619,FALSE,"all_pixels",9.00716184265888,8.29593605074967,4.72017215862081,206.812130790568,"squared_euclidean_pc1_pc3",678.610463622636,"all_pixels",7565,1,1444.87444848952,13415.5867507289,3686.01794649274,"all_pixels",7565,7619,FALSE,"all_pixels",6.87845958462781,5.77141610404543,5.24292178681921,149.595654534949,"squared_euclidean_pc1_pc3",578.941040901858,"all_pixels",7565,1,2893.55867316911,42624.4262358646,7564.08798506752,"all_pixels",7565,7619,29020771,"bootstrap_mean",2.87140268822607,NA,2.87140268822607,0.010946261884586,0.00381216536763378,2.87174498464416,2.8497722564922,2.89604773210521,"10m"
"1000_a",7586,FALSE,"all_pixels",6.32377916890955,6.01811159896135,3.33583758860843,102.233057013401,"squared_euclidean_pc1_pc3",399.826151503029,"all_pixels",7341,1,755.508928171607,4280.36008082323,1829.5658797113,"all_pixels",7341,7586,FALSE,"all_pixels",6.2983155829654,5.45760055576725,3.61580407142684,105.482189645015,"squared_euclidean_pc1_pc3",475.787827465653,"all_pixels",7341,1,958.107741612656,13305.9296440892,3034.2697699559,"all_pixels",7341,7586,28769905,"bootstrap_mean",2.75452741927128,NA,2.75452741927128,0.113854329235838,0.0413335254676673,2.73477589252727,2.71635120336618,3.41397554917035,"10m"
"1000_b",8134,FALSE,"all_pixels",8.30511615892819,7.88713230214832,4.24678654253081,174.01586618146,"squared_euclidean_pc1_pc3",593.307107277569,"all_pixels",7977,1,1349.57240111502,10450.5443850267,3344.44906448163,"all_pixels",7977,8134,FALSE,"all_pixels",7.44649882904375,6.38643181295788,4.72756495706127,155.594935049035,"squared_euclidean_pc1_pc3",701.536476870985,"all_pixels",7977,1,2150.92684601059,29940.3406147875,5886.64852690385,"all_pixels",7977,8134,33076911,"bootstrap_mean",2.81547794935047,NA,2.81547794935047,0.00998494200454869,0.00354644653027817,2.8159696780854,2.78645058136402,2.83686522256179,"10m"
"1000_c",7126,FALSE,"all_pixels",8.97999690988184,8.77466439997986,3.84642353975544,190.866484704965,"squared_euclidean_pc1_pc3",NA,"fallback_sampled_pixels_alpha_failed",5000,1,1183.30669711923,6988.15018661989,2821.25460800616,"all_pixels",6890,7126,FALSE,"all_pixels",9.4491206698103,8.37071542684535,5.1144004117748,230.878604698062,"squared_euclidean_pc1_pc3",751.750758189469,"all_pixels",6890,1,1652.91037935773,21197.2665039006,4646.7057554888,"all_pixels",6890,7126,25386375,"bootstrap_mean",2.88646562090943,NA,2.88646562090943,0.00834199886036717,0.0028900392230339,2.88606942084228,2.86534759288329,2.90437546373568,"10m"
"1000_d",7424,FALSE,"all_pixels",6.51864250446197,5.82839566030699,3.87403404022385,114.997636550488,"squared_euclidean_pc1_pc3",472.343620175757,"all_pixels",7380,1,906.377856155943,4914.92333908245,2129.9251942238,"all_pixels",7380,7424,FALSE,"all_pixels",8.39038632777836,7.48800114929726,5.0826951040284,192.457784965954,"squared_euclidean_pc1_pc3",686.463623424553,"all_pixels",7380,1,1371.01533690497,17913.9158434006,3934.28350032707,"all_pixels",7380,7424,27554176,"bootstrap_mean",2.83119656767579,NA,2.83119656767579,0.11621778391248,0.0410489985892739,2.81193302305423,2.79533393659301,3.50468377063018,"10m"
