term,estimate,std.error,statistic,p.value,conf.low,conf.high,scale,response,model_type,predictor,n,r_squared,adj_r_squared,aic,bic,residual_sd
env_elev_z,-0.14787441199952928,0.06572682530785766,-2.2498334782929317,0.024596485759290312,-0.2767952565483248,-0.018953567450733733,10m,spec_sa,Biodiversity x elevation,phy_afaith,1587,0.04016017665347966,0.03773327444527097,4605.807381440456,4638.0249857636145,1.0304169948372028
env_tri11_z,-0.0030546945651177266,0.02496242226939437,-0.1223717206668277,0.9026201763969064,-0.05201760348214479,0.04590821435190934,10m,spec_sa,Biodiversity x elevation,phy_afaith,1587,0.04016017665347966,0.03773327444527097,4605.807381440456,4638.0249857636145,1.0304169948372028
phy_afaith_z:env_elev_z,0.144511853486995,0.1680009223507826,0.860184881516645,0.38981747237816644,-0.18501601725667524,0.4740397242306652,10m,spec_sa,Biodiversity x elevation,phy_afaith,1587,0.04016017665347966,0.03773327444527097,4605.807381440456,4638.0249857636145,1.0304169948372028
(Intercept),0.016246276262250618,0.028063644148898597,0.5789082906001796,0.5627333115697448,-0.03879948997905172,0.07129204250355295,10m,spec_sa,Biodiversity,sp_shannon,1587,0.002577327854127494,0.001948039101984933,4660.7612015705035,4676.870003732083,1.0494019209564414
sp_shannon_z,-0.06613384296777831,0.03267863524124889,-2.0237639203579803,0.04316194275547375,-0.13023173798919768,-0.0020359479463589597,10m,spec_sa,Biodiversity,sp_shannon,1587,0.002577327854127494,0.001948039101984933,4660.7612015705035,4676.870003732083,1.0494019209564414
(Intercept),0.015152264839857632,0.027662183274762647,0.5477609879651716,0.5839332526790848,-0.03910610361565497,0.06941063329537023,10m,spec_sa,Biodiversity + environment,sp_shannon,1587,0.032759534325513505,0.030926482274329925,4615.996678565489,4642.844682168121,1.034055006197536
sp_shannon_z,-0.04447349102138494,0.03253231675425732,-1.3670557605020535,0.17180192126861493,-0.1082844495285668,0.019337467485796928,10m,spec_sa,Biodiversity + environment,sp_shannon,1587,0.032759534325513505,0.030926482274329925,4615.996678565489,4642.844682168121,1.034055006197536
env_elev_z,-0.20040065631029705,0.029279125422548385,-6.844489151167229,1.0938754211790876e-11,-0.2578305980994969,-0.14297071452109722,10m,spec_sa,Biodiversity + environment,sp_shannon,1587,0.032759534325513505,0.030926482274329925,4615.996678565489,4642.844682168121,1.034055006197536
env_tri11_z,-0.009742100681767367,0.025030746223713003,-0.38920536346368045,0.6971765844351261,-0.05883900087336311,0.03935479950982838,10m,spec_sa,Biodiversity + environment,sp_shannon,1587,0.032759534325513505,0.030926482274329925,4615.996678565489,4642.844682168121,1.034055006197536
(Intercept),0.01458971392774099,0.027664426872373058,0.527381752567986,0.5980024620602966,-0.03967308150836158,0.06885250936384356,10m,spec_sa,Biodiversity x elevation,sp_shannon,1587,0.03353051712954753,0.031086852191821945,4616.731183938688,4648.948788261847,1.0339694408744058
sp_shannon_z,-0.03778395167969994,0.03307016369872968,-1.142538997505819,0.2534029292780701,-0.10264990882029923,0.027082005460899346,10m,spec_sa,Biodiversity x elevation,sp_shannon,1587,0.03353051712954753,0.031086852191821945,4616.731183938688,4648.948788261847,1.0339694408744058
env_elev_z,-0.18471874130309943,0.03243440938767969,-5.695147369425059,1.4669706377363907e-8,-0.24833768883503132,-0.12109979377116754,10m,spec_sa,Biodiversity x elevation,sp_shannon,1587,0.03353051712954753,0.031086852191821945,4616.731183938688,4648.948788261847,1.0339694408744058
env_tri11_z,-0.008006846101921617,0.025076294247951082,-0.319299415725106,0.7495416316245738,-0.057193110879774335,0.041179418675931105,10m,spec_sa,Biodiversity x elevation,sp_shannon,1587,0.03353051712954753,0.031086852191821945,4616.731183938688,4648.948788261847,1.0339694408744058
