scale,response,model_type,predictor,n,moran_i,expected_i,p_value
10m,spec_sa,Biodiversity + environment,phy_afaith,1587,0.17120421259949767,-6.305170239596469e-4,1.037794747833941e-43
20m,spec_sa,Biodiversity + environment,phy_afaith,405,0.17611448252240086,-0.0024752475247524753,7.888679323898041e-14
50m,spec_sa,Biodiversity x elevation,phy_afaith,80,0.102817322343486,-0.012658227848101266,0.011905887662911173
10m,spec_sa,Null,NA,1587,0.20253245753415405,-6.305170239596469e-4,2.9693695655427807e-60
10m,spec_sa,Environment,NA,1587,0.17668354220189145,-6.305170239596469e-4,2.117406833953231e-46
20m,spec_sa,Null,NA,405,0.25815185427655324,-0.0024752475247524753,2.883400532972907e-27
20m,spec_sa,Environment,NA,405,0.18517772229700283,-0.0024752475247524753,4.505155171582967e-15
50m,spec_sa,Null,NA,80,0.25628584351118644,-0.012658227848101266,6.46120280398911e-8
50m,spec_sa,Environment,NA,80,0.0757503801605497,-0.012658227848101266,0.04203869214091511
