"","name","slope_percent","aspect_sin","aspect_cos","tei_north","tei_east"
"1","0",20.8250714754698,-0.930206972772429,0.324504430982976,0.0682162102635386,-0.193646693643802
"2","1",19.3186417080355,-0.733785826444808,0.633603950820919,0.120659613609314,-0.144310994148254
"3","100",25.3284601326362,-0.699860946109402,0.689936566713676,0.172222747802734,-0.180588531494141
"4","2",12.928989215193,-0.269604976609747,0.518451131288001,0.0648787601251052,-0.0485893813589761
"5","101",26.4124334297564,-0.794604193527697,0.475973398633146,0.118363477939977,-0.207497446911591
"6","200",28.3832254477579,-0.923582605352866,0.105136415949433,0.0393824874611567,-0.260132473305871
"7","3",13.1146266621963,0.730453283961452,-0.242295809324688,-0.029557020144355,0.0844185621218574
"8","102",13.2932162997333,-0.31464729575223,0.569870999827075,0.0734181833267212,-0.0444306230545044
"9","201",23.6394805793425,-0.949609479233954,0.0311029515597102,0.0200513968790384,-0.224317689288529
"10","300",25.4477935979803,-0.992405370815563,0.0630262958014491,0.0169482878105125,-0.252538681030273
"11","4",18.2529720726085,0.765283005243007,-0.410299608956685,-0.0675424114427067,0.13558041960224
"12","103",16.254366171712,0.36490464352823,-0.128871836325703,-0.040122614834374,0.0532709154999464
"13","202",31.112563147826,-0.393709435863426,0.228662313554359,0.0856165313720703,-0.222649059295654
"14","301",25.2353120900754,-0.963754292542363,0.223288677111968,0.0562764978408813,-0.243304009437561
"15","400",22.7734477598235,-0.603080533456373,0.673440194623454,0.153165198918293,-0.137329296578196
"16","5",19.585826482146,0.815117493626491,-0.353488465020609,-0.0658555998838038,0.156907012289329
"17","104",18.4159182920847,0.720297597850933,-0.56198723158388,-0.105974411429312,0.12727178064665
"18","203",14.6037861742168,0.524949354714222,-0.51282343423337,-0.0836545848846436,0.0810665512084961
"19","302",34.1345212896873,-0.947422612727192,0.162227368167956,0.0423614559461124,-0.323646670010821
"20","401",22.1382782392132,-0.691682291131999,0.681422164440297,0.15090057849884,-0.153348755836487
"21","500",24.1453633291354,0.0720972810912158,0.984185168624603,0.237773475646973,0.0152928161621094
"22","6",31.0317658338188,0.84931429174831,-0.307391929488042,-0.0966956377029419,0.264307436943054
"23","105",18.1738391964602,0.629334675435909,-0.689946406072985,-0.125183439254761,0.114480266571045
"24","204",17.5474656654728,0.38833225761304,-0.821434954994837,-0.14522098722006,0.0716287798417774
"25","303",37.0138775077942,0.00688342955886691,0.130088145169764,0.0487583997540938,-0.0153594504568048
"26","402",23.5116452997469,-0.714422730064982,0.619869035306028,0.145986251831055,-0.167539939880371
"27","501",21.2227547461385,-0.222493224493906,0.964563751434391,0.204834902196898,-0.0466951355898291
"28","600",25.3850596068582,0.318117578651215,0.927120313668014,0.234987407101127,0.0819649756104127
"29","7",26.0955423333442,0.848119667813473,-0.390218140340985,-0.10380876244013,0.220608974821004
"30","106",19.3726358629782,0.790848470004175,-0.563082484555047,-0.108013846222918,0.153637835853978
"31","205",14.7020424349041,0.712775310628898,-0.635954046422332,-0.0924550151824951,0.105783128738403
"32","304",26.3007581486433,0.863172565079528,-0.361970416434571,-0.0647130537033081,0.242194361686707
"33","403",33.5863783128522,-0.678285101577996,0.55594087513025,0.18079005241394,-0.244916257858276
"34","502",29.8910236980057,-0.328026762196814,0.918289526889779,0.274735408042794,-0.0967205199436169
"35","601",30.9857815685955,0.0872762667823794,0.956008609629004,0.295882619413218,0.0273348633806807
"36","700",24.2129529378955,0.364495041098196,0.706556664438654,0.178296871185303,0.0829544067382812
"37","8",34.1810978517958,0.856582109829571,-0.305708180801268,-0.0897185023586054,0.300855707943885
"38","107",24.9547682426986,0.858758117487755,-0.485948504058249,-0.121591458045749,0.214086441766648
"39","206",15.0402718474743,0.810795545802916,-0.535821007622621,-0.0801863824934733,0.122393439238208
"40","305",13.008804580562,0.79609257847132,-0.471609755497836,-0.0573458372799675,0.105931150584591
"41","404",35.0205512807984,0.792197337081911,-0.218131096934306,-0.0858728222380903,0.294337088601631
"42","503",28.3420315828703,-0.334184286325728,0.903776916769721,0.255068833691224,-0.106230952198666
"43","602",31.4723652628625,-0.0599165458709888,0.969128688667072,0.305130899101124,-0.01735470360354
"44","701",33.046661995796,-0.0170307149917011,0.917076459131754,0.302710876464844,-0.0165408802032471
"45","800",28.7960149122467,0.373624112868515,0.744834498317281,0.22999183177948,0.14080502986908
"46","9",20.7285667641745,0.950979253955713,-0.1089867373064,-0.0202293491363525,0.198736238479614
"47","108",24.8042182969907,0.918447914476625,-0.259402736326362,-0.055636465400829,0.230891515489231
"48","207",24.2786835601063,0.917229783241338,-0.342774831016388,-0.0813497272215579,0.223312991515657
"49","306",12.7304422023414,0.934918102787688,-0.232458601087479,-0.0291015958786011,0.119491543769836
"50","405",20.4778529646144,0.937171168602655,0.0937505481814089,0.023053765296936,0.192153735160828
"51","504",21.9211986060448,0.666163375335638,-0.109359022545593,-0.038979115486145,0.153159718513489
"52","603",25.5077003690001,0.109961901242846,0.491806720594721,0.167605593688506,-0.0121312774811174
"53","702",25.4714481180914,0.0610934279997204,0.485065460337167,0.187954778671265,0.0159603023529052
"54","801",29.5461909496127,-0.0178246998319283,0.678398540689929,0.231111939273663,0.0287058104330034
"55","900",50.6063522561281,0.122773525499582,-0.0735113545037349,0.00945224953656221,0.0748467804798529
"56","10",24.0515477742867,0.942714279958179,0.0179870076634049,0.00526622762703836,0.226566167246374
"57","109",25.5192133116162,0.949406922661664,0.0329758512359695,0.00737184510195166,0.245158245688991
"58","208",17.5323609228258,0.960165365712375,-0.0798642095265372,-0.0121350109129024,0.168645624528851
"59","307",18.5550484160935,0.949860981295241,-0.0482151506952809,-0.00858118522226513,0.176535160387333
"60","406",16.3167889651206,0.950185754694782,0.129485610744065,0.0251957551578531,0.153643228057632
"61","505",25.2228359086281,0.859862510698425,0.125221456992179,0.0310942523162765,0.212726511752098
"62","604",11.2521763328173,0.729502302946785,0.131364500194275,0.000279064178466796,0.0622772407531738
"63","703",11.4871368004793,0.131992125579819,0.137242146303616,0.012024040222168,0.00825221061706542
"64","802",27.3070663294119,0.0974045887250288,-0.0889976328329635,-0.0056234039459611,0.00933452118608288
"65","901",29.3115399220372,-0.0921116187440256,-0.749340560764644,-0.217127469412406,-0.0218587575707947
"66","1000",19.3242788310625,-0.00190888124047866,-0.929662963661837,-0.180819813450078,-0.0027662881294688
"67","11",26.606851693159,0.972972192976813,0.0456350085945094,0.00778028011322022,0.259703450202942
"68","110",18.6445885319324,0.910303848435638,0.109006677548855,0.0230287107309901,0.171537580944243
"69","209",21.5111738695805,0.955021977993484,0.0826190472654012,0.0187109279632568,0.206152181625366
"70","308",22.8123989114774,0.904625886058638,0.172659604162957,0.0408237504959106,0.205696892738342
"71","407",18.9365530535553,0.818067014148375,-0.0262879138903717,0.01110755443573,0.145209946632385
"72","506",27.4114525083083,0.807647479851631,0.0219829477562722,0.0115349864959717,0.19316743850708
"73","605",14.7102869056052,0.873793611359051,-0.197835296527384,-0.0248525148615278,0.13191919493259
"74","704",13.1243248016456,0.365924811704498,-0.141782328495279,-0.0104000932889475,0.0553950020543914
"75","803",24.8773332666899,0.0184374683584624,-0.340136416839413,-0.0561312673085913,0.00993514001220091
