"quad_id","n_pixels","manual_excluded","metric_method","pca_euclidean_mean","pca_euclidean_median","pca_euclidean_sd","rao_q_pca","rao_q_distance","alpha_hull_area","alpha_hull_method","alpha_hull_n_points","alpha_hull_alpha","pca_convex_hull_area","pca_hull_volume_3d","pca_hull_area_3d","pca_hull_3d_method","pca_hull_3d_n_points"
"sub50_1",175140,FALSE,"all_pixels",9.50709693038709,8.67661042508336,5.14406313429135,233.692252972607,"squared_euclidean_pc1_pc3",838.125967539002,"sampled_pixels",10000,1,1928.02448996959,18432.7860410253,4742.61821805174,"sampled_pixels",10000
"sub50_10",190670,FALSE,"all_pixels",9.30636395626182,8.45532708114871,5.17929670442351,226.866767500324,"squared_euclidean_pc1_pc3",808.522091791803,"sampled_pixels",10000,1,1680.8090870797,21948.3523229657,4858.68812655737,"sampled_pixels",10000
"sub50_11",176363,FALSE,"all_pixels",7.9308259044601,7.02872997224767,4.45490724007015,165.488171028174,"squared_euclidean_pc1_pc3",636.950594324078,"sampled_pixels",10000,1,1259.37929211163,13436.1739452488,3492.64393484036,"sampled_pixels",10000
"sub50_12",169495,FALSE,"all_pixels",10.546166099444,9.5583587013577,7.19944862596965,326.106748224298,"squared_euclidean_pc1_pc3",892.137060382378,"sampled_pixels",10000,1,4085.59799316248,50221.1761127008,10093.411500904,"sampled_pixels",10000
"sub50_13",203330,FALSE,"all_pixels",8.77967211621726,7.52397226497475,5.97835782217517,225.646457882248,"squared_euclidean_pc1_pc3",923.420604053424,"sampled_pixels",10000,1,2472.13173831579,33697.8390807014,7624.21990754822,"sampled_pixels",10000
"sub50_14",178478,FALSE,"all_pixels",7.17912230819552,6.54259453328872,4.01302348930981,135.288128820343,"squared_euclidean_pc1_pc3",595.486524775298,"sampled_pixels",10000,1,1554.05862006637,10315.6288869685,3033.45979947887,"sampled_pixels",10000
"sub50_15",172782,FALSE,"all_pixels",7.45379844498205,6.79754462476792,4.0518709719161,143.953349223956,"squared_euclidean_pc1_pc3",678.040868098998,"sampled_pixels",10000,1,1444.08027828473,11672.8421549363,3391.78536500577,"sampled_pixels",10000
"sub50_16",157562,FALSE,"all_pixels",7.61538736328586,6.98137803129393,4.13779806970795,150.230777788439,"squared_euclidean_pc1_pc3",614.830208960876,"sampled_pixels",10000,1,1388.93292408854,13421.7725031331,3915.07295609519,"sampled_pixels",10000
"sub50_17",170415,FALSE,"all_pixels",9.4951218088735,8.89237102636453,4.72734769282721,225.010046473223,"squared_euclidean_pc1_pc3",927.417094491109,"sampled_pixels",10000,1,1816.23431697896,18999.1242554146,4682.975847945,"sampled_pixels",10000
"sub50_18",175121,FALSE,"all_pixels",9.54647557127315,8.72673612395233,5.34780018937211,239.467998777225,"squared_euclidean_pc1_pc3",861.945109962049,"sampled_pixels",10000,1,2364.96652042062,24397.2835394496,5632.69416417017,"sampled_pixels",10000
