"quad_id","n_pixels","boot_1","boot_2","boot_3","boot_4","boot_5","boot_6","boot_7","boot_8","boot_9","boot_10","boot_11","boot_12","boot_13","boot_14","boot_15","boot_16","boot_17","boot_18","boot_19","boot_20","boot_21","boot_22","boot_23","boot_24","boot_25","boot_26","boot_27","boot_28","boot_29","boot_30","boot_31","boot_32","boot_33","boot_34","boot_35","boot_36","boot_37","boot_38","boot_39","boot_40","boot_41","boot_42","boot_43","boot_44","boot_45","boot_46","boot_47","boot_48","boot_49","boot_50","boot_51","boot_52","boot_53","boot_54","boot_55","boot_56","boot_57","boot_58","boot_59","boot_60","boot_61","boot_62","boot_63","boot_64","boot_65","boot_66","boot_67","boot_68","boot_69","boot_70"
"0_a",4447,3.03885860697814,3.04868543858237,3.03629208413852,3.03797091272995,3.04977005334248,3.04711310460441,3.04619857806214,3.05035006678225,3.05549034802945,3.04047282688737,3.05120697172229,3.04449350119267,3.05900024175209,3.04190821530153,3.05058494765058,3.04298805121657,3.04550937961645,3.04828586339284,3.04669980706843,3.05462944859052,3.04050387636712,3.04689111643092,3.04507673793035,3.04022836594816,3.04899176314104,3.04844354128716,3.05224185824938,3.03291466084786,3.04177998726085,3.0505973688799,3.0521088371756,3.0477106643367,3.05462864778615,3.04801651154423,3.04753031097483,2.36733157308543,3.04825179993187,3.02631644377687,3.04171557654332,3.02903740399406,3.03929100566752,3.04495744103176,3.04154358718123,3.04148833185554,3.0307299642123,3.03780652479156,3.03778106084737,3.04676407720877,3.05105456387305,3.05245232311305,3.03579916502665,3.05303650392872,3.04343816359076,3.04852579942085,3.03235032945811,3.0626667319257,3.04360918806931,2.37124188710991,3.04053686678715,3.04376574288447,3.03802664021557,3.04426981427995,3.04414949836141,3.02754947386718,3.0417227358826,3.05679760751571,3.04472647259715,3.04205252744388,3.04828200592229,3.05906695567545
"0_b",3350,2.94732412037204,2.93687091101223,2.94881004519804,2.95110755948458,2.92738688873948,2.94397861879468,2.94021546873001,2.94539253114407,2.95509396334476,2.95569100124087,2.94695586688492,2.94332758737541,2.9376336070759,2.94353008454605,2.95248342127888,2.94149471299883,2.93888519357677,2.94354059427646,2.94951001613012,2.94005765300954,2.94222724789803,2.9519087109057,2.94552190130294,2.93973272022992,2.95608628045593,2.94767136044613,2.96263826750969,2.95406651789601,2.94843953581224,2.95252379910944,2.94870065741342,2.94947368548669,2.96030814255784,2.95104689073316,2.95452261734742,2.94585713071014,2.94507728087771,2.95320753558988,2.94897643027508,2.93963261961221,2.94454739277949,2.96111011225428,2.94475647219514,2.96212933986654,2.94908006757471,2.95771053899349,2.94500929707915,2.95647583663543,2.95491140078875,2.94507647917286,2.95309914825726,2.9523363973605,2.96013929299275,2.95497426456063,2.95657714923594,2.94873606841937,2.95713517085809,2.95834477377894,2.95310109738391,2.95049866417781,2.96391946128823,2.94549746881784,2.95208368684318,2.94528541977187,2.95226979823733,2.95061508223536,2.94285617981015,2.95826580862157,2.94243698890673,2.94994407536743
"0_c",6145,2.87143249298912,2.85755413133249,2.86887580812684,2.86897093411655,2.87762469881937,2.87052103089904,2.88202450271306,2.86991562113313,2.87847745754856,2.86845749256897,2.88098393250404,2.8694969100919,2.87489591260044,2.86919304063609,2.8708507384004,2.88982701591842,2.88213525962264,2.86448354672174,2.88333134940553,2.86711426635587,2.87138838466591,2.8680656342947,2.8885487647233,2.87401189691979,2.86244387593156,2.8805813233996,2.8715947730522,2.89565871088406,2.87040049040986,2.86271229145471,2.87019279152872,2.88385112161879,2.8849989978223,2.86557942319489,2.86774904706034,2.86995393001674,2.87259218186642,2.8652448272501,2.87505814711606,2.87129387748927,2.87125023915534,2.88448151136427,2.8700905502564,2.87164066680862,2.87056697267493,2.86567976014744,2.8824525600088,2.8713666935882,2.88018709310624,2.88368670749675,2.88061746771735,2.8762363082741,2.87319473706056,2.87050691584143,2.85803164214981,2.87668573046278,2.87335402514853,2.87789284431487,2.8634917402687,2.86571339246881,2.87564195471212,2.86705658765605,2.86931347716765,2.88051710308001,2.87533579678154,2.86568570810492,2.87142800876132,2.87439887209038,2.8763297349011,2.87269723216318
"0_d",7842,2.8718414819085,2.85118022434411,2.85611121286514,2.87090363896047,2.86145815472926,2.83795777457413,2.87525295991524,2.86015850992599,2.86622988030164,2.86475797493174,2.84968862383295,2.85985787884953,2.85818429896839,2.86722982392808,2.87607800192845,2.8727823569278,2.8719826382416,2.85546013477002,2.87259525233135,2.88237196610172,2.86632799253225,2.85852382694153,2.86831196241986,2.86688790679734,2.87126734565086,2.87134355961325,2.86910461164421,2.8611132474921,2.85891883502351,2.85867251576633,2.85097644733114,2.86569313635611,2.871821050035,2.87435187569843,2.8622410522313,2.87579143301291,2.84963263017369,2.8544129244235,2.86583978365029,2.85502892451486,2.88104306771132,2.86788897014275,2.85892823712376,2.87064979486123,2.86872088498088,2.8761426046036,2.88308209816441,2.88129235874445,2.85480792262851,2.86803445961506,2.87470193559502,2.8619454159316,2.88722366825428,2.87779658053289,2.84924068869146,2.86117203837764,2.84904941949954,2.87687032863788,2.8806797761286,2.86806464601846,2.86553651752694,2.86130746872516,2.88251850678487,2.85575911052111,2.86612267084945,2.85307660406077,2.85374983288496,2.86341474328486,2.88087510143295,2.88148645944946
"1_a",9428,2.74925358521401,2.73190809867822,2.71076805100198,2.75638410316678,2.71632686632065,2.73169813316002,2.73216513373128,2.71753175291974,2.73634126168205,2.71765241719796,2.73982774986186,2.75487796464731,2.72911633588425,2.75087284278263,2.71441458593518,2.7343332321232,2.70891164620959,2.72974443880032,2.7357820528657,2.74788585598565,2.71583266122874,2.71736384476867,2.72855658559899,2.73358937858494,2.71174984400699,2.72010472485449,2.72341064426797,2.73754708190754,2.72929409562356,2.72923901969751,2.73918135058594,2.71301239509969,2.72058667000764,2.72987559809791,2.69660384615601,2.72517167786634,2.7286390818468,2.73033234914015,2.72208651653504,2.71908885613078,2.73758253088024,2.72595871236595,2.7160730697379,2.73133527727346,2.74859764509967,2.72771547321528,2.7380106002147,2.73296679451502,2.72972640813879,2.73221809629053,2.71839314553664,2.75667745964485,2.73705844894138,2.72373777139636,2.73660098805006,2.74031861391806,2.73912063816045,2.71280894238577,2.71312665709907,2.73273787480848,2.72976697657708,2.73458247058087,2.72334643410994,2.73118087268366,2.74194113289014,2.70889476527084,2.72661628555563,2.74585930514291,2.72212841543648,2.74674963473748
"1_b",9385,2.76114363494446,2.7833028693108,2.78634421648955,2.76341501164537,2.74436159871089,2.76963382260079,2.74704193537431,2.74597905967284,2.76170374913868,2.78504724826154,2.7659069421657,2.75775688199368,2.77165523014606,2.75842093474327,2.7660968134223,2.7561778393591,2.77227334384989,2.7599236282116,2.74532226629994,2.78499351348349,2.78855435935557,2.76498194272314,2.77014099554416,2.75078614889283,2.76315755186047,2.76984247175172,2.77126352801431,2.78548574663219,2.7719258969553,2.76212277669488,2.76518968914456,2.76391773906653,2.75693273918138,2.7726461390802,2.75211108913464,2.75560317686261,2.78276505376328,2.7779305184601,2.76473976670401,2.77719600609728,2.75924136732732,2.76931744812897,2.7825181047388,2.7607086294056,2.79682556196648,2.76600803721107,2.77512257423823,2.76583158789679,3.44225521136272,2.76739336653448,2.7678579579979,2.77427035495479,2.76047777745638,2.76822635801217,2.76574330565829,2.74372329361029,2.76932126251419,2.76833952254723,2.75240515853864,2.76483143496744,2.75637568371281,2.76803852702369,2.75260283485416,2.76969871701492,2.76116263047165,2.76211296657427,2.75345428264304,2.77639927272466,2.76291919253985,2.75815430389601
"1_c",4712,2.79340573586598,2.79887528976736,2.80160201462218,2.78698351730045,2.79079742742216,2.80298901179172,3.48960860827774,2.79449078242808,2.80431263249934,2.80077327411636,2.80163680942354,2.79059658762936,2.7955269845264,2.79459143683235,2.79278783398438,2.78868922920982,2.80035009492678,2.80132663521793,2.79398187677641,2.79997528398923,2.80504940143898,2.79263296553169,2.7918826979001,2.79634657986062,2.80041532931894,2.80835170330121,2.79751979522243,2.79537640884757,2.81658555602362,2.78506519266802,2.80576469196001,2.80185483669633,2.80375914222564,2.79940971706754,2.79705466893004,2.79926316742731,2.80648826863032,2.80759789290814,2.79383378187489,2.79818172797566,2.8012291583104,2.78476251703526,2.80271144435954,2.78838627829756,2.79485939363799,2.80733800056632,2.79857592580044,2.80241378241576,2.81417511590603,2.79912117841969,2.79175234495205,2.80213773070574,2.78616465412892,2.80003719559892,2.79386003445435,2.80180065035171,3.4761320255235,2.79089601170208,2.79330294895042,2.80090486909655,2.79639418247886,2.7886743481105,2.78880955606635,2.79860936177854,2.79403842985774,2.80501905120236,2.80194676124747,2.7957896579435,2.8006458698776,2.79019139723105
"1_d",7184,2.73659276617499,2.72529474591327,2.75356538170858,2.74994878676359,2.74667960034665,2.7297060092005,2.73051504509054,2.72389079750125,2.74035978345259,2.75218189033946,2.73456684884873,2.73913820566835,2.75830039498932,2.74993196545728,2.75310613180235,2.73100401838365,2.74171990775807,2.73836724428167,2.75500424382333,2.73684956646075,2.72418181292879,2.74473402126555,2.7382836598962,2.75004849909758,2.74997978884155,2.76081529650954,2.74845481199443,2.74780844553333,2.72325311133032,2.74820432164036,2.76022449538686,2.72701015298695,2.74240989990043,2.73847738361558,2.73894561632506,2.73959671658511,2.74074775465674,2.75873692901419,2.74989380115148,2.74853134094553,2.75106841324985,2.73071211627253,2.7392696235611,2.73979480779994,2.73691297135018,2.72806305221459,2.75280985380355,2.74921283023759,2.73610356187481,2.74650485678439,2.72463593269824,2.74340307199741,2.72458731944103,2.74384559914793,2.75018732870234,2.74548402263298,2.72173463151829,2.73885478796904,2.75351400740513,2.7257583497607,2.73315224420658,2.74613734845871,2.74308018320631,2.74664177985346,2.74474275199661,2.73165749306789,2.73297057147228,2.7564590429128,2.73198459757697,2.74409513543485
"10_a",9159,2.82241870395974,2.80812495364616,2.81464643435691,2.81210159848263,2.80440622849346,2.81590101436392,2.80579660296258,2.82333334944742,2.80277207507593,2.82479759693222,2.81486296938303,2.80129756142417,2.80716355196204,2.81580108253028,2.80434797552023,2.82643101215564,2.79281650563718,2.80809039551453,2.81473920082692,2.82325276244186,2.8074156718189,2.80206385836664,2.80220959483983,2.83645333506422,2.80090102210937,2.81070049826976,2.82431010311612,2.80116026113569,2.84037757373131,2.83010987088124,2.80827307422783,2.83064738856947,2.80495369461473,2.80605964611275,2.81748498056346,2.81259032871645,2.80794276119485,2.81168081014027,2.81554538362726,2.81516789226228,2.79956441625514,2.80975424810529,2.81026953503123,2.81266354793756,2.79779254341389,2.82555370351898,2.81333288451973,2.79070184885151,2.81713004201469,2.80819298341654,2.80839384266894,2.82077036047377,2.81540786298431,2.80529590779078,2.80996817017754,2.82822234756967,2.79972770974213,2.82579800520636,2.81620371747346,2.8044366511336,2.81394047598941,2.82324611375676,2.80869426278863,2.81892273331721,2.79633179347223,2.79959382037835,2.82398267370719,2.81361860769151,2.82014550993797,2.81191287061559
"10_b",7511,2.90636012810294,2.91259746397736,2.91890309555401,2.93875437331818,2.90728945709761,2.8992166907108,2.91023918955823,2.92711540635105,2.25367126594494,2.91843389773962,2.90491774839271,2.93352715127555,2.93735663186405,2.92622163947455,2.91027751058795,2.92143035462103,2.91494960163648,2.93251379046911,2.91876584284314,2.93362222822509,2.94020921213635,2.92964836842255,2.91452308593521,2.24858883362339,2.91313522947896,2.92672347964239,2.95134614888095,2.92697451388442,2.90475253588971,2.92906066118917,2.91379296659476,2.92081951341889,2.931135818785,2.93857552113075,2.93555206816469,2.93660904073071,2.91980889202867,2.90718714078049,2.91873581363485,2.90477039361842,2.95595798352028,2.91746728305881,2.93512713533223,2.93361002570952,2.93823474007805,2.91905282941374,2.92510384345597,2.9339772913588,2.91457688134752,2.93405186632725,2.92120929101335,2.92424359574303,2.92746469717688,2.91085775718543,2.93331398873639,2.92587413900219,2.90883173594476,2.91175095297356,2.9188425033738,2.24144941217482,2.93663894603568,2.9249458637776,2.93089663000576,2.92614871719443,2.91201187126738,2.9241635503662,2.91775897336555,2.92617414254669,2.93587245838523,2.92598159147407
