"quad_id","n_pixels","n_pairs","method","spectral_entropy","exact_entropy","boot_mean","boot_sd","boot_cv","boot_median","boot_min","boot_max"
"1220_c",2327,2706301,"bootstrap_mean",2.8205816503489,NA,2.8205816503489,0.00703001867369797,0.00249240034332222,2.8203697247138,2.79747310579722,2.83840848891553
"1221_a",2998,4492503,"bootstrap_mean",2.82291265961665,NA,2.82291265961665,0.00774281953610636,0.00274284771430294,2.82325603821338,2.80620946352258,2.84111571904473
"1221_b",6725,22609450,"bootstrap_mean",2.9118060706514,NA,2.9118060706514,0.0102490301123058,0.00351981892462123,2.91125464424167,2.89368189130339,2.93496742177676
"1221_c",8361,34948980,"bootstrap_mean",2.79381049050866,NA,2.79381049050866,0.00957965772554811,0.0034288860171772,2.79207697949472,2.77441843448659,2.81523509816407
"1221_d",7339,26926791,"bootstrap_mean",2.9195183502448,NA,2.9195183502448,0.113472018517715,0.0388666913185186,2.93726150891437,2.25818817561444,2.96884056143473
"1222_a",7682,29502721,"bootstrap_mean",2.82580171407096,NA,2.82580171407096,0.00949000918576134,0.00335834221435505,2.82501572615903,2.80551144890726,2.84688987753248
"1222_b",5467,14941311,"bootstrap_mean",2.90609882384389,NA,2.90609882384389,0.00811199035714813,0.00279136768873483,2.90646093350625,2.88856076776733,2.92256025763962
"1222_c",7670,29410615,"bootstrap_mean",2.77951513179867,NA,2.77951513179867,0.157943891178733,0.056824260235822,2.74195558882687,2.71702028502474,3.42839990773685
"1222_d",5632,15856896,"bootstrap_mean",2.83610874856502,NA,2.83610874856502,0.139531131026224,0.0491980891412654,2.86590402220201,2.16536332758644,2.88456631295283
"1223_a",7362,27095841,"bootstrap_mean",2.88213203204791,NA,2.88213203204791,0.00910983515249263,0.00316079730255092,2.88175320758921,2.85848655749013,2.90149012385298
"1223_b",6482,21004921,"bootstrap_mean",2.81864075538901,NA,2.81864075538901,0.115766110286744,0.0410716087409891,2.7993129623409,2.77623402204701,3.48940376263495
"1223_c",7304,26670556,"bootstrap_mean",2.71769400622809,NA,2.71769400622809,0.00983363415969587,0.00361837430452446,2.71798776945589,2.69551149354195,2.74055252842555
"1223_d",8022,32172231,"bootstrap_mean",2.75319563160341,NA,2.75319563160341,0.0835050631144123,0.0303302323147231,2.74365561508778,2.72107845795048,3.43816439759188
"1224_a",6662,22187791,"bootstrap_mean",2.75969954467935,NA,2.75969954467935,0.00731415668750105,0.00265034528907418,2.75994434828738,2.74391757492666,2.77851807630569
"1224_b",8095,32760465,"bootstrap_mean",3.04633252689433,NA,3.04633252689433,0.329156156290967,0.108049975957987,3.28197894107464,2.5757795344419,3.30742091668895
"1224_c",6681,22314540,"bootstrap_mean",3.11095203727097,NA,3.11095203727097,0.307820894448914,0.0989474896305197,3.29468746704948,2.59173690358367,3.31122868453551
"1224_d",6472,20940156,"bootstrap_mean",2.74993445409115,NA,2.74993445409115,0.117017915946263,0.0425529836800919,2.73232809407759,2.71191283737423,3.43912071443001
"123_a",6926,23981275,"bootstrap_mean",2.68836852515826,NA,2.68836852515826,0.00998152199338227,0.00371285480393529,2.68828894866747,2.66356503668512,2.71482405784327
"123_b",7999,31988001,"bootstrap_mean",2.7963902089453,NA,2.7963902089453,0.0108761321530596,0.00388934710122651,2.7984338383294,2.77402529901928,2.82038580587843
"123_c",6996,24468510,"bootstrap_mean",2.86503341284718,NA,2.86503341284718,0.0117363430733348,0.00409640705085934,2.86580541388585,2.83554653891869,2.88942051244232
