"quad_id","n_pixels","boot_iter","spectral_entropy"
"0",21506,1,2.92958710283299
"0",21506,2,2.93242930522281
"0",21506,3,2.92231770225818
"0",21506,4,2.94352744124419
"0",21506,5,2.90607349060828
"0",21506,6,2.94032125113587
"0",21506,7,2.92670642058115
"0",21506,8,2.94259445219863
"0",21506,9,2.94287321026905
"0",21506,10,2.93831607304995
"0",21506,11,2.929815029706
"0",21506,12,2.92444700871645
"0",21506,13,2.93252642853589
"0",21506,14,2.94582219417088
"0",21506,15,2.91505749917406
"0",21506,16,2.95415205274887
"0",21506,17,2.92512666989025
"0",21506,18,2.93109494570089
"0",21506,19,2.91690315912959
"0",21506,20,2.93588847646112
"0",21506,21,2.92960722638696
"0",21506,22,2.93194834945933
"0",21506,23,2.9306841642545
"0",21506,24,2.92776682488257
"0",21506,25,2.94931983275999
"0",21506,26,2.94188432848761
"0",21506,27,2.9382204180172
"0",21506,28,2.95610592798437
"0",21506,29,2.95044046859799
"0",21506,30,2.93183675253082
"0",21506,31,2.91913400663491
"0",21506,32,2.92961254318796
"0",21506,33,2.94389252931484
"0",21506,34,2.93693843497505
"0",21506,35,2.94704361517912
"0",21506,36,2.94974534428361
"0",21506,37,2.92757982874397
"0",21506,38,2.93396865801226
"0",21506,39,2.91947056868549
"0",21506,40,2.93348152164518
"0",21506,41,2.91804304736346
"0",21506,42,2.92854228972137
"0",21506,43,2.92584241201984
"0",21506,44,2.93569035718821
"0",21506,45,2.9427416938506
"0",21506,46,2.93023499620753
"0",21506,47,2.92512707102262
"0",21506,48,2.91980325085224
"0",21506,49,2.93319730563319
"0",21506,50,2.92297247017393
"0",21506,51,2.92430358996799
"0",21506,52,2.93730617272178
"0",21506,53,2.90987803296126
"0",21506,54,2.9314437880938
"0",21506,55,2.92957755740449
"0",21506,56,2.91999290424054
"0",21506,57,2.91627976826756
"0",21506,58,2.94067860413671
"0",21506,59,2.91682320176811
"0",21506,60,2.91286764347547
"0",21506,61,2.92863695317328
"0",21506,62,2.93427639371694
"0",21506,63,2.94228086547824
"0",21506,64,2.95282429912856
"0",21506,65,2.93489131348817
"0",21506,66,2.92712259364462
"0",21506,67,2.94014415274824
"0",21506,68,2.92642183871936
"0",21506,69,2.92381231699312
"0",21506,70,2.92261046108224
"1",30116,1,2.7793844659024
"1",30116,2,2.76724573928847
"1",30116,3,2.76202789118371
"1",30116,4,2.76640059591372
"1",30116,5,2.77486401204599
"1",30116,6,2.77920793712067
"1",30116,7,3.45406406126601
"1",30116,8,2.78148870104014
"1",30116,9,2.78110222719491
"1",30116,10,2.77382060544583
"1",30116,11,2.76816559608658
"1",30116,12,2.76922626446694
"1",30116,13,2.75428094187706
"1",30116,14,2.75306387418039
"1",30116,15,2.76072214733702
"1",30116,16,2.75003845202919
"1",30116,17,2.76107348937823
"1",30116,18,2.76685376587617
"1",30116,19,2.76902080524653
"1",30116,20,2.75687869184541
"1",30116,21,2.75747252855299
"1",30116,22,2.77197778907236
"1",30116,23,2.77184168147648
"1",30116,24,2.7755168071627
"1",30116,25,2.78472340008267
"1",30116,26,2.76085155911097
"1",30116,27,2.77632576991693
"1",30116,28,2.78681480126384
