"Name","n_pixels","boot_1","boot_2","boot_3","boot_4","boot_5","boot_6","boot_7","boot_8","boot_9","boot_10","boot_mean","boot_sd","boot_cv","boot_median","boot_min","boot_max"
"0",21433,2.52022897579505,2.50833984664087,2.51095095576458,2.47944228544568,2.49191696260381,2.50595874759564,2.49475757070851,2.48214898219025,2.49672996291469,2.48881469968517,2.49792889893442,0.0124948034045194,0.00500206527489611,2.49475757070851,0.00500206527489611,2.52022897579505
"1",30108,2.98097910034053,2.98647335251782,2.30465412033308,3.0084590410004,2.96975735394526,2.33427609122156,2.28673174706326,2.32184435955712,2.33620284484778,2.32738480908094,2.58567628199077,0.327607730590307,0.126700984524665,2.33427609122156,0.126700984524665,3.0084590410004
"10",30295,2.38810009244232,2.37347297278077,2.33567044578303,2.37609374588473,2.36005449564281,2.39973224334475,2.37245403647884,2.38646357543644,2.40328776071302,2.34130992538928,2.3736639293896,0.0214761949356902,0.00904769823132163,2.37347297278077,0.00904769823132163,2.40328776071302
"100",30771,2.99802067421123,2.33648783889653,3.04120116259227,2.99721347910168,2.34415827839839,2.34424853304625,2.34727944611673,3.02332277449024,3.02823486796749,2.36375646352991,2.68239235183507,0.335490818559608,0.125071493858865,2.36375646352991,0.125071493858865,3.04120116259227
"1000",29843,2.40550302874698,3.08849696568987,3.08211582390093,2.37082005455445,2.41131044582522,2.37721014137808,2.40949761002521,2.40540134107649,3.06659770123944,3.11022107313594,2.67271741855726,0.338522830636708,0.126658668921102,2.40949761002521,0.126658668921102,3.11022107313594
"1001",31493,2.4109060067325,3.09586836183268,2.44481706948243,2.45056560703067,2.4050922290381,2.42908912456959,2.42003466098983,3.10821526356089,2.42412153955548,3.13076617198155,2.63194760347737,0.314382515839297,0.119448622542459,2.42908912456959,0.119448622542459,3.13076617198155
"1002",33350,2.35515983799781,2.35805794503956,2.39831710324884,3.06124837375785,2.37058935528988,2.38313910772064,2.38596270137546,2.40261030002098,2.38533710104363,2.35573540526106,2.44561572307557,0.20584984046807,0.0841709670598602,2.38313910772064,0.0841709670598602,3.06124837375785
"1003",33568,2.39287642791373,2.36684036407908,2.38201673841711,3.0478524525214,3.04987180541954,2.36920123044876,3.06349669256197,2.35819468647472,2.37859064531459,3.0422359849074,2.64511770280583,0.331442682242877,0.125303566601704,2.38201673841711,0.125303566601704,3.06349669256197
"1004",29220,2.41885851335961,3.09804524503004,3.12535285883531,2.41996185754809,2.41619515288907,2.43420290599064,2.41862574528286,2.44203520765703,2.41163391157547,2.40046703638083,2.5585378434549,0.276856847483707,0.108209010154744,2.41885851335961,0.108209010154744,3.12535285883531
"1005",30252,3.04595131571448,2.37319858988643,2.35599961042697,3.03344516448303,3.04931355927356,2.35788199320684,3.04432491693055,3.04811724798509,2.34909268545386,3.05515991913952,2.77124850025003,0.336648838399173,0.12147912335137,2.77124850025003,0.12147912335137,3.05515991913952
