"Name","n_pixels","boot_1","boot_2","boot_3","boot_4","boot_5","boot_6","boot_7","boot_8","boot_9","boot_10","boot_11","boot_12","boot_13","boot_14","boot_15","boot_16","boot_17","boot_18","boot_19","boot_20","boot_21","boot_22","boot_23","boot_24","boot_25","boot_26","boot_27","boot_28","boot_29","boot_30","boot_31","boot_32","boot_33","boot_34","boot_35","boot_36","boot_37","boot_38","boot_39","boot_40","boot_41","boot_42","boot_43","boot_44","boot_45","boot_46","boot_47","boot_48","boot_49","boot_50","boot_51","boot_52","boot_53","boot_54","boot_55","boot_56","boot_57","boot_58","boot_59","boot_60","boot_61","boot_62","boot_63","boot_64","boot_65","boot_66","boot_67","boot_68","boot_69","boot_70","boot_71","boot_72","boot_73","boot_74","boot_75","boot_76","boot_77","boot_78","boot_79","boot_80","boot_81","boot_82","boot_83","boot_84","boot_85","boot_86","boot_87","boot_88","boot_89","boot_90","boot_91","boot_92","boot_93","boot_94","boot_95","boot_96","boot_97","boot_98","boot_99","boot_100","boot_mean","boot_sd","boot_cv","boot_median","boot_min","boot_max"
"0",21433,2.49269384329466,2.50406512149051,2.47762900525837,2.48432545236898,2.49429495209565,2.47934681107519,2.4823215344113,2.49266757976368,2.46967986306235,2.48760007727159,2.49207504073002,2.47611107577297,2.50589004549173,2.49061388718323,2.48589352936367,2.47965587528408,2.48310288091965,2.46655663924217,2.48899207052154,2.48664804549633,2.50734828123357,2.46348005955541,2.48176794567033,2.47990058123812,2.49939335266343,2.48643311257819,2.50397248464823,2.49949857521592,2.48092633143124,2.47577947571879,2.48046971229908,2.49547864204029,2.50855092065625,2.47827052488049,2.47106537240589,2.49014442554222,2.46238545692437,2.47732105621943,2.50381001746109,2.48239994483558,2.49978285636846,2.50699831620782,2.48691810788722,2.48335412249113,2.46910770208409,2.45393903014277,2.49417632927088,2.49409909288931,2.48130371970964,2.47574881264573,2.48768954911816,2.48675913019372,2.49483287016266,2.50699700892291,2.48781166885297,2.48498835285033,2.43772744991104,2.48703990136413,2.49359303090809,2.50751911541056,2.47881109995192,2.48222181295543,2.46098164307087,2.51951273145504,2.53083767218251,2.45499475625185,2.50136816700966,2.51217754332788,2.49224112915679,2.4825794751926,2.48653251226428,2.47131955709007,2.49063911109809,2.46978979811749,2.50413145423523,2.46478968565908,2.47999761580984,2.47418123668774,2.4869056572464,2.4937309097346,2.50986439840453,2.49739338670166,2.49336715756563,2.51686964715414,2.49767872360783,2.50630705742102,2.47919081496013,2.48874976524465,2.45553792787011,2.4737558446953,2.52160383232317,2.5119479875637,2.50279803131551,2.47208424003189,2.48712115460481,2.48645280105093,2.50176225565688,2.46547192400324,2.46470422009795,2.48470465684644,2.48724055166324,0.0158862416633702,0.00638709498876051,2.48675913019372,0.00638709498876051,2.53083767218251
"1",30108,2.99113439926146,2.95837155255038,2.99900168967547,2.97743310761345,2.96692987716773,2.29769259485427,2.99938968816525,2.33236889295397,2.99026652195319,2.3289249992836,3.00171436528403,3.00980664292561,2.98330947405318,2.32790124874385,2.97235660730083,2.98420762595541,2.98259753298588,2.96595414223101,2.97905115900976,2.31742399097912,3.01793755536519,2.99729217681394,2.31906949613844,3.00292706152198,2.97094059954116,2.97359223199694,2.9822068759304,3.00495012012933,2.9922723442428,2.32096059563904,2.33601448730699,3.00042284474032,3.00395702558738,2.98176076525291,2.31385159534325,2.32531590172357,3.01309176691306,2.97703533693142,2.98337379301526,2.31813713540056,3.0205855016036,2.30843233227961,2.30650092404155,2.30812139672522,2.98421628348434,2.33401715605456,2.31801871119351,2.98975332942712,2.98403580401715,2.31293731561446,2.96343217302119,2.96712798320975,2.3173696359506,3.02508563673879,3.00133799651317,2.98725051589247,2.33110376848007,2.9997491393752,3.00360974071623,3.03139157414696,2.31638245442428,3.01676816914939,2.97372459760756,2.9645752468321,2.31659261040041,2.30071154669421,2.31317916776163,2.29809816067966,2.97180629562664,2.97581157158117,2.98788514345436,3.00725450780712,2.97957473528371,3.01169657746387,2.28622040384551,2.9812495771623,2.30587688181245,2.95805511832472,3.01870785412612,2.97042668155397,2.9789399895856,3.01395675829627,2.98174999053779,3.00448008233853,2.94710209277661,2.96731439100905,2.30453455686867,2.34429615241365,2.98539759637117,2.99307438139098,3.00150669089417,2.29704408249429,2.31913997968554,2.99297867339014,2.98067037988541,2.33268142942114,3.00333652134829,2.29582421796293,2.28733190114101,2.32700267545528,2.76007982585825,0.319697223554313,0.1158289773213,2.97372459760756,0.1158289773213,3.03139157414696
"10",30295,2.33878420952309,2.35834034326132,2.37236311381343,2.36936861559809,2.37160969072194,2.41820964950353,2.37284834599279,2.34616911415448,2.37746517799173,2.38669292965095,2.40591307918469,2.35214248496171,2.39663801419926,2.36566065145816,2.38698213451814,2.35026569889318,2.40835399164656,2.36395103255389,2.40614174927362,2.35027128668465,2.37873371854909,2.41478532400887,3.02020523175271,2.38127170298167,2.34314091086738,2.39738835939032,2.40021554142054,3.057550190291,2.35518429348121,2.37647811208077,2.35954160903237,2.37385342739491,2.37834779812115,2.41873163820725,2.3614831484954,2.35382409341538,2.38812620294463,2.36275692059466,2.35992382969349,2.37327264347886,2.3881675361931,2.39102434510429,2.40311512004689,2.38408193971389,2.36159663853472,3.04945397458214,2.37739404728234,2.37190550441326,2.39226151348468,2.39006761068392,2.38792816693776,2.37458596495096,2.40199788156103,2.38738201767437,3.05493540593494,2.37139965113897,2.38660952899643,2.3536566581266,2.36515602725397,2.33686072909382,2.40268331275194,2.40946031346336,3.03763511650129,2.38884819443939,2.35361802073419,2.38421809381665,2.40580903884429,2.33897749964018,2.37626859766862,2.36759712851207,2.39476630945503,2.37653040486991,2.39375440147705,2.36443782761669,2.37013166345266,3.0384325682707,2.37312473175063,2.37142016488504,2.38737392629211,2.40232278111014,2.38421219101114,2.35157298860942,2.371025768032,2.39381226465958,2.37637953904605,2.38714806652304,2.39592491089462,2.37706688907951,2.37455359800142,2.39596856896362,2.37660875319522,2.35112975851952,2.37633572830618,2.39227616828444,2.38032969409762,2.38074633525117,2.36692296386773,3.04490729333423,2.39165253087085,2.36777339099178,2.42456323768586,0.170725385669937,0.0704149031942294,2.37746517799173,0.0704149031942294,3.057550190291
"100",30771,2.32606980000317,3.02471300033223,2.32358250469926,2.32141998255815,2.33542576560159,3.01855024078576,2.35797560583707,3.02307416232611,2.3465860449176,3.02382620934399,3.01743175579013,2.32538681946825,2.32916272710338,2.36707096287432,3.00379319408143,3.02732974487833,2.31168581568587,2.30958357988446,3.01148005588343,2.3452935596569,2.34698585716786,2.3357402382667,2.31393637820836,2.32037316961881,2.32147675090571,3.02029966490564,3.02753607844332,2.99067363162174,2.34413761674177,3.02939493684423,3.02009674597601,2.33902765702949,2.33792716062657,2.34129144876919,2.31104436554199,2.34980314353346,2.32833439280863,3.02429951099314,3.04305541233941,2.35111031818072,3.014529370067,2.34580394823397,3.02061453308341,2.35688280715697,2.34659159105024,3.01245964602566,2.33648579751357,2.34998062827632,2.34718609201857,3.02797583200001,2.9775146091886,2.99673324102393,3.01174673229711,2.35267352631364,2.34220514017724,3.00716192539388,3.00768629323468,3.02586794496603,2.99415574652374,2.33502951152367,2.99465385067563,2.99193652251672,3.01844527407497,2.98460948526151,3.01057857731937,3.02183575428708,3.00583839495323,3.01924551242982,3.05057926830159,3.00385501326784,3.02359568296099,2.99895584025634,3.01357499906295,3.01736605018068,3.00827053827045,3.01899152827102,3.00911098281182,2.33625853899359,2.32856866187023,2.34437340019396,3.03338506436681,3.00283527255842,2.35588739220414,3.02641223936275,3.02140795877447,3.0412089411664,3.00813983448216,3.00866353979861,3.00957646846087,2.30513212041069,3.03016205379369,2.33611534302925,3.01518927307254,2.33706000781963,2.32129679756334,2.35793506703241,2.99585536061659,2.33123549068435,3.01723294820077,3.0195298194817,2.71630175795142,0.336936846320829,0.124042494665593,2.99415574652374,0.124042494665593,3.05057926830159
"1000",29843,3.08968580847053,3.07076354050897,2.38071789016529,3.05985394037683,3.09078905933039,2.38567029088751,2.37885841858032,3.08953697879024,2.39339741031569,3.06980307123775,2.40098356333745,3.05911984838018,3.08772398513663,2.39819141473158,2.41035083180371,3.06955383858762,2.40405574193118,3.07349270802433,2.39979786404225,3.10012800484966,3.08828709024824,3.07846884267793,3.05157772255414,2.38961864525278,2.38475530713554,2.37784975837643,2.42467037431581,2.42500671924603,3.10645606827051,3.0607876537813,3.0936064682092,3.08273321191064,3.10250173374454,2.38549996159081,3.07667547585438,3.06926257834139,3.06207817948864,2.37790328594198,3.07520800594438,3.06400159031634,2.40020116163042,2.37913360997226,2.38197130907185,2.40537164140707,3.08914394080218,3.06007912810696,3.05833321762001,2.38450696611257,3.05487731038508,2.39833630888491,3.06399804352703,3.11298624026053,2.39915476406649,2.39190106797494,3.0847967456036,2.42273472903688,2.41257270686156,3.0869161387228,2.39653190264444,2.36888247826879,2.38676602578291,3.08764996407944,2.40727942046359,3.06280259485259,2.38552489936353,2.3763455347253,3.06516788587548,2.40208207578936,2.39354511373817,2.39788860910922,2.3852701239398,2.42774845504462,2.35886325817431,3.07968252201305,3.07610679819402,3.07230303727386,2.38406473232262,3.06933942918958,3.06359646655621,2.39855580526211,3.05471364764866,2.40281699308282,3.07217929017138,3.08281932147486,2.40216867205612,2.40755110601455,2.39437603204021,3.05318901627504,3.07079169210892,3.08986529027239,3.0594278207767,3.06002677637503,3.08853020514402,3.07273382963991,2.40003128138218,3.08857704143777,3.07490763842841,2.40713010591375,2.41389472174834,2.38772834074544,2.74905893868136,0.340114223741309,0.123720237116652,3.05157772255414,0.123720237116652,3.11298624026053
"1001",31493,2.41178968858483,2.40235474158115,2.44129306783001,2.44154427041335,2.42715685009747,2.43304203302162,3.11766941273822,2.44402711630333,2.44249521665154,2.42522172931353,2.42043938989069,2.4399254289124,3.11721547500514,2.4104176681434,2.41593632363232,2.43575372485533,2.42483191017387,2.40619601026968,2.4334955505927,2.42765902684572,2.41790193683224,2.43984972300132,3.10286506970607,3.08728078722275,3.09324240878145,2.41556973019933,2.40694164284444,2.44767941959269,2.44033163555461,2.42627713048317,2.40819130953584,3.10483302900062,2.43011407350303,2.42206747293907,3.09972030779433,3.10818809770756,2.44062343452131,2.42032780395017,3.10903050957127,3.08696877912216,2.43351261458291,2.4009690213991,3.09974614304424,3.12561856494923,2.3904692466284,2.40190670167751,2.41656334649283,2.43097981880852,2.40453800314948,2.40716189672334,2.4162412625024,2.43431709587641,3.12741075482899,2.42346179336381,2.44210171136099,2.4525974056394,2.41472063271688,3.12760522343284,2.41350009487101,2.39279123272523,2.42973767388913,2.41944008602881,2.42335701795102,2.4082451353186,2.41966793598939,3.12164557278228,2.44537059381296,2.42929313146687,2.43958499069673,2.44651903727695,3.08872933295311,3.10694698230247,3.1020003051731,2.4267035931175,2.44488793515537,3.10950947199115,2.4389433836018,2.40850614750112,3.09895540660955,2.42358134018698,2.42476753402829,2.43619970274035,2.4321673263799,2.43711679793644,2.41999017562168,2.40076266640861,3.08275076038886,2.43238441613618,2.42285148577842,2.43578725948857,2.42005167549129,2.45467668691012,2.42603796357448,2.42629555209322,2.40462812772592,2.44635800655905,2.42665098309978,2.40400986841186,3.12438999934065,3.11778003385723,2.58189963597269,0.287324010312216,0.11128395786925,2.4321673263799,0.11128395786925,3.12760522343284
"1002",33350,2.38947019071018,2.37747237287028,2.38104695130416,2.40536451355574,2.37611576081722,2.40579318744276,2.36079491182806,2.34953341569169,2.38719682688108,2.41369149289012,2.37020381585865,2.4077342165812,3.05158799003051,2.37095248642066,2.37349573295136,2.39879208748398,2.40074372260331,2.36142047553467,2.38696982880721,2.36777250917869,2.37461637706656,2.38740031743526,2.37157941236731,2.39862943561696,2.39880812399803,2.3998008514729,2.42021795788912,2.39217065885391,2.34296448745146,2.38798215111307,2.36570814952694,2.36585649412919,2.39716750609226,2.38673443424636,2.38595831252385,2.37589435377351,2.4196049996825,2.35178528783608,2.37881255675412,2.37597620362924,2.37772187699569,2.36607351782393,2.36872847422467,2.35854063909632,2.39336322173685,2.37329786238393,2.36972749323233,2.38177338794165,2.36593609220343,2.38512845892667,2.39562252565318,2.37392930867584,2.35193230929391,2.36849882224296,2.36713140506089,2.38311509580678,2.37718917438824,2.40933225326973,2.37161659674327,2.37227092261279,2.40321498122003,2.37966375395647,2.38726147416918,2.38462739337587,3.0508530685085,2.43344763920487,2.36076700498919,2.39264430890502,2.39219160078422,2.38156991094776,2.41670598693078,2.37204765433674,2.36502853530765,2.39750854174686,2.36493701703732,2.36044288089901,2.36071914125894,2.38280707637945,2.37361039321264,2.3902928975053,2.37716466678159,2.3590604311384,2.39298577460326,2.3878462628612,2.40346203387624,2.38226851189979,2.37651592273852,2.36786147842757,2.43712002405669,2.3765589472006,2.39949920977267,2.42505665836936,2.37551958798167,2.37501371875213,2.38728912829994,2.39173959092703,2.38105840217743,2.37744998258734,2.37920988640044,2.41457450097743,2.39642345979718,0.0952581286234953,0.0397501235576943,2.38104695130416,0.0397501235576943,3.05158799003051
"1003",33568,2.37699372921159,3.05631118151774,2.37381884634781,3.06187608684535,3.06682588019933,2.36576312562554,3.0637359564035,2.37304286930966,2.38975584412154,2.37057978536611,3.0388030295724,2.3667238924633,3.06085745060351,3.05311077424252,2.37978554265097,3.04643546679902,2.38928969833317,2.38958824467274,3.05222911473855,2.38569875443191,2.38026156551756,2.36385094820055,2.37894608329736,2.39342535278729,2.36994805414766,2.36728325658532,3.07099567067772,3.07538818113234,3.0457467465219,3.06521623258502,3.06670220926638,2.40171334574461,2.39034418437805,3.0693567121512,2.36770613973675,2.35519733788855,3.05503596274304,2.37455170937229,3.05609372524941,2.35964052564661,2.38757322289883,2.35779807969781,3.06559863906959,3.06759663093864,3.08602341686638,2.37769876716281,3.06236373741329,3.04401181611362,3.04153309558463,3.04895465877642,2.40125393047314,3.05830810402257,3.03288192851227,3.05194693472295,2.3633684498025,2.36718491574303,3.07791327810976,3.05251204273502,2.39583191234964,3.05805524970462,2.36647812879873,3.07211281580396,3.0497560863444,3.07921319755108,3.05055335682778,3.05221776300432,3.04132985196528,2.35156869112074,2.34747970657171,2.37441791793509,3.05661612680905,2.38675106200782,3.05083497089874,2.38162662190657,3.0652305112383,2.35612939544926,3.05840869798137,3.0445026252026,2.37503537779045,2.36228792865905,2.36482177939557,2.35277700684545,2.39666635502464,2.36289281392329,2.35313866551488,2.3803063138645,2.3582396250595,2.37247868360124,3.02387961537232,3.04641571399688,2.37047582429046,2.38249625159987,3.08506821133759,3.04424458651753,3.0355102771968,2.37429794358743,3.07366420795772,2.37106136458207,3.07204105624264,2.388120667811,2.70198185825371,0.341713893142099,0.126467871017812,2.39666635502464,0.126467871017812,3.08602341686638
"1004",29220,2.44862437120585,2.41381420332363,2.40632556032783,2.41737769061975,2.40885296129714,2.40760583651524,2.4268968371068,2.40040046954431,2.40554836612854,2.4407544101103,2.41776905123733,2.42312807193445,3.08417384993574,2.4387576995636,2.4337976086178,2.39181916939512,3.08684999327492,2.39517787999569,3.10868890053789,2.40190956387346,2.44563097302089,2.41067037977891,2.43052451803807,2.40580367739999,2.44287150982284,2.43286434867332,2.41131239967091,2.40895578964425,3.09773947501003,3.11105105593578,2.41101885578476,2.41037049372455,2.41516099407932,2.40919419586057,2.43202722400989,3.10088765711426,2.40744304294994,2.39673472446002,2.41783807910935,2.39550493048772,2.42479366567828,2.42641054013993,2.43282379257931,2.4232575191576,2.4190552404581,2.44195756017396,2.43817153581324,3.09407433917625,2.40456159499802,2.42589665868575,2.41748083448829,2.42890818847359,3.07134466858645,2.39962014821668,2.43719742455638,2.40306561852022,2.43549403980107,2.41896505894065,2.43146390457686,3.11668416688798,2.43112315884468,2.43247272757669,3.09162697422395,2.40575361175809,3.08738718441047,3.08532065176769,2.42191993607666,2.41726417362016,2.41285945948971,2.41972777619712,3.08125224110036,2.43159580528641,2.4091059819843,2.43083060272379,2.41753924419171,2.40921489475159,2.42997330000996,2.40669484859689,2.41174494593901,3.11230634234557,2.4036630432225,2.39656869053849,2.40312160244096,2.41769461605205,2.40537925960384,3.08408692872991,2.4275604097229,2.418767791621,2.40781626404459,2.42508786900226,3.07760363918241,2.41205840404852,3.10240111664501,2.42480313218532,2.4325227304438,2.42558918250255,2.44793836374262,2.41923281366727,3.12717301727879,2.4159142194417,2.54063800274041,0.260371468649354,0.102482710393417,2.42312807193445,0.102482710393417,3.12717301727879
"1005",30252,3.05556666456411,2.35741976405277,2.38228806978761,3.0386374656109,2.36558854542796,3.07557251721427,2.35651698788273,2.34224064798804,2.33221749845189,3.03796341066769,3.05212821992205,3.06800248183287,2.37695209779104,2.36877236153819,2.37026858476385,2.34901021076581,2.35551224248637,2.36123852351227,3.0578041159325,2.34720015184221,3.05532319183751,3.06410910802768,3.0458107639716,2.37731273322102,2.36863664662257,2.37547913951897,3.03537264917762,3.04095673789784,2.38756398069532,2.35649061839617,3.0484015339324,3.03412620130229,2.40057960508394,2.35855110636766,3.05947161593798,3.05649383577137,3.03034740052827,3.06470291224713,2.35504362502158,2.36891536249325,2.35959515346748,3.05855671556825,3.03728216540365,3.0239485122317,3.05466977187718,2.38092083156211,3.05383818898074,3.05042266264334,2.35450954114128,3.0511078713294,3.06308259493345,3.05444520649646,3.05400017942643,3.04335924806157,2.37635759378213,3.04472567733692,2.37881691234337,3.03855987823082,3.05539429455874,2.33314157194856,3.04454526047056,2.35817598327989,3.06139399244699,2.37233795317729,2.37995058339424,3.04071141881313,2.35235312626387,2.37225528390283,2.36263924352917,2.36150632392093,2.35788105807839,3.06760438645178,2.36328614600874,3.04871421710003,2.36192729243971,2.35003705923489,2.35188524539846,2.39106556397303,3.04496895099221,3.03364259142584,3.02643848998871,2.35990400212409,2.36449244247505,2.36169725091674,2.36948278239133,3.05069265450246,3.04797592849639,2.34117190908449,3.02096426061651,3.05643582368858,3.06112468451075,2.36715583723824,2.34488185256983,2.34679884118155,3.0688907835136,3.0433719900432,2.38142845400336,3.03940850802091,2.38624317313235,2.34984103493668,2.69266606285148,0.342798124075715,0.1273080716562,2.38756398069532,0.1273080716562,3.07557251721427
