"quad_id","n_pixels","manual_excluded","metric_method","pca_euclidean_mean","pca_euclidean_median","pca_euclidean_sd","rao_q_pca","rao_q_distance","alpha_hull_area","alpha_hull_method","alpha_hull_n_points","alpha_hull_alpha","pca_convex_hull_area","pca_hull_volume_3d","pca_hull_area_3d","pca_hull_3d_method","pca_hull_3d_n_points"
"1505",28647,FALSE,"all_pixels",7.46669098484415,6.74751388539833,4.118918430845,145.432742154856,"squared_euclidean_pc1_pc3",649.140732608736,"sampled_pixels",10000,1,1354.98113847431,11472.3133240741,3416.19850814245,"sampled_pixels",10000
"1506",25689,FALSE,"all_pixels",7.36599599333226,6.55073855362362,4.50841580288212,149.165837598279,"squared_euclidean_pc1_pc3",575.008254728947,"sampled_pixels",10000,1,1957.56870458222,13155.6341318737,4459.02889715808,"sampled_pixels",10000
"1507",26059,FALSE,"all_pixels",7.4724626991004,6.62674797997644,4.64660538509719,154.85562370716,"squared_euclidean_pc1_pc3",652.459976593509,"sampled_pixels",10000,1,1678.23390364553,11320.1125086924,3937.4549246147,"sampled_pixels",10000
"1508",27892,FALSE,"all_pixels",10.3075612871028,8.69390023363463,6.96256106532572,309.442676482663,"squared_euclidean_pc1_pc3",1004.51626516141,"sampled_pixels",10000,1,2214.39457393564,17761.7285512583,5317.05347258451,"sampled_pixels",10000
"1509",24656,FALSE,"all_pixels",11.6009509099102,11.1781842012968,5.47662897980942,329.148621038616,"squared_euclidean_pc1_pc3",922.213954857764,"sampled_pixels",10000,1,1940.17464392042,17927.0328090514,4529.71304962873,"sampled_pixels",10000
"1510",27016,FALSE,"all_pixels",8.46256470291661,7.79574393035586,4.45525595617611,182.927144524034,"squared_euclidean_pc1_pc3",601.457624138665,"sampled_pixels",10000,1,984.219237858154,9948.34818956121,2754.17414848607,"sampled_pixels",10000
"1511",27274,FALSE,"all_pixels",8.52224456111266,7.76779952542788,4.43334808679265,184.565013967905,"squared_euclidean_pc1_pc3",705.540527375349,"sampled_pixels",10000,1,1205.31953018963,15225.8221905223,3712.45027824071,"sampled_pixels",10000
"1512",30984,FALSE,"all_pixels",9.74309632516555,8.76987984397286,5.40396397424313,248.259620246496,"squared_euclidean_pc1_pc3",749.525181172251,"sampled_pixels",10000,1,1433.79617170663,12455.7968629502,3802.64353149355,"sampled_pixels",10000
"1513",30848,FALSE,"all_pixels",8.67234045960306,7.57128405095293,5.22759524480609,205.072710413418,"squared_euclidean_pc1_pc3",809.2394445839,"sampled_pixels",10000,1,2031.63767699016,18735.9554694357,5164.00903471766,"sampled_pixels",10000
"1514",29927,FALSE,"all_pixels",6.98513430389644,6.39694880712876,3.7818682791394,126.18830202077,"squared_euclidean_pc1_pc3",584.76926641847,"sampled_pixels",10000,1,1072.5972667349,9735.54342305364,2874.23401405279,"sampled_pixels",10000
