"quad_id","standardized_PCA_n_pixels","standardized_PCA_manual_excluded","standardized_PCA_metric_method","standardized_PCA_pca_euclidean_mean","standardized_PCA_pca_euclidean_median","standardized_PCA_pca_euclidean_sd","standardized_PCA_rao_q_pca","standardized_PCA_rao_q_distance","standardized_PCA_alpha_hull_area","standardized_PCA_alpha_hull_method","standardized_PCA_alpha_hull_n_points","standardized_PCA_alpha_hull_alpha","standardized_PCA_pca_convex_hull_area","standardized_PCA_pca_hull_volume_3d","standardized_PCA_pca_hull_area_3d","standardized_PCA_pca_hull_3d_method","standardized_PCA_pca_hull_3d_n_points"
"sub50_45",196375,FALSE,"all_pixels",9.96037614721904,8.60733622700852,6.62738462939024,286.262192709807,"squared_euclidean_pc1_pc3",1010.81569614626,"sampled_pixels",10000,1,3952.33782545287,87948.5435829521,12019.5760396706,"sampled_pixels",10000
"sub50_46",178822,FALSE,"all_pixels",7.26859281801478,6.53201896298784,4.19083432641676,140.790871380136,"squared_euclidean_pc1_pc3",701.863232208072,"sampled_pixels",10000,1,2228.16517121361,46597.1809694349,7579.3852355648,"sampled_pixels",10000
"sub50_47",180256,FALSE,"all_pixels",7.29511529418168,6.54109937281304,4.2367720671849,142.337690245535,"squared_euclidean_pc1_pc3",678.970855937048,"sampled_pixels",10000,1,2642.16202774986,48997.0307065713,7627.38061246242,"sampled_pixels",10000
"sub50_48",141246,FALSE,"all_pixels",6.76233620925987,6.0557904967178,4.10626929204724,125.181038258834,"squared_euclidean_pc1_pc3",604.515482980477,"sampled_pixels",10000,1,2264.43730982734,40588.7405483515,7322.06554805672,"sampled_pixels",10000
"sub50_49",206958,FALSE,"all_pixels",7.41468380306874,6.19423230037192,6.3814709728697,191.401021813691,"squared_euclidean_pc1_pc3",680.927173746802,"sampled_pixels",10000,1,4344.84519361428,85794.4740678161,12605.3103290466,"sampled_pixels",10000
"sub50_5",176981,FALSE,"all_pixels",7.01801802497104,6.1308918812457,4.54084478925338,139.743463786686,"squared_euclidean_pc1_pc3",659.116955248333,"sampled_pixels",10000,1,3657.63714794915,61040.9960858918,10083.7472298921,"sampled_pixels",10000
"sub50_50",192715,FALSE,"all_pixels",6.90699373980403,6.06170018381784,4.39426355900786,134.032029100526,"squared_euclidean_pc1_pc3",655.950138489621,"sampled_pixels",10000,1,3054.83983477151,61027.550704969,8860.22107947454,"sampled_pixels",10000
"sub50_51",200631,FALSE,"all_pixels",6.76878806718678,5.79312151531165,4.78587367796355,137.441929194327,"squared_euclidean_pc1_pc3",686.961212775581,"sampled_pixels",10000,1,4382.50065946244,60248.263485605,9255.73900769418,"sampled_pixels",10000
"sub50_52",148734,FALSE,"all_pixels",6.92908861773829,6.19996216070796,3.97724163833353,127.661227536393,"squared_euclidean_pc1_pc3",640.934010165813,"sampled_pixels",10000,1,2672.84112359288,39388.8904170468,7297.71551768502,"sampled_pixels",10000
"sub50_53",NA,TRUE,"manual_excluded",NA,NA,NA,NA,"squared_euclidean_pc1_pc3",NA,"manual_excluded",NA,1,NA,NA,NA,"manual_excluded",NA
