"quad_id","standardized_PCA_n_pixels","standardized_PCA_manual_excluded","standardized_PCA_metric_method","standardized_PCA_pca_euclidean_mean","standardized_PCA_pca_euclidean_median","standardized_PCA_pca_euclidean_sd","standardized_PCA_rao_q_pca","standardized_PCA_rao_q_distance","standardized_PCA_alpha_hull_area","standardized_PCA_alpha_hull_method","standardized_PCA_alpha_hull_n_points","standardized_PCA_alpha_hull_alpha","standardized_PCA_pca_convex_hull_area","standardized_PCA_pca_hull_volume_3d","standardized_PCA_pca_hull_area_3d","standardized_PCA_pca_hull_3d_method","standardized_PCA_pca_hull_3d_n_points"
"0_a",4447,FALSE,"all_pixels",7.24448332808458,6.25690935128485,4.82827980046946,151.579164544997,"squared_euclidean_pc1_pc3",519.590123973146,"all_pixels",4430,1,2417.79078320823,43053.8693584889,6951.69165636831,"all_pixels",4430
"0_b",3350,FALSE,"all_pixels",6.99679980320841,6.41694791532754,3.68553974045068,125.068711954205,"squared_euclidean_pc1_pc3",444.978692201073,"all_pixels",3331,1,1226.15999495504,17648.9344500237,3804.53551465708,"all_pixels",3331
"0_c",6145,FALSE,"all_pixels",7.41725736729784,6.8135901059566,4.01885439577511,142.328538320891,"squared_euclidean_pc1_pc3",600.940844853767,"all_pixels",6130,1,1534.31023135157,23464.9261241472,4517.3303350697,"all_pixels",6130
"0_d",7842,FALSE,"all_pixels",7.1105702388288,6.03880939481146,4.52029206347199,141.981287739904,"squared_euclidean_pc1_pc3",698.861019227282,"all_pixels",7836,1,2127.65628808513,34634.5532417433,6027.73130816484,"all_pixels",7836
"1_a",9428,FALSE,"all_pixels",5.97795818385586,5.1307213669369,3.8419387512399,100.989823628901,"squared_euclidean_pc1_pc3",602.136883683985,"all_pixels",9428,1,2194.88470292168,31160.753679156,5874.88826471109,"all_pixels",9428
"1_b",9385,FALSE,"all_pixels",7.67022972168634,6.51963790318917,4.86630086308944,165.021569608127,"squared_euclidean_pc1_pc3",758.283722300319,"all_pixels",9379,1,2269.82162739386,34845.9180435772,6324.25793074529,"all_pixels",9379
"1_c",4712,FALSE,"all_pixels",6.92103517481755,6.28141014749289,3.50009234578964,120.297548875196,"squared_euclidean_pc1_pc3",496.545142327923,"all_pixels",4705,1,1042.02106284588,14003.4804261848,3180.24962255542,"all_pixels",4705
"1_d",7184,FALSE,"all_pixels",7.06597730018703,6.42597609826859,3.81112034494411,128.901303373271,"squared_euclidean_pc1_pc3",618.109597044281,"all_pixels",7165,1,1454.01056111784,20240.3039136167,4133.15372148199,"all_pixels",7165
"10_a",9159,FALSE,"all_pixels",8.31333553737919,7.67945003024833,4.2949230492491,175.111795481912,"squared_euclidean_pc1_pc3",788.221779885768,"all_pixels",9129,1,1968.16073556483,31076.2701607609,5526.67655429195,"all_pixels",9129
"10_b",7511,FALSE,"all_pixels",7.68975589544094,6.14841913316704,6.45316469490845,201.54027199626,"squared_euclidean_pc1_pc3",631.499286755339,"all_pixels",7419,1,5328.27158559597,110233.054620543,14550.0471631998,"all_pixels",7419
"10_c",7047,FALSE,"all_pixels",6.24559832082625,5.4028845854974,4.02595256754361,110.426984867357,"squared_euclidean_pc1_pc3",485.259529161676,"all_pixels",6979,1,1520.22222989856,20224.2986936049,4214.31554478897,"all_pixels",6979
"10_d",7086,FALSE,"all_pixels",6.01403466989726,5.28105750892167,4.14436686431674,106.683931627532,"squared_euclidean_pc1_pc3",438.749908153815,"all_pixels",7047,1,2068.22080872834,28324.489555961,5734.59626424483,"all_pixels",7047
"100_a",7809,FALSE,"all_pixels",6.71364208125152,5.72094259661515,4.06108928043126,123.126648319024,"squared_euclidean_pc1_pc3",566.898200255488,"all_pixels",7809,1,1338.16923491558,16293.7739467201,3622.24486909348,"all_pixels",7809
"100_b",7035,FALSE,"all_pixels",6.71296345148464,6.01669554166737,3.56425684447144,115.53199867345,"squared_euclidean_pc1_pc3",539.357782725632,"all_pixels",7026,1,1123.8168237894,16560.5511950212,3512.05422817053,"all_pixels",7026
"100_c",8911,FALSE,"all_pixels",6.11625264074809,5.4346443473484,3.41746104261769,98.1725514229333,"squared_euclidean_pc1_pc3",525.363486984396,"all_pixels",8911,1,1324.80708804774,20143.7330347136,3982.62103523996,"all_pixels",8911
"100_d",7619,FALSE,"all_pixels",6.87845958462781,5.77141610404543,5.24292178681921,149.595654534949,"squared_euclidean_pc1_pc3",578.941040901858,"all_pixels",7565,1,2893.55867316911,42624.4262358646,7564.08798506752,"all_pixels",7565
"1000_a",7586,FALSE,"all_pixels",6.2983155829654,5.45760055576725,3.61580407142684,105.482189645015,"squared_euclidean_pc1_pc3",475.787827465653,"all_pixels",7341,1,958.107741612656,13305.9296440892,3034.2697699559,"all_pixels",7341
"1000_b",8134,FALSE,"all_pixels",7.44649882904375,6.38643181295788,4.72756495706127,155.594935049035,"squared_euclidean_pc1_pc3",701.536476870985,"all_pixels",7977,1,2150.92684601059,29940.3406147875,5886.64852690385,"all_pixels",7977
"1000_c",7126,FALSE,"all_pixels",9.4491206698103,8.37071542684535,5.1144004117748,230.878604698062,"squared_euclidean_pc1_pc3",751.750758189469,"all_pixels",6890,1,1652.91037935773,21197.2665039006,4646.7057554888,"all_pixels",6890
"1000_d",7424,FALSE,"all_pixels",8.39038632777836,7.48800114929726,5.0826951040284,192.457784965954,"squared_euclidean_pc1_pc3",686.463623424553,"all_pixels",7380,1,1371.01533690497,17913.9158434006,3934.28350032707,"all_pixels",7380
"1001_a",6928,FALSE,"all_pixels",6.1428469831252,5.50797301557661,3.39896818880763,98.5717724559731,"squared_euclidean_pc1_pc3",488.501859561055,"all_pixels",6912,1,1175.00262829017,13909.3391361517,3311.91361817211,"all_pixels",6912
"1001_b",7555,FALSE,"all_pixels",7.18264370211934,6.13894489171665,4.43456814405605,142.506324423318,"squared_euclidean_pc1_pc3",696.599989210191,"all_pixels",7544,1,1791.03876803769,28752.0446415453,5318.15377280088,"all_pixels",7544
