"quad_id","n_pixels","manual_excluded","metric_method","pca_euclidean_mean","pca_euclidean_median","pca_euclidean_sd","rao_q_pca","rao_q_distance","alpha_hull_area","alpha_hull_method","alpha_hull_n_points","alpha_hull_alpha","pca_convex_hull_area","pca_hull_volume_3d","pca_hull_area_3d","pca_hull_3d_method","pca_hull_3d_n_points","standardized_PCA_n_pixels","standardized_PCA_manual_excluded","standardized_PCA_metric_method","standardized_PCA_pca_euclidean_mean","standardized_PCA_pca_euclidean_median","standardized_PCA_pca_euclidean_sd","standardized_PCA_rao_q_pca","standardized_PCA_rao_q_distance","standardized_PCA_alpha_hull_area","standardized_PCA_alpha_hull_method","standardized_PCA_alpha_hull_n_points","standardized_PCA_alpha_hull_alpha","standardized_PCA_pca_convex_hull_area","standardized_PCA_pca_hull_volume_3d","standardized_PCA_pca_hull_area_3d","standardized_PCA_pca_hull_3d_method","standardized_PCA_pca_hull_3d_n_points","sa_n_pixels","sa_n_pairs","sa_method","sa_entropy","sa_exact_entropy","sa_boot_mean","sa_boot_sd","sa_boot_cv","sa_boot_median","sa_boot_min","sa_boot_max","scale"
"0",21506,FALSE,"all_pixels",8.39247020390954,7.91186758521613,4.19377700527843,176.041007772258,"squared_euclidean_pc1_pc3",685.864193379139,"sampled_pixels",10000,1,1324.81481159997,12912.8256764093,3396.15729497174,"sampled_pixels",10000,21506,FALSE,"all_pixels",7.28190112843498,6.42917675924403,4.42739318301362,145.253965967094,"squared_euclidean_pc1_pc3",751.471956763795,"sampled_pixels",10000,1,2493.10734095682,45385.0208006909,7130.10332835155,"sampled_pixels",10000,21506,231243265,"bootstrap_mean",2.93169469432718,NA,2.93169469432718,0.0108841088097139,0.00371256557880144,2.93088955497769,2.90607349060828,2.95610592798437,"20m"
"1",30116,FALSE,"all_pixels",9.07382551450852,7.83371559622861,5.34398420398501,221.783056735868,"squared_euclidean_pc1_pc3",861.175859439672,"sampled_pixels",10000,1,1728.7990988352,19324.8129545993,4979.78615314456,"sampled_pixels",10000,30116,FALSE,"all_pixels",7.1354326970235,6.16544166418102,4.46080512559369,141.625042808765,"squared_euclidean_pc1_pc3",738.62307889207,"sampled_pixels",10000,1,2299.30498307441,43000.4289086618,7143.55096956079,"sampled_pixels",10000,30116,453471670,"bootstrap_mean",2.77962750086045,NA,2.77962750086045,0.0826021254669235,0.0297169766241533,2.76912353485673,2.74700507918537,3.45406406126601,"20m"
"10",30355,FALSE,"all_pixels",8.04219988254954,7.28893977316999,4.42537623959355,168.52057729757,"squared_euclidean_pc1_pc3",723.519422480098,"sampled_pixels",10000,1,1519.40318323851,13926.1856912479,3996.57952569234,"sampled_pixels",10000,30355,FALSE,"all_pixels",7.59305730008991,6.59575131971544,4.99010707337292,165.10973486896,"squared_euclidean_pc1_pc3",736.468172755674,"sampled_pixels",10000,1,3045.5732827667,71182.5952130773,10845.1008891315,"sampled_pixels",10000,30355,460697835,"bootstrap_mean",2.8281826165553,NA,2.8281826165553,0.0835365521640893,0.0295371846482233,2.83869278661488,2.14793615548874,2.86867185919867,"20m"
"100",30808,FALSE,"all_pixels",8.75761163620356,8.13425752636996,4.43041135921498,192.647338515,"squared_euclidean_pc1_pc3",709.142165554483,"sampled_pixels",10000,1,1508.99003474562,13359.9541219052,3565.16166859694,"sampled_pixels",10000,30808,FALSE,"all_pixels",6.62637310365144,5.81166148899064,4.09556190937758,121.363806810933,"squared_euclidean_pc1_pc3",595.339791305367,"sampled_pixels",10000,1,2418.61578972032,35646.0355299562,6378.00742333226,"sampled_pixels",10000,30808,474551028,"bootstrap_mean",2.78188656943148,NA,2.78188656943148,0.0120786906616687,0.00434190624247387,2.78315167908022,2.75805517574114,2.80841445827827,"20m"
"1000",29877,FALSE,"all_pixels",7.96931401532829,7.34852817257686,4.12104126869229,160.984757166478,"squared_euclidean_pc1_pc3",633.685544518575,"sampled_pixels",10000,1,1362.48310290362,10027.466179634,3328.38548505606,"sampled_pixels",10000,29877,FALSE,"all_pixels",8.04962002395185,7.023144516699,4.82820217262656,176.214276999058,"squared_euclidean_pc1_pc3",778.982593982343,"sampled_pixels",10000,1,2053.71876615121,28709.3877516096,5731.68654239429,"sampled_pixels",10000,29877,446302626,"bootstrap_mean",2.82510462632241,NA,2.82510462632241,0.0114317958658892,0.00404650353809041,2.82457264939712,2.79743622504089,2.85308151226269,"20m"
"1001",31500,FALSE,"all_pixels",7.82490189339398,6.89068642304717,4.35961169578564,160.469400814788,"squared_euclidean_pc1_pc3",691.842395948357,"sampled_pixels",10000,1,1120.01040155328,9591.37290005083,2840.1012588612,"sampled_pixels",10000,31500,FALSE,"all_pixels",7.33487962647903,6.40967852614569,4.35056488625587,145.454546188295,"squared_euclidean_pc1_pc3",718.200421580524,"sampled_pixels",10000,1,2192.79909577006,34016.5291969292,5862.13360178936,"sampled_pixels",10000,31500,496109250,"bootstrap_mean",2.86469066399077,NA,2.86469066399077,0.013727695035917,0.00479203399113015,2.86630073382787,2.83090493134058,2.89874645728442,"20m"
"1002",33370,FALSE,"all_pixels",9.50351052115619,8.74598875785994,5.03191305037604,231.272204804899,"squared_euclidean_pc1_pc3",861.257453106753,"sampled_pixels",10000,1,1694.41809386493,16835.1582755479,4301.96227696084,"sampled_pixels",10000,33370,FALSE,"all_pixels",7.70422375147201,6.8130949488531,4.80105036907366,164.808915032811,"squared_euclidean_pc1_pc3",722.917542365084,"sampled_pixels",10000,1,3919.22715951237,81183.8949084962,11398.4394877319,"sampled_pixels",10000,33370,556761765,"bootstrap_mean",2.85131045280708,NA,2.85131045280708,0.011628656311074,0.00407835502431023,2.84991078221319,2.82619606596851,2.87389920540021,"20m"
"1003",33621,FALSE,"all_pixels",8.18314184128589,7.29813862518181,4.64865718521896,177.14636253369,"squared_euclidean_pc1_pc3",762.789477148855,"sampled_pixels",10000,1,1335.64610260535,18058.0037562791,4162.41260230787,"sampled_pixels",10000,33621,FALSE,"all_pixels",7.84632880353882,6.79985178842233,4.80425686229023,169.290146380196,"squared_euclidean_pc1_pc3",782.60620703442,"sampled_pixels",10000,1,2278.58750950072,55152.2653681,8756.38712235418,"sampled_pixels",10000,33621,565169010,"bootstrap_mean",2.83717867165723,NA,2.83717867165723,0.0110976957717546,0.00391152516498804,2.83836420033082,2.81334514718663,2.86347711293659,"20m"
"1004",29272,FALSE,"all_pixels",7.49987375183002,6.77532704926288,4.0350960582509,145.059100522967,"squared_euclidean_pc1_pc3",657.061802904139,"sampled_pixels",10000,1,1131.13563324885,9785.0500573029,2818.17977865243,"sampled_pixels",10000,29272,FALSE,"all_pixels",7.0682680039883,6.31666149166567,4.07361436027715,133.108359262383,"squared_euclidean_pc1_pc3",714.155415466533,"sampled_pixels",10000,1,1919.01118543839,28773.5125031833,5184.21578164933,"sampled_pixels",10000,29272,428410356,"bootstrap_mean",2.87153179702243,NA,2.87153179702243,0.0125113882828357,0.00435704326722382,2.86877006958643,2.8424568924612,2.90786457421437,"20m"
"1005",30323,FALSE,"all_pixels",8.18139656269337,7.73767748795859,4.18975950289738,168.977511009745,"squared_euclidean_pc1_pc3",628.340687973554,"sampled_pixels",10000,1,1063.3094233795,8072.52325387631,2606.01015874975,"sampled_pixels",10000,30323,FALSE,"all_pixels",6.864274935226,6.19659011868106,3.77499218064085,122.736732782595,"squared_euclidean_pc1_pc3",622.440466778247,"sampled_pixels",10000,1,1616.25253704369,22682.3529361343,4647.79775145392,"sampled_pixels",10000,30323,459727003,"bootstrap_mean",2.79708111879606,NA,2.79708111879606,0.0116366360900016,0.00416027837441137,2.79762690093836,2.77137355142916,2.81862581340944,"20m"
