"","Name","spectral_entropy"
"1","0",1.64626756966193
"2","1",1.4335151946903
"3","10",1.5161145239456
"4","100",1.46751695091106
"5","1000",1.55414704128928
"6","1001",1.57070597988293
"7","1002",1.54616117724153
"8","1003",1.50317185534289
"9","1004",1.55385170106086
"10","1005",1.50699334863639
"11","1006",1.50067592662345
"12","1007",1.60525538899375
"13","1008",1.49984697667979
"14","101",1.47785694440643
"15","1011",1.48738065392321
"16","1012",1.52339392516211
"17","1015",1.78646954068046
"18","1016",1.76936256837898
"19","1017",1.65814408462747
"20","1018",1.84691879019641
"21","1019",1.57156993103372
"22","102",1.51073964283813
"23","1020",1.49284569740385
"24","1021",1.43355692975603
"25","1022",1.42353331106611
"26","1023",1.41273121397864
"27","1024",1.5715256036541
"28","103",1.56883762681022
"29","104",1.5231985252015
"30","105",1.66571903893363
"31","106",1.69069023156522
"32","107",1.55712008664751
"33","108",1.4248758736419
"34","109",1.43257470899675
"35","11",1.4306368571759
"36","110",1.75035891726127
"37","1100",1.52465471655529
"38","1101",1.50543366322485
"39","1102",1.444665545741
"40","1103",1.53321759129244
"41","1104",1.58667074964772
"42","1105",1.5843081461433
"43","1106",1.46325898871229
"44","1107",1.53927416565744
"45","1108",1.66505667643196
"46","1109",1.60449926700463
"47","111",1.60093411626844
"48","1116",1.89468462482096
"49","1117",1.73040944198077
"50","1118",1.66340445670267
"51","112",1.577697728785
"52","1121",1.45903927245623
"53","1122",1.43127149833371
"54","1123",1.48723604225017
"55","1124",1.39862620846145
"56","113",1.49546468152296
"57","114",1.56963405359563
"58","115",1.49962838267134
"59","116",1.38652514398592
"60","117",1.55721285678233
"61","118",1.4209958083495
"62","119",1.46510972531788
"63","12",1.40226307667852
"64","120",1.43629449179667
"65","1200",1.61208143895539
"66","1201",1.48375282783369
"67","1202",1.54491099083175
"68","1203",1.73511918424237
"69","1204",1.69345409758653
"70","1205",1.52116522092419
"71","1206",1.71405767780614
"72","1207",1.52038446613777
"73","1208",1.75586592662869
"74","1209",1.60155901291624
"75","121",1.38589331683173
"76","1210",1.58526000228512
"77","1217",1.9993770383679
"78","1218",1.84307103420298
"79","122",1.303956682991
"80","1222",1.50623996859253
"81","1223",1.47119995227323
"82","1224",1.42399211232833
"83","123",1.49789218985386
"84","124",1.58784074830581
"85","13",1.4934179922021
"86","1300",1.57892715785174
"87","1301",1.5753699234162
"88","1302",1.61025297586345
"89","1303",1.47326468953685
"90","1304",1.52134460935204
"91","1305",1.60631287395151
"92","1306",1.69170881156474
"93","1307",1.55584142339196
"94","1308",1.51557924029177
