"source","scale","metric_id","metric_label","statistic","statistic_label","n","pearson_r","r_squared","f_statistic","f_p_value","slope","intercept"
"sample_size_fixed4000","10m","standardized_PCA_alpha_hull_area","Std PCA alpha hull","metric_se","Bootstrap SE",32,0.37098697852635,0.13763133823611,4.78790606634285,0.0365839469685424,0.00173787394296101,0.650167927105782
"sample_size_fixed4000","20m","sa_entropy","Spectral angle entropy","metric_sd","Bootstrap SD",16,0.228420592231682,0.0521759669554724,0.77067420946299,0.394824984553845,0.181662569792446,-0.469645548413831
"sample_size_fixed4000","20m","sa_entropy","Spectral angle entropy","metric_cv","Bootstrap CV",16,0.198812854221076,0.0395265510035311,0.576144728027218,0.460417071799847,0.0551319120590758,-0.140341841728807
"sample_size_fixed4000","20m","sa_entropy","Spectral angle entropy","metric_se","Bootstrap SE",16,0.228420592231682,0.0521759669554724,0.770674209462989,0.394824984553846,0.0256909669976026,-0.0664179104074991
"sample_size_fixed4000","20m","pca_mean_distance","Raw PCA mean distance","metric_sd","Bootstrap SD",16,0.797644848498725,0.636237304336555,24.486629241809,0.000214085436325194,0.0221681705943071,-0.111593929280479
"sample_size_fixed4000","20m","pca_mean_distance","Raw PCA mean distance","metric_cv","Bootstrap CV",16,0.631579807832565,0.398893053661819,9.29036469347943,0.00868402370391524,0.00131399620367158,-0.00233011953610915
"sample_size_fixed4000","20m","pca_mean_distance","Raw PCA mean distance","metric_se","Bootstrap SE",16,0.797644848498725,0.636237304336555,24.486629241809,0.000214085436325194,0.00313505275074696,-0.0157817648266958
"sample_size_fixed4000","20m","spectral_rao_q","Raw PCA Rao's Q","metric_sd","Bootstrap SD",16,0.940117736733394,0.88382135892072,106.504077771459,6.31426369598734e-08,0.0646148778915273,-8.28866385719295
"sample_size_fixed4000","20m","spectral_rao_q","Raw PCA Rao's Q","metric_cv","Bootstrap CV",16,0.887693316849058,0.787999424778481,52.0375566687565,4.4685979358787e-06,0.000102526801095771,-0.000784451396026689
"sample_size_fixed4000","20m","spectral_rao_q","Raw PCA Rao's Q","metric_se","Bootstrap SE",16,0.940117736733394,0.88382135892072,106.504077771459,6.31426369598736e-08,0.00913792366452794,-1.1721940840794
"sample_size_fixed4000","20m","alpha_hull_area","Raw PCA alpha hull","metric_sd","Bootstrap SD",16,0.776659782124046,0.603200417168971,21.2822951579606,0.000402180365956056,0.0320498683845008,-4.75488125801986
"sample_size_fixed4000","20m","alpha_hull_area","Raw PCA alpha hull","metric_cv","Bootstrap CV",16,0.25818392739483,0.0666589403650189,0.999875828322862,0.334310949318218,1.21928808988533e-05,0.016469963981404
"sample_size_fixed4000","20m","alpha_hull_area","Raw PCA alpha hull","metric_se","Bootstrap SE",16,0.776659782124046,0.603200417168971,21.2822951579606,0.000402180365956056,0.00453253585416336,-0.672441756256533
"sample_size_fixed4000","20m","standardized_PCA_pca_mean_distance","Std PCA mean distance","metric_sd","Bootstrap SD",16,0.872887915635627,0.761933313262709,44.8070518889908,1.02073395970049e-05,0.0269443064861473,-0.118931591693051
"sample_size_fixed4000","20m","standardized_PCA_pca_mean_distance","Std PCA mean distance","metric_cv","Bootstrap CV",16,0.74287798615482,0.551867702313441,17.240774370144,0.000977365946380823,0.00177548790182503,-0.00266245193285599
"sample_size_fixed4000","20m","standardized_PCA_pca_mean_distance","Std PCA mean distance","metric_se","Bootstrap SE",16,0.872887915635627,0.761933313262709,44.8070518889907,1.0207339597005e-05,0.00381050036614469,-0.0168194669966932
"sample_size_fixed4000","20m","standardized_PCA_spectral_rao_q","Std PCA Rao's Q","metric_sd","Bootstrap SD",16,0.969628737914619,0.940179889389898,220.03500691013,5.89847805033557e-10,0.0683005912430944,-5.57595035392497
"sample_size_fixed4000","20m","standardized_PCA_spectral_rao_q","Std PCA Rao's Q","metric_cv","Bootstrap CV",16,0.756628421524947,0.572486568259333,18.7475091086553,0.000692426596643149,8.0889778828571e-05,0.0164508396032017
"sample_size_fixed4000","20m","standardized_PCA_spectral_rao_q","Std PCA Rao's Q","metric_se","Bootstrap SE",16,0.96962873791462,0.940179889389898,220.03500691013,5.89847805033555e-10,0.00965916224540852,-0.788558461363976
"sample_size_fixed4000","20m","standardized_PCA_alpha_hull_area","Std PCA alpha hull","metric_sd","Bootstrap SD",16,0.578068054773924,0.334162675950108,7.02615683189151,0.0190035092620671,0.0148088920679691,5.86862518028684
"sample_size_fixed4000","20m","standardized_PCA_alpha_hull_area","Std PCA alpha hull","metric_cv","Bootstrap CV",16,-0.471190861290278,0.222020827763474,3.99534036335826,0.0654267716525161,-2.34130801978309e-05,0.038534325925113
"sample_size_fixed4000","20m","standardized_PCA_alpha_hull_area","Std PCA alpha hull","metric_se","Bootstrap SE",16,0.583572908757352,0.340557339835517,7.23004901822399,0.0176366070326167,0.00211669336154965,0.820229660040019
"sample_size_fixed4000","50m","sa_entropy","Spectral angle entropy","metric_sd","Bootstrap SD",8,0.653588179360894,0.42717750820029,4.47444904118382,0.0787946840752659,0.622898106288934,-1.73629106963786
"sample_size_fixed4000","50m","sa_entropy","Spectral angle entropy","metric_cv","Bootstrap CV",8,0.650194141654907,0.422752421842363,4.39415361282208,0.0808990031373158,0.212355498996273,-0.591709742816932
"sample_size_fixed4000","50m","sa_entropy","Spectral angle entropy","metric_se","Bootstrap SE",8,0.653588179360894,0.42717750820029,4.47444904118382,0.078794684075266,0.0880910949890328,-0.245548637890914
"sample_size_fixed4000","50m","pca_mean_distance","Raw PCA mean distance","metric_sd","Bootstrap SD",8,0.799489014556998,0.63918268439732,10.6289136927314,0.0172444516105946,0.00842070066481457,-7.92745293917647e-05
"sample_size_fixed4000","50m","pca_mean_distance","Raw PCA mean distance","metric_cv","Bootstrap CV",8,0.0129800514204354,0.000168481734877146,0.00101106075453287,0.975665137075491,9.32800127472156e-06,0.00833172771887502
"sample_size_fixed4000","50m","pca_mean_distance","Raw PCA mean distance","metric_se","Bootstrap SE",8,0.799489014556998,0.63918268439732,10.6289136927314,0.0172444516105947,0.00119086690848649,-1.12111114616538e-05
"sample_size_fixed4000","50m","spectral_rao_q","Raw PCA Rao's Q","metric_sd","Bootstrap SD",8,0.636117434409304,0.404645390359476,4.07802728465109,0.0899735970328551,0.0386833098699414,-3.39156455596801
"sample_size_fixed4000","50m","spectral_rao_q","Raw PCA Rao's Q","metric_cv","Bootstrap CV",8,0.410468528478702,0.168484412871471,1.21573966005831,0.312448956990086,9.89751836135289e-05,0.00160978763296067
"sample_size_fixed4000","50m","spectral_rao_q","Raw PCA Rao's Q","metric_se","Bootstrap SE",8,0.636117434409305,0.404645390359476,4.07802728465109,0.0899735970328552,0.00547064614555522,-0.479639659271384
"sample_size_fixed4000","50m","alpha_hull_area","Raw PCA alpha hull","metric_sd","Bootstrap SD",8,0.610493432770987,0.372702231456503,3.5648355547816,0.107939475867579,0.0226778972839998,-0.141823847319822
"sample_size_fixed4000","50m","alpha_hull_area","Raw PCA alpha hull","metric_cv","Bootstrap CV",8,0.027328613469013,0.000746853114138728,0.00448446792366642,0.948784357104338,1.32916796544223e-06,0.0216739148318758
"sample_size_fixed4000","50m","alpha_hull_area","Raw PCA alpha hull","metric_se","Bootstrap SE",8,0.610493432770987,0.372702231456503,3.5648355547816,0.107939475867579,0.00320713899051365,-0.0200569208347595
"sample_size_fixed4000","50m","standardized_PCA_pca_mean_distance","Std PCA mean distance","metric_sd","Bootstrap SD",8,0.829636197389775,0.688296220019365,13.2490447192291,0.0108358728290745,0.0340958119427603,-0.160972622315126
"sample_size_fixed4000","50m","standardized_PCA_pca_mean_distance","Std PCA mean distance","metric_cv","Bootstrap CV",8,0.669432732080374,0.448140182780594,4.87232629154179,0.0693975396826326,0.00293238663980291,-0.009458684115455
"sample_size_fixed4000","50m","standardized_PCA_pca_mean_distance","Std PCA mean distance","metric_se","Bootstrap SE",8,0.829636197389775,0.688296220019365,13.2490447192291,0.0108358728290745,0.00482187596695741,-0.0227649665648812
"sample_size_fixed4000","50m","standardized_PCA_spectral_rao_q","Std PCA Rao's Q","metric_sd","Bootstrap SD",8,0.942742834595846,0.888764052181812,47.9393974491664,0.000449355947731559,0.115615351276488,-10.2095647663799
"sample_size_fixed4000","50m","standardized_PCA_spectral_rao_q","Std PCA Rao's Q","metric_cv","Bootstrap CV",8,0.792384757023273,0.627873603162832,10.1235538542713,0.0190336381539902,0.000409560195693423,-0.0160470327066753
"sample_size_fixed4000","50m","standardized_PCA_spectral_rao_q","Std PCA Rao's Q","metric_se","Bootstrap SE",8,0.942742834595847,0.888764052181811,47.9393974491663,0.000449355947731559,0.0163504797793739,-1.4438504958541
"sample_size_fixed4000","50m","standardized_PCA_alpha_hull_area","Std PCA alpha hull","metric_sd","Bootstrap SD",8,-0.247356363375721,0.0611851705024617,0.391036668233342,0.554777741697554,-0.00931418784185884,18.1225166267356
"sample_size_fixed4000","50m","standardized_PCA_alpha_hull_area","Std PCA alpha hull","metric_cv","Bootstrap CV",8,-0.692149089511436,0.479070362111511,5.51787029112052,0.0571353364879059,-7.12854372399315e-05,0.0627400840002271
"sample_size_fixed4000","50m","standardized_PCA_alpha_hull_area","Std PCA alpha hull","metric_se","Bootstrap SE",8,-0.24735636337572,0.0611851705024614,0.39103666823334,0.554777741697555,-0.00131722507684473,2.56291087978613
