"scenario","scale","spectral_metric","spectral_label","spectral_transform","biodiversity_metric","biodiversity_label","biodiversity_transform","n","pearson_r","r_squared","f_statistic","f_p_value","slope","intercept"
"biodiversity_power2_spectral_identity","50m","spec_alpha","Raw PCA alpha hull","identity","phy_faith","Faith's PD","power_2",74,0.13828779432438,0.0191235140591021,1.40373740424064,0.239994930368564,1.62798945098458e-05,697.590633939698
"biodiversity_power2_spectral_identity","10m","spec_alpha","Raw PCA alpha hull","identity","phy_rao","Phylogenetic Rao's Q","power_2",1741,0.0757232319255726,0.00573400785325405,10.0289457102713,0.00156772961978401,0.000477207091190282,523.667064559402
"biodiversity_power2_spectral_identity","20m","spec_alpha","Raw PCA alpha hull","identity","phy_rao","Phylogenetic Rao's Q","power_2",436,0.153939672521518,0.0236974227760321,10.5343176641422,0.00126251572747982,0.000918813749977754,619.197788914112
"biodiversity_power2_spectral_identity","50m","spec_alpha","Raw PCA alpha hull","identity","phy_rao","Phylogenetic Rao's Q","power_2",74,0.331671942968767,0.110006277752677,8.89944704125866,0.00389218502553498,0.00170633251087155,650.902984599743
"biodiversity_power2_spectral_identity","10m","spec_alpha","Raw PCA alpha hull","identity","phy_afaith","Abundance-weighted Faith's PD","power_2",1741,0.0675984543033878,0.0045695510242072,7.98292762620682,0.00477597895062091,6.26625542863618e-05,527.520666993321
"biodiversity_power2_spectral_identity","20m","spec_alpha","Raw PCA alpha hull","identity","phy_afaith","Abundance-weighted Faith's PD","power_2",436,0.210252810757802,0.0442062444315561,20.0728556464413,9.54697802148463e-06,2.75157739984048e-05,627.372560906062
"biodiversity_power2_spectral_identity","50m","spec_alpha","Raw PCA alpha hull","identity","phy_afaith","Abundance-weighted Faith's PD","power_2",74,0.451266947260023,0.20364185768938,18.4115826468392,5.45351955631076e-05,2.89672401305984e-06,678.362934893982
"biodiversity_power2_spectral_identity","10m","spec_alpha","Raw PCA alpha hull","identity","sp_rich","Species richness","power_2",1741,-0.0580687450865008,0.00337197915592099,5.8837115046999,0.0153827581257999,-0.668710224782757,547.657785891328
"biodiversity_power2_spectral_identity","20m","spec_alpha","Raw PCA alpha hull","identity","sp_rich","Species richness","power_2",436,-0.118212026815192,0.0139740832837557,6.15070257518929,0.0135143504115865,-0.509976686163382,683.343720083438
"biodiversity_power2_spectral_identity","50m","spec_alpha","Raw PCA alpha hull","identity","sp_rich","Species richness","power_2",74,-0.0455588210090161,0.00207560617173156,0.149754475678635,0.69991155837303,-0.0487483027144433,742.036442698609
"biodiversity_power2_spectral_identity","10m","spec_alpha","Raw PCA alpha hull","identity","sp_shannon","Shannon diversity","power_2",1741,-0.0386510406595829,0.00149390294406873,2.6017840325616,0.106924935404018,-8.05075915688884,544.048276312797
"biodiversity_power2_spectral_identity","20m","spec_alpha","Raw PCA alpha hull","identity","sp_shannon","Shannon diversity","power_2",436,-0.109038204878436,0.0118893301231118,5.2220560213902,0.0227837473608403,-15.0956690361103,693.216767367026
"biodiversity_power2_spectral_identity","50m","spec_alpha","Raw PCA alpha hull","identity","sp_shannon","Shannon diversity","power_2",74,-0.15360191437459,0.023593548099539,1.73978311988867,0.191346033495583,-12.4994041612873,793.519358184507
"biodiversity_power2_spectral_identity","10m","spec_alpha","Raw PCA alpha hull","identity","sp_simpson","Simpson diversity","power_2",1741,-0.0342408664403887,0.00117243693458854,2.04126107913178,0.153262275924988,-31.014013650348,545.260037068926
"biodiversity_power2_spectral_identity","20m","spec_alpha","Raw PCA alpha hull","identity","sp_simpson","Simpson diversity","power_2",436,-0.0827141366519741,0.00684162840208145,2.98972128858565,0.084505694214841,-84.1048680348367,699.856563377377
"biodiversity_power2_spectral_identity","50m","spec_alpha","Raw PCA alpha hull","identity","sp_simpson","Simpson diversity","power_2",74,-0.134775382438597,0.01816440371147,1.33203264596399,0.252260486812588,-150.101589981754,838.392852907444
"biodiversity_power2_spectral_identity","10m","spec_alpha","Raw PCA alpha hull","identity","sp_even","Species evenness","power_2",1741,0.00262182443617119,6.87396337410468e-06,0.0119539044782696,0.912950263793353,1.62286448801425,533.647357941066
"biodiversity_power2_spectral_identity","20m","spec_alpha","Raw PCA alpha hull","identity","sp_even","Species evenness","power_2",436,0.00731361707323008,5.34889946938419e-05,0.0232154654690367,0.878968904485177,7.02603020915753,647.551266986384
"biodiversity_power2_spectral_identity","50m","spec_alpha","Raw PCA alpha hull","identity","sp_even","Species evenness","power_2",74,-0.263010178548585,0.0691743540201587,5.35068356889609,0.0235741285586887,-262.887082856508,908.139812935538
"biodiversity_power2_spectral_identity","10m","spec_rao_q","Raw PCA Rao's Q","identity","phy_faith","Faith's PD","power_2",1744,0.0238988832084035,0.000571156618608912,0.995523429412413,0.318534709350719,8.30021922138611e-06,157.359848538611
"biodiversity_power2_spectral_identity","20m","spec_rao_q","Raw PCA Rao's Q","identity","phy_faith","Faith's PD","power_2",436,0.107623007555441,0.0115827117552786,5.08580430712408,0.0246199686740718,1.51002861757046e-05,165.288731736836
"biodiversity_power2_spectral_identity","50m","spec_rao_q","Raw PCA Rao's Q","identity","phy_faith","Faith's PD","power_2",74,0.164475498442739,0.0270521895879874,2.00191380204688,0.161411214185117,7.40417468335944e-06,178.026315451237
"biodiversity_power2_spectral_identity","10m","spec_rao_q","Raw PCA Rao's Q","identity","phy_rao","Phylogenetic Rao's Q","power_2",1744,0.0415259049224141,0.00172440077962538,3.00909504394716,0.0829753855288055,0.000151438100497996,156.066273983075
"biodiversity_power2_spectral_identity","20m","spec_rao_q","Raw PCA Rao's Q","identity","phy_rao","Phylogenetic Rao's Q","power_2",436,0.0917830352392245,0.00842412555772472,3.68713134948844,0.0554889194778584,0.000251237133874891,166.031655723906
"biodiversity_power2_spectral_identity","50m","spec_rao_q","Raw PCA Rao's Q","identity","phy_rao","Phylogenetic Rao's Q","power_2",74,0.314772705021875,0.0990818558267884,7.91847035789879,0.00630496743067774,0.000619241002716286,164.02401363936
"biodiversity_power2_spectral_identity","10m","spec_rao_q","Raw PCA Rao's Q","identity","phy_afaith","Abundance-weighted Faith's PD","power_2",1744,0.0263051470467196,0.000691960761149542,1.20623030996591,0.272231762309978,1.41321595696141e-05,157.939041037998
"biodiversity_power2_spectral_identity","20m","spec_rao_q","Raw PCA Rao's Q","identity","phy_afaith","Abundance-weighted Faith's PD","power_2",436,0.119492278761313,0.0142784046835713,6.2865901103452,0.012529799170453,7.17173533467559e-06,168.585275683044
