"quad_id","scale","spec_sa","spec_alpha","spec_rao_q","spec_pca_mean","spec_spca_alpha","spec_spca_rao","spec_spca_mean","phy_faith","phy_rao","phy_afaith","sp_rich","sp_shannon","sp_simpson","sp_even"
"0_a","10m",3.02560440689825,499.378404646183,177.183774994502,8.47252449331256,519.590123973146,151.579164544997,7.24448332808458,656.074673,184.092457477495,299.483912660822,6,1.37513714120822,0.728338184374887,0.767478651473612
"0_b","10m",2.9493690301664,416.193717133695,145.459729805383,7.70641369841934,444.978692201073,125.068711954205,6.99679980320841,369.873566,139.470794364107,159.375413760808,3,0.939864336167328,0.567460718083488,0.855501386487095
"0_c","10m",2.87333740952765,572.045970591876,165.024574879106,8.25042454588505,600.940844853767,142.328538320891,7.41725736729784,247.468474,123.517481008392,226.624169393925,2,0.692271031297238,0.499124106646377,0.998735983803614
"0_d","10m",2.86599322516298,665.595460684029,157.605409547091,7.69119317414123,698.861019227282,141.981287739904,7.1105702388288,517.963702,178.395048300193,249.896868855215,4,1.24822652968006,0.680786753705624,0.900405112137729
"1000_a","10m",2.75452741927128,399.826151503029,102.233057013401,6.32377916890955,475.787827465653,105.482189645015,6.2983155829654,464.339974,95.2817311339324,181.096093592883,5,1.28302121838267,0.676580891904852,0.797185904762387
"1000_b","10m",2.81547794935047,593.307107277569,174.01586618146,8.30511615892819,701.536476870985,155.594935049035,7.44649882904375,984.084727,324.521307759604,522.18636212172,5,1.0827496428371,0.604341044936682,0.672750178476631
"1000_c","10m",2.88646562090943,NA,190.866484704965,8.97999690988184,751.750758189469,230.878604698062,9.4491206698103,988.096389,297.101437115355,597.860950942753,6,1.52354800199675,0.75036947197774,0.850308329975308
"1000_d","10m",2.83119656767579,472.343620175757,114.997636550488,6.51864250446197,686.463623424553,192.457784965954,8.39038632777836,237.157208,113.395800184303,231.562012685084,2,0.671131258715934,0.478146125688505,0.968237738735045
"1001_a","10m",2.79682679332404,425.281783072351,105.213792884183,6.4743577452165,488.501859561055,98.5717724559731,6.1428469831252,357.883292,130.411016873605,257.337472758008,5,0.951000044867592,0.567429623703561,0.590889550643993
"1001_b","10m",2.87798981203083,602.899918210417,157.538775656332,7.82754419931451,696.599989210191,142.506324423318,7.18264370211934,772.690322,342.045345951877,744.832667618216,4,0.965703980511268,0.580670617309907,0.696608171825169
"1001_c","10m",2.91120599007606,732.59960689593,207.704907052973,9.25312473221513,843.768469915635,183.645592463571,8.33417733995596,690.331463,17.9766696646928,329.311424978495,3,0.136668665128883,0.0501449114619028,0.124401180051037
"1001_d","10m",2.85367248172176,480.619811009598,95.0945521211159,5.957665648671,561.546566714283,109.982179129966,6.23434257712819,331.952278,38.7351952190535,176.450723057369,4,0.632420417741477,0.316460567687482,0.456194900216277
"1002_a","10m",2.77518747844706,694.510788693479,195.141213535568,8.74313821648917,632.666651472616,119.383643150397,6.76745796274337,1027.515554,249.340891116974,505.054274921408,6,1.57539788280241,0.762125185566944,0.879246299438364
"1002_b","10m",2.75123454046596,676.359052804891,199.171807092028,8.53418738426658,557.712034149914,102.622913912343,6.08644655561421,92.2395140000001,28.0456617423995,77.3352818579494,3,0.959168537837991,0.572203535829654,0.873072828086447
"1002_c","10m",2.95626842070185,874.51463609814,252.920425813314,9.92403857105824,779.191001086748,238.972784025413,8.84331557551622,301.509616,72.0918190431673,155.600511268259,5,0.881840596585118,0.447542482029238,0.547918369371223
"1002_d","10m",2.86247437923713,787.544641209776,197.542956400933,8.77799718852005,780.064601647395,166.55714798828,7.85689942179074,1031.007601,302.15370991532,930.052708345404,6,1.54316493195822,0.734229100012492,0.861256747047117
"1003_a","10m",2.86382297942568,680.334248486874,180.646731769226,8.34277241974515,779.606341648537,197.230988663259,8.5923132325457,492.463832,86.3765637746049,162.050670118462,5,1.14017431207548,0.615412971478034,0.708430131579969
"1003_b","10m",2.80129208964044,624.143488583675,177.433760701731,8.22219119810142,662.581056407692,145.597221912327,7.55959926451948,394.229465,100.565279915478,92.7973710221902,3,0.646576527254258,0.371455268961566,0.588539318122982
"1003_c","10m",2.83243877999138,523.181315992591,139.898065887957,7.34630205019192,494.064911155893,101.933144845271,6.1821553092304,921.523179,311.56165784172,861.074218648833,5,1.51281047751858,0.76236288010107,0.9399619990501
"1003_d","10m",2.85110823143384,717.608432054045,161.323176752536,7.47987992598969,817.251998880328,173.814078782486,7.65894679344876,1006.080821,212.787149494821,605.11115252739,7,1.78091868784937,0.80746308629763,0.915211161581104
"1004_a","10m",2.83609365992005,531.265641618294,89.2249816242073,5.69124675130927,619.158885160653,113.577658131586,6.43244853780308,1207.885368,190.530640507998,776.417181907827,10,1.81727909548351,0.812209920353413,0.789234283246622
"1004_b","10m",2.87904644764019,450.15719141375,150.810830228646,7.82439772885227,502.356257114303,111.14196995331,6.73196541799815,922.392817,164.296268386174,486.755796976936,6,1.16732522167926,0.626978481363104,0.651496610860485
"1004_c","10m",2.83064045208284,520.716234639212,159.431348572118,7.87870661336374,556.847483002968,110.170872206313,6.55862055157631,772.505147,161.086336214136,582.461864481682,3,0.49666103033472,0.253098457551414,0.452080352147564
"1004_d","10m",2.92555255802296,629.388312811252,145.301380968609,7.51906138843229,804.049707163383,167.546967600326,7.85071343127176,1067.227346,165.337059741731,500.194515840291,6,1.09201433353807,0.590756697292904,0.609464803893874
"1005_a","10m",2.86824792793487,655.984560231975,157.133851677661,7.88921504260807,662.776898687545,146.300820444678,7.32802387997745,788.211025,66.2366803368941,401.218943735392,4,0.655462705584801,0.351095203910926,0.472816397417428
"1005_b","10m",2.80576929663546,529.638312977128,186.283908325822,8.59613727366846,533.994839954628,111.773147577486,6.68286611174927,1047.857449,309.225453621423,658.010491462846,6,1.58296802356757,0.787641757068451,0.883471275443886
"1005_c","10m",2.80125202964313,538.35647323424,160.092114030402,7.92093220298444,568.907042875741,124.309894963922,6.98933958117764,756.506243,196.04540069378,345.987547659986,7,1.59966090299199,0.784140559429795,0.822063086401281
"1005_d","10m",2.79762078925154,426.498003781743,138.625865203725,7.32346692278284,465.712371821644,99.5146185910287,6.16541722535742,665.409192,168.750556332664,365.567727884018,7,1.51885941221642,0.74361095091283,0.780539334230713
"1006_a","10m",2.78235337390387,538.496282558735,157.327231410036,7.83062972155723,547.900924197502,113.04782676496,6.51145755947968,626.563139,162.772630193653,309.107074449314,6,1.41000054026645,0.72144720288752,0.786936284965708
"1006_b","10m",2.75357890806725,497.958897094441,153.071173588083,7.62856669658686,482.301395236471,109.454576477795,6.03848148712685,652.248184,111.774116092248,245.010689418178,6,1.08903972950299,0.551766428004525,0.607804645772114
"1006_c","10m",2.77484299257359,724.033533565537,206.509886079419,8.88297326992206,648.980233114951,157.170242008035,7.63591069479311,287.699881,88.9572723650299,275.48373270604,3,0.811743215554155,0.464353609825637,0.738880516745596
"1006_d","10m",2.81384456610537,619.062460025476,152.761007140589,7.71774128553083,627.682331214208,133.314593371699,7.06779575703003,908.417334,226.203332496873,818.820891995764,4,1.21721362696738,0.667554204247589,0.878034031664151
