"scale","sv_measure","sv_label","diversity_measure","diversity_label","n_edge","n_non_edge_available","edge_r","resample_reps","resampled_non_edge_mean_r","resampled_non_edge_sd_r","resampled_non_edge_q025_r","resampled_non_edge_median_r","resampled_non_edge_q975_r","edge_r_percentile_in_resampled_non_edge","abs_edge_r_tail_probability","same_direction_tail_probability"
"10m","spec_spca_alpha","Std PCA alpha-hull area","sp_shannon","Shannon diversity",304,1440,0.0679393319523857,2000,-0.041684481707095,0.0525870707547537,-0.141796950696417,-0.0424884428565253,0.0652655342916431,0.9775,0.3335,0.0225
"10m","spec_spca_convex","Std PCA convex-hull area","phy_faith","Faith's PD",304,1440,0.0684646295293239,2000,-0.0449359887994772,0.0490905718885744,-0.141144587517872,-0.0455338950633677,0.0546023516903359,0.9865,0.3245,0.0135
"10m","spec_spca_convex","Std PCA convex-hull area","phy_rao","Phylogenetic Rao's Q",304,1440,0.0716136742353141,2000,-0.0388530098842708,0.0479884247504313,-0.130140385701444,-0.0400862858362952,0.0542879553249425,0.9905,0.2615,0.0095
"10m","spec_spca_convex","Std PCA convex-hull area","phy_afaith","Abundance-weighted Faith's PD",304,1440,0.158967983239774,2000,-0.0307920811052319,0.0459808089035183,-0.117075252272394,-0.0311966536215097,0.0616737216949797,1,5e-04,0
"10m","spec_spca_convex","Std PCA convex-hull area","sp_shannon","Shannon diversity",304,1440,-0.0277721674724415,2000,-0.0651225915149396,0.0510847254288291,-0.164634807375087,-0.0665951279549341,0.0337081876826746,0.764,0.7955,0.764
"10m","spec_spca_hull3d_v","Std PCA 3D hull volume","phy_faith","Faith's PD",304,1440,0.081037069671074,2000,-0.0440131213515759,0.0445369971707424,-0.128562931416265,-0.0444988559972104,0.0434867203406289,0.997,0.207,0.003
"10m","spec_spca_hull3d_v","Std PCA 3D hull volume","phy_rao","Phylogenetic Rao's Q",304,1440,0.0954730062512353,2000,-0.0302048891684882,0.0466434673793321,-0.119391891097238,-0.0310551867108537,0.0628878061504452,0.9945,0.0825,0.0055
"10m","spec_spca_hull3d_v","Std PCA 3D hull volume","phy_afaith","Abundance-weighted Faith's PD",304,1440,0.161404954411488,2000,-0.0272081921908681,0.0440670300140484,-0.110002358915118,-0.0270647715195418,0.0603093428670389,1,0.0015,0
"10m","spec_spca_hull3d_v","Std PCA 3D hull volume","sp_shannon","Shannon diversity",304,1440,-0.0219677657958112,2000,-0.0602636474865062,0.0496055724494731,-0.159564039142878,-0.0589045989311857,0.0362147560116113,0.785,0.835,0.785
"10m","spec_spca_hull3d_a","Std PCA 3D hull area","phy_faith","Faith's PD",304,1440,0.0672134565433168,2000,-0.0396667350281761,0.0498723175297349,-0.132483697652102,-0.0412401350266275,0.0600119165338215,0.981,0.315,0.019
"10m","spec_spca_hull3d_a","Std PCA 3D hull area","phy_rao","Phylogenetic Rao's Q",304,1440,0.0730239415676352,2000,-0.0309820383850666,0.0481751349871905,-0.126983542352704,-0.0298597430312478,0.0621933053542733,0.987,0.2065,0.013
"10m","spec_spca_hull3d_a","Std PCA 3D hull area","phy_afaith","Abundance-weighted Faith's PD",304,1440,0.154742172827122,2000,-0.0253644139102247,0.0453969412884389,-0.110726959760891,-0.0269549130585397,0.0659574532160447,1,5e-04,0
"10m","spec_spca_hull3d_a","Std PCA 3D hull area","sp_shannon","Shannon diversity",304,1440,-0.031948026886302,2000,-0.063415447044054,0.0506631910321079,-0.167421540627714,-0.0619438064020431,0.0351603497680458,0.7415,0.7715,0.7415
