"scale","edge_group","env_measure","env_label","variable","variable_label","n","pearson_r","r_squared","p_value"
"10m","non_edge","env_tri11","TRI 11x11","sp_shannon","Shannon diversity",1656,0.128594575105749,0.0165365647466281,1.51367467366703e-07
"10m","non_edge","env_tri11","TRI 11x11","spec_sa","SA entropy",1587,-0.0455228465582266,0.00207232955876385,0.0698299245104701
"10m","non_edge","env_tri11","TRI 11x11","spec_spca_mean","Std PCA mean distance",1440,-0.0866226762987765,0.00750348804916262,0.00100033934619991
"10m","non_edge","env_tri21","TRI 21x21","phy_faith","Faith's PD",1656,-0.0221745978255731,0.000491712788725912,0.367161982182595
"10m","non_edge","env_tri21","TRI 21x21","phy_rao","Phylogenetic Rao's Q",1656,-0.0540235651929348,0.00291854559615528,0.0279220861646661
"10m","non_edge","env_tri21","TRI 21x21","phy_afaith","Abundance-weighted Faith's PD",1656,-0.123525746911702,0.0152586101500938,4.60016477839433e-07
"10m","non_edge","env_tri21","TRI 21x21","sp_shannon","Shannon diversity",1656,0.16752713954608,0.0280653424844919,6.8505669460387e-12
"10m","non_edge","env_tri21","TRI 21x21","spec_sa","SA entropy",1587,-0.055384712593305,0.003067466389043,0.0273612369291813
"10m","non_edge","env_tri21","TRI 21x21","spec_spca_mean","Std PCA mean distance",1440,-0.11395617968107,0.0129860108875043,1.45955825526243e-05
"10m","edge_only","env_elev","Elevation","phy_faith","Faith's PD",344,-0.195063222503831,0.0380496607735791,0.00027291462924921
"10m","edge_only","env_elev","Elevation","phy_rao","Phylogenetic Rao's Q",344,-0.127018946073406,0.0161338126615988,0.0184317197086848
"10m","edge_only","env_elev","Elevation","phy_afaith","Abundance-weighted Faith's PD",344,-0.0739798050104028,0.00547301154937722,0.170998239747914
"10m","edge_only","env_elev","Elevation","sp_shannon","Shannon diversity",344,-0.0422054757458938,0.00178130218293723,0.435218147405318
"10m","edge_only","env_elev","Elevation","spec_sa","SA entropy",316,-0.204141365781331,0.0416736972230671,0.000259135840802556
"10m","edge_only","env_elev","Elevation","spec_spca_mean","Std PCA mean distance",304,-0.171646477352585,0.0294625131875515,0.00267555746593633
"10m","edge_only","env_tri5","TRI 5x5","phy_faith","Faith's PD",344,0.0919657663447038,0.00845770217936866,0.0885468664056618
"10m","edge_only","env_tri5","TRI 5x5","phy_rao","Phylogenetic Rao's Q",344,0.0308676505990154,0.000952811853502897,0.568296730245023
"10m","edge_only","env_tri5","TRI 5x5","phy_afaith","Abundance-weighted Faith's PD",344,0.0603732561198027,0.00364493005450729,0.264122494345761
"10m","edge_only","env_tri5","TRI 5x5","sp_shannon","Shannon diversity",344,0.0333092214828773,0.00110950423579537,0.538081809093388
"10m","edge_only","env_tri5","TRI 5x5","spec_sa","SA entropy",316,-0.0827809095931859,0.00685267899307521,0.142040379953481
"10m","edge_only","env_tri5","TRI 5x5","spec_spca_mean","Std PCA mean distance",304,-0.103632477358525,0.0107396903634652,0.071182525246547
"10m","edge_only","env_tri11","TRI 11x11","phy_faith","Faith's PD",344,0.093042956311255,0.00865699171913811,0.0848617165138077
"10m","edge_only","env_tri11","TRI 11x11","phy_rao","Phylogenetic Rao's Q",344,0.034231019913945,0.0011717627243489,0.526886837520381
"10m","edge_only","env_tri11","TRI 11x11","phy_afaith","Abundance-weighted Faith's PD",344,0.0533639550211981,0.00284771169550446,0.323713861336473
"10m","edge_only","env_tri11","TRI 11x11","sp_shannon","Shannon diversity",344,0.0345033621584883,0.0011904820002398,0.523602121104294
"10m","edge_only","env_tri11","TRI 11x11","spec_sa","SA entropy",316,-0.0883547526244548,0.0078065623113286,0.117004612375935
"10m","edge_only","env_tri11","TRI 11x11","spec_spca_mean","Std PCA mean distance",304,-0.0994753210421227,0.00989533949643339,0.0833513018094027
"10m","edge_only","env_tri21","TRI 21x21","phy_faith","Faith's PD",344,0.0686701208122998,0.00471558549237586,0.203904655154175
"10m","edge_only","env_tri21","TRI 21x21","phy_rao","Phylogenetic Rao's Q",344,0.0211935362070722,0.000449165976960481,0.695283735686103
"10m","edge_only","env_tri21","TRI 21x21","phy_afaith","Abundance-weighted Faith's PD",344,0.029953022893221,0.000897183580441822,0.579819786247793
"10m","edge_only","env_tri21","TRI 21x21","sp_shannon","Shannon diversity",344,0.025267123650949,0.000638427537592348,0.640496905637894
"10m","edge_only","env_tri21","TRI 21x21","spec_sa","SA entropy",316,-0.107347273057441,0.0115234370328688,0.0566247603389298
"10m","edge_only","env_tri21","TRI 21x21","spec_spca_mean","Std PCA mean distance",304,-0.0882250699822257,0.00778366297336862,0.124804945724957
"20m","all_quads","env_elev","Elevation","phy_faith","Faith's PD",500,-0.272130713770671,0.0740551253773351,6.13440431458526e-10
"20m","all_quads","env_elev","Elevation","phy_rao","Phylogenetic Rao's Q",500,-0.209523627621007,0.0439001505314663,2.29075081622036e-06
"20m","all_quads","env_elev","Elevation","phy_afaith","Abundance-weighted Faith's PD",500,-0.175841514994356,0.0309202383955104,7.71979407728706e-05
