"scale","variable","variable_label","edge_group_edge_only","n_edge_only","mean_edge_only","sd_edge_only","min_edge_only","q25_edge_only","median_edge_only","q75_edge_only","max_edge_only","range_edge_only","iqr_edge_only","edge_group_non_edge","n_non_edge","mean_non_edge","sd_non_edge","min_non_edge","q25_non_edge","median_non_edge","q75_non_edge","max_non_edge","range_non_edge","iqr_non_edge","range_ratio_edge_to_non_edge","sd_ratio_edge_to_non_edge","iqr_ratio_edge_to_non_edge"
"10m","phy_faith","Faith's PD","edge_only",344,402.40584265407,205.204074755232,1,263.766583,369.873566,484.30603175,1301.666307,1300.666307,220.53944875,"non_edge",1656,467.227998360507,228.109325558281,0,342.68974575,440.980152,576.72040375,1282.603271,1282.603271,234.030658,1.01408310457989,0.899586521739128,0.942352812382384
"10m","phy_rao","Phylogenetic Rao's Q","edge_only",344,117.738557497515,60.1167855154379,0,83.8703487847507,124.068792848321,154.637521869741,338.393201511752,338.393201511752,70.76717308499,"non_edge",1656,134.980825064908,71.6761123717406,0,100.917186797094,137.247723827975,163.673596544834,373.607055097305,373.607055097305,62.7564097477398,0.905746283146656,0.838728322814839,1.1276485281655
"10m","phy_afaith","Abundance-weighted Faith's PD","edge_only",344,249.848183297587,140.370235907055,2.91301064650846e-05,166.245699639329,233.458881233875,323.558455367042,819.200256712535,819.200227582429,157.312755727713,"non_edge",1656,280.914063586149,186.417504755745,0,168.567736517726,247.988562477793,347.797995849746,1312.09850870376,1312.09850870376,179.23025933202,0.624343539870133,0.752988492636332,0.877713151306079
"10m","sp_shannon","Shannon diversity","edge_only",344,0.996930749409977,0.395547272276333,0,0.692971594510528,1.0414001358706,1.29742438117018,1.87317262861049,1.87317262861049,0.604452786659652,"non_edge",1656,1.00147880887789,0.410353131770732,0,0.762982395397991,1.05105959294727,1.28664614502702,2.03063602339081,2.03063602339081,0.523663749629034,0.92245612066047,0.963919223838965,1.15427655072143
"10m","spec_sa","SA entropy","edge_only",316,2.83236563758213,0.094735681414656,2.23877524959359,2.77077581815342,2.8237847479245,2.88139798785705,3.14681479875461,0.90803954916102,0.11062216970363,"non_edge",1587,2.84570061562586,0.110869249082291,2.22499525650949,2.77948888274527,2.83027305192285,2.90133723965791,3.49761994566626,1.27262468915677,0.121848356912635,0.713517156234552,0.854481131592582,0.907867553626066
"10m","spec_spca_mean","Std PCA mean distance","edge_only",304,6.61751842741168,1.47950226572296,4.43583022024949,5.73051917581679,6.46657685024637,7.12200930120488,23.0990133058424,18.6631830855929,1.39149012538808,"non_edge",1440,6.88936700050837,1.8755201618323,4.12646328401689,5.86549610723876,6.55507467761387,7.34552726663855,31.2935589815454,27.1670956975285,1.4800311593998,0.686977485314736,0.788849032834467,0.940176236527604
"10m","spec_spca_med","Std PCA median distance","edge_only",304,5.79789673406708,1.10559909487141,3.94520854901235,5.07079774684586,5.66713577498052,6.31773572087413,15.7639759326098,11.8187673835975,1.24693797402827,"non_edge",1440,6.0654521623535,1.58099232739178,3.68822243391611,5.20256113109755,5.78833983342476,6.53369189742805,30.9073913001617,27.2191688662456,1.3311307663305,0.434207504339116,0.699307059064203,0.936750923025904
"10m","spec_spca_sd","Std PCA distance SD","edge_only",304,4.18644318102516,1.7755136570821,2.49478858654325,3.27244490088761,3.72345398930351,4.42999125971416,22.0004576842192,19.5056690976759,1.15754635882655,"non_edge",1440,4.24345876911654,1.93270167685753,2.37693267648668,3.31084768536537,3.78501635368311,4.47212650350168,25.3088208554205,22.9318881789338,1.1612788181363,0.850591497109892,0.918669279559477,0.996785905975842
"10m","spec_spca_rao","Std PCA Rao's Q","edge_only",304,133.277147070956,127.282081180496,51.7991810393246,89.1768715614045,112.783840710114,142.458018411287,2035.01881456157,1983.21963352225,53.281146849882,"non_edge",1440,145.429956967668,150.978922051932,45.6880755396273,91.7508020132439,115.784713901945,148.389980910161,2587.56910341382,2541.88102787419,56.6391788969169,0.780217331879155,0.843045369847822,0.940711851541024
"10m","spec_spca_alpha","Std PCA alpha-hull area","edge_only",304,522.5269492467,120.186700173925,294.119243382825,436.033118629577,500.416615622016,581.741938008403,1076.04509514062,781.925851757795,145.708819378827,"non_edge",1440,552.984552752277,151.299377885469,121.103994124579,451.00324511214,528.786961152062,623.218256420629,1477.58676270914,1356.48276858456,172.215011308489,0.576436258437478,0.794363478909372,0.846086634792936
"10m","spec_spca_convex","Std PCA convex-hull area","edge_only",304,1867.63357899637,1055.00148165859,587.602997014718,1151.12571722417,1538.23495129098,2265.14259993951,6679.32179982578,6091.71880281106,1114.01688271534,"non_edge",1440,1890.10600455207,1093.70058849986,523.842916886431,1209.4882152057,1591.14500849753,2225.72081340295,8768.82258884731,8244.97967196088,1016.23259819725,0.738839760093949,0.964616360960041,1.09622234584047
"10m","spec_spca_hull3d_v","Std PCA 3D hull volume","edge_only",304,28215.3458322286,21521.911904689,6122.05554632903,14414.8851485188,21168.5727169442,36667.3397875536,173719.518108063,167597.462561734,22252.4546390348,"non_edge",1440,29335.4701460352,23462.6447655232,5370.0668124152,15680.9804403807,22584.4980204427,34729.366175355,258415.757644472,253045.690832057,19048.3857349742,0.662320950855339,0.917284139097309,1.16820684695489
"10m","spec_spca_hull3d_a","Std PCA 3D hull area","edge_only",304,5264.94955747304,2776.66397778533,1876.44321415851,3372.59014325248,4423.62871699498,6531.57088851933,19227.8621910688,17351.4189769103,3158.98074526685,"non_edge",1440,5362.94099429624,2874.18433099524,1707.14385584108,3541.70909288967,4615.18363389193,6269.01629786513,24654.8603997988,22947.7165439577,2727.30720497546,0.756128346960911,0.966070250902754,1.15827829718042
"20m","phy_faith","Faith's PD","edge_only",86,647.018004651163,239.831668695366,212.62172,472.89532325,595.078451,807.7462835,1463.632849,1251.011129,334.85096025,"non_edge",414,773.643720954106,286.907675943109,1,569.6546735,723.1968395,962.99747375,1685.946518,1684.946518,393.34280025,0.742463405001677,0.835919317623702,0.851295511287295
"20m","phy_rao","Phylogenetic Rao's Q","edge_only",86,161.074839828842,43.1174647079296,67.3462629697411,130.496560760062,161.09121016694,184.43687995901,285.07865160327,217.732388633529,53.9403191989472,"non_edge",414,182.492303875152,58.3912051577187,0,152.633032453519,177.832106581037,200.315999181872,379.90813717436,379.90813717436,47.682966728353,0.573118518210627,0.738423955995879,1.1312282540271
"20m","phy_afaith","Abundance-weighted Faith's PD","edge_only",86,716.78770599725,292.539451183959,239.590023106809,528.496963094414,679.76946286936,874.660674928884,1864.19099775926,1624.60097465245,346.16371183447,"non_edge",414,869.386788897042,436.330097517734,0.0309734107638238,574.545898967295,782.466735570162,1040.77563769485,3451.1316714789,3451.10069806814,466.229738727552,0.470748644211359,0.67045443999441,0.74247454222725
"20m","sp_shannon","Shannon diversity","edge_only",86,1.58743172457204,0.35181088454694,0.613794391422991,1.41495195232853,1.63556861689333,1.77865843758456,2.4357115299787,1.82191713855571,0.363706485256028,"non_edge",414,1.59273492444375,0.387550304485259,0,1.38414992710962,1.63827828962821,1.85571153630675,2.40070602250056,2.40070602250056,0.471561609197132,0.75890888825197,0.907781210530107,0.771280948581171
"20m","spec_sa","SA entropy","edge_only",80,2.81884598825926,0.0721723054263238,2.65811937591885,2.77164870427137,2.81479204373248,2.87301698940156,3.05553271086206,0.39741333494321,0.101368285130181,"non_edge",405,2.83809677409729,0.101830451261109,2.25241129188898,2.78277537636819,2.82708891816767,2.88738521882432,3.19356553594977,0.94115424406079,0.10460984245613,0.422261640375221,0.708749735786426,0.969012883971134
"20m","spec_spca_mean","Std PCA mean distance","edge_only",76,6.77737946208429,1.0129069019974,5.3916009638404,6.17925707490959,6.64203938257193,7.09252191553262,12.040832983497,6.6492320196566,0.913264840623025,"non_edge",360,7.1441436884085,1.4394163423916,4.97609868205514,6.27052874918121,6.87169938587023,7.58248708247209,16.288882421495,11.3127837394399,1.31195833329088,0.587762673874452,0.703692790033529,0.696108113686975
"20m","spec_spca_med","Std PCA median distance","edge_only",76,5.91622051295322,0.727115838492401,4.55094420093336,5.43195061907918,5.81789823944804,6.25258878432564,8.34644861313581,3.79550441220245,0.820638165246462,"non_edge",360,6.24349025599554,1.07994054079917,4.47260549171809,5.57292993977656,6.0724233201273,6.67639918084885,11.6808369685178,7.20823147679971,1.10346924107229,0.526551405073296,0.673292474004473,0.743689207366588
"20m","spec_spca_sd","Std PCA distance SD","edge_only",76,4.46228506441806,1.71409994338372,2.92281586377827,3.60138805027095,4.01710545182947,4.94440014144505,16.0562927376466,13.1334768738683,1.3430120911741,"non_edge",360,4.6192135078503,1.95705963227063,2.73137480353359,3.60561437163999,4.074675055633,4.83930038534102,18.1736664492451,15.4422916457115,1.23368601370102,0.850487555551098,0.87585473386673,1.08861742474092
"20m","spec_spca_rao","Std PCA Rao's Q","edge_only",76,139.511969491063,87.7117037249227,78.0151196811388,104.545334354169,120.682940686728,154.913542354305,805.550810001862,727.535690320723,50.368208000136,"non_edge",360,156.52124803779,110.042248130058,65.5824935258429,106.074808522916,126.786743917774,161.013523120882,1051.38687622007,985.804382694227,54.938714597966,0.738012229497652,0.79707298983257,0.916807179940842
"20m","spec_spca_alpha","Std PCA alpha-hull area","edge_only",76,615.59550871438,107.420414058187,458.85518638348,540.308626037842,600.016982031901,656.003672841176,1000.36968598491,541.51449960143,115.695046803334,"non_edge",360,656.619447153061,144.200459930754,384.549461293252,559.835632994819,637.029279531192,724.807989739449,1235.40039906959,850.850937776338,164.97235674463,0.636438740981652,0.74493808209607,0.701299593982433
"20m","spec_spca_convex","Std PCA convex-hull area","edge_only",76,2562.5186814337,1197.83507998381,1002.06265910413,1629.75708444054,2292.34417090113,3237.6766369229,7146.21815341051,6144.15549430638,1607.91955248236,"non_edge",360,2555.10807976,1267.68967474708,847.710182511391,1723.52611591514,2199.64585967182,2980.69805484094,8070.01545358181,7222.30527107042,1257.1719389258,0.850719439805091,0.944896139682452,1.27899732939972
"20m","spec_spca_hull3d_v","Std PCA 3D hull volume","edge_only",76,43324.9678389003,26719.3499754404,12989.4484164088,23341.02697865,35162.0646920723,60385.848739475,165346.768682435,152357.320266026,37044.821760825,"non_edge",360,43390.2874855524,29042.5777327321,9382.38601576634,25534.067217816,33920.241166294,51511.4699485521,209796.568473664,200414.182457898,25977.4027307361,0.76021226840088,0.920006144817052,1.42604024523953
"20m","spec_spca_hull3d_a","Std PCA 3D hull area","edge_only",76,7287.12828557013,3178.81268170247,3068.07834194939,4730.15843440801,6443.443771574,9582.67729917079,19783.2944827432,16715.2161407938,4852.51886476279,"non_edge",360,7175.69747404426,3381.68872120637,2445.69230270603,4963.23640709215,6155.75734038972,8336.42567471586,23121.4873505959,20675.7950478899,3373.18926762371,0.808443694768571,0.940007476669371,1.43855517131454
