"scale","sv_measure","sv_label","diversity_measure","diversity_label","analysis_set_all","n_all","edge_n_all","pearson_r_all","r_squared_all","slope_all","intercept_all","f_statistic_all","f_p_value_all","spearman_r_all","spearman_p_value_all","analysis_set_non_edge","n_non_edge","edge_n_non_edge","pearson_r_non_edge","r_squared_non_edge","slope_non_edge","intercept_non_edge","f_statistic_non_edge","f_p_value_non_edge","spearman_r_non_edge","spearman_p_value_non_edge","analysis_set_edge_only","n_edge_only","edge_n_edge_only","pearson_r_edge_only","r_squared_edge_only","slope_edge_only","intercept_edge_only","f_statistic_edge_only","f_p_value_edge_only","spearman_r_edge_only","spearman_p_value_edge_only","delta_r_non_edge_minus_all","delta_r2_non_edge_minus_all","delta_r_edge_only_minus_non_edge","delta_r_edge_only_minus_all"
"10m","spec_spca_med","Std PCA median distance","phy_afaith","Abundance-weighted Faith's PD","all_quads",1744,304,0.159062213668665,0.0253007878171759,0.00131900793430849,5.64728584167928,45.2180240084707,2.38219889730294e-11,0.159307656663917,2.21824056591599e-11,"non_edge",1440,0,0.146098926365354,0.0213448962851091,0.00122264991413391,5.71268761728823,31.3634095826766,2.55974561104003e-08,0.149951618334928,1.07988999083439e-08,"edge_only",304,304,0.229588655670975,0.0527109508128054,0.00177330260070483,5.35596291595839,16.8044876683901,5.33083060559461e-05,0.208693906491598,0.000248172238445734,-0.0129632873033106,-0.00395589153206677,0.0834897293056207,0.0705264420023102
"10m","spec_spca_med","Std PCA median distance","sp_shannon","Shannon diversity","all_quads",1744,304,-0.01062774139185,0.000112948887092041,-0.040925971333971,6.06023273564505,0.196779187304543,0.657388340078715,0.0167945156670124,0.48336159581085,"non_edge",1440,0,-0.031093059675446,0.000966778359980844,-0.124467326141484,6.19178484803929,1.39157262395163,0.238334819919013,-0.0138230751160431,0.600196233397851,"edge_only",304,304,0.123504616385805,0.0152533902686049,0.357476702663495,5.44110799230913,4.67787734996639,0.0313380392835544,0.170143760899972,0.00291972153172678,-0.020465318283596,0.000853829472888803,0.154597676061251,0.134132357777655
"10m","spec_spca_sd","Std PCA distance SD","phy_faith","Faith's PD","all_quads",1744,304,-0.0112769962387952,0.000127170644169801,-9.50343319292081e-05,4.27710451524013,0.221559438000246,0.637913196083151,0.0370228151728462,0.122215829845922,"non_edge",1440,0,-0.0322278618363683,0.00103863507854404,-0.000273567389926439,4.37246263256197,1.49511011675988,0.221625644244691,0.04001933100781,0.129035542966496,"edge_only",304,304,0.0969546553613336,0.00940020519623498,0.00082584359181994,3.85834078640571,2.86580108753741,0.091511908094979,0.02682368225429,0.641327159019783,-0.0209508655975731,0.000911464434374241,0.129182517197702,0.108231651600129
"10m","spec_spca_sd","Std PCA distance SD","phy_rao","Phylogenetic Rao's Q","all_quads",1744,304,-4.77074264899019e-05,2.27599854228939e-09,-1.28232185608597e-06,4.23369158000388,3.96478946969398e-06,0.998411498925371,0.0383193942208576,0.10966403141728,"non_edge",1440,0,-0.0200108781000548,0.000400435242335252,-0.000533754838155845,4.31665101262688,0.57605655182302,0.447986578400975,0.0344513414806437,0.19135231786586,"edge_only",304,304,0.114852083367323,0.0131910010538146,0.00337702034445715,3.7918496239941,4.03693351246916,0.0454041717543472,0.0537656454290815,0.35017490711398,-0.0199631706735649,0.000400432966336709,0.134862961467378,0.114899790793813
"10m","spec_spca_sd","Std PCA distance SD","phy_afaith","Abundance-weighted Faith's PD","all_quads",1744,304,-0.0038079119017347,1.45001930513728e-05,-3.9800190281271e-05,4.24473088988271,0.0252597025660549,0.873740073902984,0.0627937668102387,0.00871456284492172,"non_edge",1440,0,-0.0238401319152552,0.000568351889736771,-0.000243892706187703,4.31382780815908,0.817754789921672,0.365988900634486,0.0441808727182877,0.0937560850673278,"edge_only",304,304,0.125400170532182,0.0157252027695003,0.00155545301015671,3.79880077448159,4.82488350788987,0.028811540861082,0.163502592709659,0.00425944254221621,-0.0200322200135205,0.000553851696685399,0.149240302447437,0.129208082433917
"10m","spec_spca_sd","Std PCA distance SD","sp_shannon","Shannon diversity","all_quads",1744,304,-0.0764754105181272,0.00584848841391608,-0.371191228584338,4.60918023894491,10.2480021388165,0.00139299601812246,-0.034980256382188,0.144230201487697,"non_edge",1440,0,-0.0823316058548746,0.00677849332264242,-0.402896548596444,4.65239342382156,9.81399751458081,0.00176683242233125,-0.0415149435711079,0.115327520444279,"edge_only",304,304,-0.0465319903535752,0.00216522612626521,-0.216293029908218,4.40231995681777,0.655317200054644,0.418855375943082,-0.0044716785858753,0.938109988473787,-0.0058561953367474,0.000930004908726341,0.0357996155012994,0.029943420164552
"10m","spec_spca_rao","Std PCA Rao's Q","phy_faith","Faith's PD","all_quads",1744,304,0.0258519896003669,0.000668325366297476,0.0168222046537969,135.596648953038,1.16500138806962,0.28058012717332,0.11528406291552,1.38567728912235e-06,"non_edge",1440,0,0.00261207302462456,6.82292548597128e-06,0.00173208677118398,144.613171438642,0.0098114337915086,0.921110247346561,0.111763678742075,2.13032954129241e-05,"edge_only",304,304,0.14229229784646,0.0202470980264256,0.0868867953931307,98.7575771285735,6.24098544813031,0.0130142469117122,0.131052097017273,0.0222880196717973,-0.0232399165757423,-0.000661502440811505,0.139680224821835,0.116440308246093
"10m","spec_spca_rao","Std PCA Rao's Q","phy_rao","Phylogenetic Rao's Q","all_quads",1744,304,0.0437895976538777,0.00191752886268849,0.0908832520126709,131.170305210415,3.34675277384347,0.0675085727682819,0.115416500911364,1.34736742832658e-06,"non_edge",1440,0,0.0239636695475617,0.000574257458184735,0.0499321765332141,138.582903297021,0.826256708947138,0.363509496627042,0.107502491011666,4.35593785670276e-05,"edge_only",304,304,0.153432132966979,0.0235414194267966,0.323410691230819,95.4876871276352,7.28091166214048,0.00736118338931068,0.151971720231572,0.00794883211949309,-0.019825928106316,-0.00134327140450375,0.129468463419417,0.109642535313101
"10m","spec_spca_rao","Std PCA Rao's Q","phy_afaith","Abundance-weighted Faith's PD","all_quads",1744,304,0.0247425802063645,0.000612195275268382,0.0199684838844867,137.687005148258,1.06709744152947,0.301745374940743,0.118184761008124,7.44593249276335e-07,"non_edge",1440,0,0.00658154609004947,4.33167489354455e-05,0.00525980425685015,143.912374187552,0.0622921832640331,0.802944703820908,0.103734965360104,8.02372679223822e-05,"edge_only",304,304,0.138976734900582,0.0193145328436266,0.123578842603587,102.479431143878,5.94786923445369,0.0153109705833039,0.194407520993687,0.000653878866310337,-0.0181610341163151,-0.000568878526332936,0.132395188810532,0.114234154694217
"10m","spec_spca_rao","Std PCA Rao's Q","sp_shannon","Shannon diversity","all_quads",1744,304,-0.0602378151594361,0.00362859437518239,-22.5759975248907,166.159365215954,6.34403131792391,0.0118666098133424,-0.011807395563581,0.622185742600777,"non_edge",1440,0,-0.0659801702477927,0.00435338286592771,-25.2227182947408,171.030681601607,6.28753661537431,0.0122684816210924,-0.0335315435613772,0.20348498147463,"edge_only",304,304,-0.0310348872930396,0.000963164229291668,-10.3415186185948,143.59876352401,0.291156028317702,0.58987828285992,0.0923620107646702,0.108012780946709,-0.00574235508835663,0.000724788490745323,0.0349452829547532,0.0292029278663965
"10m","spec_spca_alpha","Std PCA alpha-hull area","phy_faith","Faith's PD","all_quads",1744,304,0.152949455596971,0.0233935359674099,0.0992662098661044,502.150380124695,41.7276980606469,1.35748499117001e-10,0.113909341527726,1.85038844865614e-06,"non_edge",1440,0,0.14840887614653,0.0220251945190762,0.0986200069797777,506.479149031358,32.3855272558444,1.52977437452212e-08,0.113481906878391,1.5848923203008e-05,"edge_only",304,304,0.121819995853251,0.014840111389686,0.0702392896642967,494.621327209434,4.54922464008068,0.0337398079217235,0.100643323791986,0.0797741185330796,-0.0045405794504409,-0.0013683414483337,-0.0265888802932797,-0.0311294597437206
"10m","spec_spca_alpha","Std PCA alpha-hull area","phy_rao","Phylogenetic Rao's Q","all_quads",1744,304,0.176700073123062,0.0312229158416955,0.365775150889332,498.810808740093,56.1432761835908,1.06582636162814e-13,0.112107227401663,2.68991020084061e-06,"non_edge",1440,0,0.168800538454849,0.0284936217826471,0.352469729109901,504.651407272657,42.1755626541852,1.14630947643129e-10,0.105685364458002,5.8631303850878e-05,"edge_only",304,304,0.176153266870376,0.0310299734291061,0.350604830667172,481.559944865958,9.67114742315964,0.00205044929630679,0.121956074268574,0.0335401505821478,-0.00789953466821267,-0.00272929405904839,0.007352728415527,-0.000546806252685661
"10m","spec_spca_alpha","Std PCA alpha-hull area","phy_afaith","Abundance-weighted Faith's PD","all_quads",1744,304,0.188235408715587,0.0354325690943239,0.151518614955482,504.996807175095,63.9908972505503,2.25843841968381e-15,0.132439292794359,2.83501960598959e-08,"non_edge",1440,0,0.179682521041373,0.0322858083677833,0.143902490269834,511.465148115703,47.9759342524111,6.48693007638497e-12,0.118273505210944,6.79312548655741e-06,"edge_only",304,304,0.209116920166068,0.0437298862997416,0.175582139597647,478.769225486955,13.8103507296909,0.000240910150984393,0.200602260398602,0.000433097820798165,-0.00855288767421397,-0.00314676072654062,0.0294343991246952,0.0208815114504813
"10m","spec_spca_alpha","Std PCA alpha-hull area","sp_shannon","Shannon diversity","all_quads",1744,304,-0.0246043137563756,0.000605372255422172,-9.19715612563094,556.983309077242,1.05519725608826,0.304455753016458,-0.0160589552763287,0.50272772890915,"non_edge",1440,0,-0.0412381978738394,0.00170058896388193,-15.7978853522003,569.019196916087,2.44961271441013,0.117773890403594,-0.0317145456103098,0.229077019021297,"edge_only",304,304,0.0679393319523857,0.00461575282613646,21.3768919155191,501.191196979752,1.40042135230791,0.237583725948899,0.0636952578166871,0.268244560755504,-0.0166338841174638,0.00109521670845976,0.109177529826225,0.0925436457087613
"10m","spec_spca_convex","Std PCA convex-hull area","phy_faith","Faith's PD","all_quads",1744,304,-0.0257109679161645,0.000661053871186038,-0.123554421643737,1942.85279873804,1.1523175876082,0.283213197033312,-0.0199782343140522,0.404393366132108,"non_edge",1440,0,-0.0446382063415009,0.00199256946538641,-0.21442390034919,1991.22007215904,2.87103562915435,0.0904033483085105,-0.0190528139533048,0.470023281902982,"edge_only",304,304,0.0684646295293239,0.00468740549658757,0.346516924439523,1729.96461381832,1.42226318423682,0.233967427327432,-0.0406072528485518,0.480570119021797,-0.0189272384253364,0.00133151559420037,0.113102835870825,0.0941755974454884
"10m","spec_spca_convex","Std PCA convex-hull area","phy_rao","Phylogenetic Rao's Q","all_quads",1744,304,-0.0208447425749369,0.000434503293015388,-0.319492278117737,1928.87039339122,0.757233756993801,0.384315491776219,-0.0259149586661782,0.279409789223188,"non_edge",1440,0,-0.0376763147233664,0.00141950469113416,-0.568692782734533,1968.08918645688,2.04414942554987,0.153009578687883,-0.0312374942793973,0.236160105964337,"edge_only",304,304,0.0716136742353141,0.00512851833748169,1.25118004202309,1721.43736668201,1.55679659781912,0.213101474803872,-0.0121904390907328,0.832356837062614,-0.0168315721484295,0.000985001398118772,0.109289988958681,0.092458416810251
"10m","spec_spca_convex","Std PCA convex-hull area","phy_afaith","Abundance-weighted Faith's PD","all_quads",1744,304,-0.00404106053952449,1.6330170284102e-05,-0.0240849854421851,1892.97287001866,0.0284476211894039,0.866080339647608,0.0167348026080911,0.484918507029389,"non_edge",1440,0,-0.0299048908642038,0.000894302497599938,-0.173127477998198,1940.0575363097,1.28715810025257,0.256761419727549,-0.00746188593063881,0.77724068879792,"edge_only",304,304,0.158967983239774,0.025270819695321,1.17164889032781,1575.64096172982,7.8296492012288,0.00546997557924742,0.131757062677795,0.0215717381638601,-0.0258638303246793,0.000877972327315836,0.188872874103978,0.163009043779298
"10m","spec_spca_convex","Std PCA convex-hull area","sp_shannon","Shannon diversity","all_quads",1744,304,-0.0606062947022864,0.00367312295754039,-167.743768917272,2055.95201401884,6.42216961066951,0.011357395802789,-0.038761312086885,0.105626521710875,"non_edge",1440,0,-0.0672216790715365,0.00451875413719665,-186.152956971764,2079.0487876232,6.52746445630612,0.0107243515246714,-0.0387231017707336,0.141910600796837,"edge_only",304,304,-0.0277721674724415,0.000771293286117339,-76.7060683125419,1944.19202712604,0.233110368869871,0.629576864057666,-0.0367263673559381,0.523523575553853,-0.00661538436925015,0.000845631179656265,0.039449511599095,0.0328341272298448
"10m","spec_spca_hull3d_v","Std PCA 3D hull volume","phy_faith","Faith's PD","all_quads",1744,304,-0.0214750369887623,0.000461177213668708,-2.196745448613,30147.6812200189,0.803741373417991,0.370100982255308,0.0016499000390077,0.945107032938585,"non_edge",1440,0,-0.0425211752041448,0.00180805034074158,-4.38177662919093,31401.7475414241,2.60468579302198,0.106767669224332,7.4682331694129e-05,0.997740765609233,"edge_only",304,304,0.081037069671074,0.0065670066608745,8.36699860983121,24891.1906206909,1.99634602925563,0.158708697152783,-0.014292522803477,0.803991489178489,-0.0210461382153825,0.00134687312707287,0.123558244875219,0.102512106659836
"10m","spec_spca_hull3d_v","Std PCA 3D hull volume","phy_rao","Phylogenetic Rao's Q","all_quads",1744,304,-0.0111195475314079,0.00012364433730324,-3.62791325704414,29624.8791728709,0.215415070435874,0.642613827293525,-0.00333596725636153,0.889280583863717,"non_edge",1440,0,-0.0306938540362949,0.000942112675601379,-9.93892111383104,30698.3653975462,1.3560355658099,0.244418887562128,-0.0101169291385623,0.701284654336445,"edge_only",304,304,0.0954730062512353,0.00911509492264842,34.0276713408922,24239.3259974873,2.77808113993314,0.0965993102756594,0.00599825985112684,0.917047673442732,-0.019574306504887,0.000818468338298139,0.12616686028753,0.106592553782643
"10m","spec_spca_hull3d_v","Std PCA 3D hull volume","phy_afaith","Abundance-weighted Faith's PD","all_quads",1744,304,-0.00274645924033993,7.5430383588486e-06,-0.348441711771015,29238.3655553247,0.0131400719371804,0.908751489125706,0.0265259554209659,0.268226060660741,"non_edge",1440,0,-0.0285194410012128,0.000813358515021657,-3.54195720021787,30357.4118367281,1.17056163087097,0.279467266323221,0.00273090022963538,0.917533946232599,"edge_only",304,304,0.161404954411488,0.0260515593085745,24.2679148410469,22167.4145547481,8.07801581940431,0.00478565354684784,0.135717885852433,0.0179068764748537,-0.0257729817608729,0.000805815476662809,0.189924395412701,0.164151413651828
"10m","spec_spca_hull3d_v","Std PCA 3D hull volume","sp_shannon","Shannon diversity","all_quads",1744,304,-0.0536947196895887,0.00288312292254351,-3163.48800372726,32341.7920738434,5.03692219691578,0.0249376437091244,-0.0301116671918811,0.208795811439859,"non_edge",1440,0,-0.0600090720905271,0.00360108873316608,-3564.97110341101,32953.8685470276,5.19708074721698,0.0227707581259502,-0.0326970734647446,0.214967714328469,"edge_only",304,304,-0.0219677657958112,0.000482582734059614,-1237.75194369819,29450.7157327287,0.145810351243962,0.702840270626967,-0.0208441985854155,0.717372097237084,-0.00631435240093841,0.000717965810622575,0.0380413062947159,0.0317269538937775
"10m","spec_spca_hull3d_a","Std PCA 3D hull area","phy_faith","Faith's PD","all_quads",1744,304,-0.0211346718121434,0.000446674352607007,-0.266982171132054,5468.30215162638,0.778454437873483,0.377735974109632,-0.00914620791686851,0.702690588476413,"non_edge",1440,0,-0.0397317025101087,0.00157860818435178,-0.501556430378074,5599.45572389202,2.27362773645078,0.131811208176334,-0.00933900890011391,0.723271107589576,"edge_only",304,304,0.0672134565433168,0.00451764874050034,0.895333171972109,4909.2393956264,1.37052145415228,0.2426452403472,-0.0285284479000963,0.620273902952181,-0.0185970306979653,0.00113193383174477,0.106945159053425,0.0883481283554602
"10m","spec_spca_hull3d_a","Std PCA 3D hull area","phy_rao","Phylogenetic Rao's Q","all_quads",1744,304,-0.0149590677707946,0.000223773708571226,-0.602719504914089,5426.37840002085,0.389901049934998,0.532433186684172,-0.0165172407220916,0.490613932767862,"non_edge",1440,0,-0.0316681072969576,0.00100286901977162,-1.25616757806996,5535.19558889919,1.44357336543756,0.229759807658197,-0.0224074832841787,0.39550720534877,"edge_only",304,304,0.0730239415676352,0.0053324960420734,3.35783521397925,4872.59771891128,1.61904736839004,0.204203464977356,-0.00670260582381844,0.907348377599716,-0.016709039526163,0.000779095311200394,0.104692048864593,0.0879830093384298
"10m","spec_spca_hull3d_a","Std PCA 3D hull area","phy_afaith","Abundance-weighted Faith's PD","all_quads",1744,304,0.00138424845722844,1.91614379133932e-06,0.0216876235416911,5339.7511117322,0.00333792888046495,0.953934628070211,0.0208099692132598,0.385109300019852,"non_edge",1440,0,-0.0234789189825273,0.00055125963658808,-0.357205427938482,5466.00353805868,0.793148588216161,0.373298732130196,-0.00295049830956941,0.910929217132456,"edge_only",304,304,0.154742172827122,0.0239451400512589,3.00169642715899,4516.881426106,7.40883795800163,0.00686737070227355,0.130560657446245,0.0227994385719379,-0.0248631674397557,0.000549343492796741,0.178221091809649,0.153357924369894
"10m","spec_spca_hull3d_a","Std PCA 3D hull area","sp_shannon","Shannon diversity","all_quads",1744,304,-0.0585217079803112,0.00342479030493282,-425.787142132944,5776.77307389328,5.98648717442856,0.0145141168111334,-0.0344921801314841,0.149915110038401,"non_edge",1440,0,-0.0640196753606581,0.00409851883328406,-465.897330747049,5835.82060753877,5.91792480854425,0.0151088686898153,-0.0348690949581763,0.18602094451453,"edge_only",304,304,-0.031948026886302,0.00102067642192787,-232.238514666922,5496.74113107314,0.308559218541352,0.57897689737233,-0.033150391319932,0.564767975678837,-0.0054979673803469,0.000673728528351234,0.0320716484743562,0.0265736810940093
"20m","spec_sa","SA entropy","phy_faith","Faith's PD","all_quads",485,80,0.169797814012205,0.0288312976433233,5.80564424218147e-05,2.79126846063049,14.3389266230809,0.000171910148243026,0.218161869159303,1.23046306379733e-06,"non_edge",405,0,0.140382080323011,0.0197071284758164,4.95323617207661e-05,2.7997549636471,8.10163269208075,0.00464852291694664,0.211161677395393,1.82884757254702e-05,"edge_only",80,80,0.328611085270475,0.107985245362639,9.71368083312402e-05,2.75671105160452,9.4424997955444,0.00291990201640474,0.221426520318619,0.0483925347366105,-0.0294157336891933,-0.00912416916750683,0.188229004947464,0.15881327125827
"20m","spec_sa","SA entropy","phy_rao","Phylogenetic Rao's Q","all_quads",485,80,0.202725653945516,0.0410976907676371,0.00034595548155215,2.77310608643914,20.7009457059912,6.7999077026032e-06,0.192017225256838,2.06715825105389e-05,"non_edge",405,0,0.180373955084698,0.0325347636728966,0.000311407870687226,2.78128046283601,13.5524350311067,0.000263563910251521,0.191805535233326,0.000102665576018052,"edge_only",80,80,0.334031258986549,0.111576881980139,0.000557097839132618,2.72993605643142,9.79600442393743,0.0024607115176509,0.174566338490389,0.121450775023082,-0.0223516988608179,-0.00856292709474041,0.153657303901851,0.131305605041034
"20m","spec_sa","SA entropy","phy_afaith","Abundance-weighted Faith's PD","all_quads",485,80,0.181424373062246,0.0329148031410289,4.18286265166158e-05,2.79956109013171,16.4389342001637,5.85589040106411e-05,0.136392667695386,0.00261192376661801,"non_edge",405,0,0.165758756516707,0.0274759653619651,3.83722652501226e-05,2.80458889101858,11.3856456462725,0.000811874427502684,0.124002268863996,0.0125097058214948,"edge_only",80,80,0.250268200507071,0.0626341721850475,6.09540416793577e-05,2.77591812969202,5.21190903856816,0.0251561288956475,0.16643225503985,0.140078453096504,-0.0156656165455383,-0.00543883777906382,0.0845094439903637,0.0688438274448254
"20m","spec_sa","SA entropy","sp_shannon","Shannon diversity","all_quads",485,80,-0.0208378448756692,0.000434215779062451,-0.00532562661932695,2.84339563065015,0.209817327281389,0.647116623701874,0.0166422109252475,0.714673821848864,"non_edge",405,0,-0.0645482419454342,0.00416647553824632,-0.0169221318048923,2.86501859973515,1.6861147979737,0.194856464916273,-0.0203247582557927,0.68341627666502,"edge_only",80,80,0.325960974930794,0.106250557177834,0.0665852862594896,2.71279434723697,9.27278167995458,0.00317117942983949,0.253914674167839,0.0230428346143562,-0.0437103970697651,0.00373225975918386,0.390509216876228,0.346798819806463
"20m","spec_spca_mean","Std PCA mean distance","phy_faith","Faith's PD","all_quads",436,76,0.240127222391164,0.0576610829332953,0.00116235428175076,6.20529881075271,26.5561673616826,3.89463083274924e-07,0.291806698233982,5.2546560528859e-10,"non_edge",360,0,0.221715977029582,0.049157974470182,0.00111066910076517,6.28034409346092,18.5083898143007,2.18510295275224e-05,0.298046664514973,8.07143013633494e-09,"edge_only",76,76,0.265171297344943,0.0703158169356004,0.00110202596578332,6.0784878023222,5.59692264106637,0.0206125735931153,0.192181764746559,0.0962768674703699,-0.0184112453615818,-0.00850310846311331,0.0434553203153617,0.0250440749537799
