"scale","env_measure","env_label","edge_group_edge_only","n_edge_only","mean_edge_only","sd_edge_only","median_edge_only","min_edge_only","max_edge_only","edge_group_non_edge","n_non_edge","mean_non_edge","sd_non_edge","median_non_edge","min_non_edge","max_non_edge","mean_difference_edge_minus_non_edge","sd_ratio_edge_to_non_edge"
"10m","env_elev","Elevation","edge_only",344,230.859449026082,23.4583665008797,222.261230237282,200.046259923512,291.829804515794,"non_edge",1656,223.699872484055,15.7960833045668,219.831793301602,203.042788202864,283.140289231479,7.15957654202776,1.4850748789162
"10m","env_tri5","TRI 5x5","edge_only",344,2.02060530872077,0.778808559505945,1.87052215843259,0.567515063170993,4.59605457462667,"non_edge",1656,1.9847592502783,0.865577663466197,1.85226946577041,0.2813789481255,6.38381058975683,0.035846058442466,0.89975584211267
"10m","env_tri11","TRI 11x11","edge_only",344,9.41640544398826,3.46940555895543,8.97621985760871,2.54336717911135,20.3629275134779,"non_edge",1656,9.13575044281228,3.83340665928023,8.73461667121371,1.10536338031433,27.0199851263247,0.280655001175971,0.905045007566938
"10m","env_tri21","TRI 21x21","edge_only",344,33.2292418480487,11.1904192902923,32.2426714577819,7.77912592536831,62.9713280486733,"non_edge",1656,31.7573839495778,11.8847507990018,30.7783448023046,3.80710436627424,77.8066547433826,1.47185789847081,0.94157794972295
"20m","env_elev","Elevation","edge_only",86,230.859444548835,23.5244129043698,222.372056168603,201.929783317577,289.29453002326,"non_edge",414,223.699872485374,15.760604142246,219.691933006185,204.97442758059,279.6740305787,7.15957206346113,1.4926085759183
"20m","env_tri5","TRI 5x5","edge_only",86,2.02059099469744,0.676964280474704,1.86399178210103,0.734982789056483,3.88599852483979,"non_edge",414,1.9847591036042,0.709236117461761,1.91454529835915,0.319251137775621,4.23162934395311,0.0358318910932429,0.954497753015522
"20m","env_tri11","TRI 11x11","edge_only",86,9.41636568238394,3.12277551280159,8.89473239082086,2.86325041917115,17.0572856588851,"non_edge",414,9.1357499023247,3.27528997141464,8.83213712200141,1.1778312718072,18.7157252407955,0.280615780059234,0.953434822582389
"20m","env_tri21","TRI 21x21","edge_only",86,33.22920673474,10.5922269524804,32.5256032821167,9.55279946193853,58.7365724907657,"non_edge",414,31.7573828689825,10.8578349162016,30.7640221907372,5.16269226603175,61.1997191903875,1.47182386575756,0.975537667889487
