"scale","edge_group","sv_measure","sv_label","diversity_measure","diversity_label","n","simple_r","simple_r2","env_only_r2","adjusted_r2","diversity_incremental_r2_after_env","diversity_slope_adjusted","diversity_p_adjusted","env_elev_p","env_tri5_p","env_tri11_p","env_tri21_p"
"10m","edge_only","spec_spca_mean","Std PCA mean distance","phy_rao","Phylogenetic Rao's Q",304,0.232048275058317,0.0538464019575402,0.0398562203342348,0.088852649145255,0.0489964288110203,0.00552514612360606,7.89732716405309e-05,0.00977735041403284,0.550178745256761,0.286416783071518,0.111006711768833
"10m","edge_only","spec_spca_mean","Std PCA mean distance","phy_afaith","Abundance-weighted Faith's PD",304,0.21499391066012,0.0462223816209318,0.0398562203342348,0.0881769298386322,0.0483207095043975,0.00230477286459324,8.87477873146639e-05,0.00422065124493023,0.705401253626172,0.352122456507788,0.108398578810411
"10m","edge_only","spec_spca_mean","Std PCA mean distance","sp_shannon","Shannon diversity",304,0.0682747138153485,0.00466143654656774,0.0398562203342348,0.0446753923190672,0.00481917198483249,0.271860789753806,0.221136495931652,0.00319660312711252,0.800421915283361,0.482514152433385,0.195164553087817
"20m","all_quads","spec_sa","SA entropy","phy_faith","Faith's PD",485,0.169797814012205,0.0288312976433233,0.0853141495698858,0.094418996002733,0.0091048464328472,3.43866129810229e-05,0.0286771070371354,1.59964910728648e-05,0.427960290403637,0.437471275563638,0.448088136079674
"20m","all_quads","spec_sa","SA entropy","phy_rao","Phylogenetic Rao's Q",485,0.202725653945516,0.0410976907676371,0.0853141495698858,0.106804374777484,0.0214902252075977,0.000259456637928676,0.000743834665438139,1.10648035130636e-05,0.30936514448883,0.323473623791101,0.372148113226525
"20m","all_quads","spec_sa","SA entropy","phy_afaith","Abundance-weighted Faith's PD",485,0.181424373062246,0.032914803141029,0.0853141495698858,0.10165639426863,0.0163422446987442,3.06603347432232e-05,0.00331318925568966,1.89663081134511e-06,0.412820990584563,0.443556872158968,0.526095162182155
"20m","all_quads","spec_sa","SA entropy","sp_shannon","Shannon diversity",485,-0.0208378448756692,0.000434215779062449,0.0853141495698858,0.0856306090671371,0.00031645949725137,-0.00485414569329314,0.684071758873287,2.59238834597842e-07,0.554761101090223,0.644296278484689,0.7429721486501
"20m","all_quads","spec_spca_mean","Std PCA mean distance","phy_faith","Faith's PD",436,0.240127222391164,0.0576610829332953,0.104263728406674,0.125926503261289,0.0216627748546148,0.000754292053831671,0.00118418117857239,2.59269689328225e-05,0.0452996542492079,0.124679239204998,0.526650675558522
"20m","all_quads","spec_spca_mean","Std PCA mean distance","phy_rao","Phylogenetic Rao's Q",436,0.273805906821417,0.0749696746102983,0.104263728406674,0.139837115228545,0.0355733868218704,0.0047059259447019,3.01990872965528e-05,1.53285438703318e-05,0.06707158806863,0.164084150188101,0.566484356356614
"20m","all_quads","spec_spca_mean","Std PCA mean distance","phy_afaith","Abundance-weighted Faith's PD",436,0.301183817758066,0.0907116920793237,0.104263728406674,0.155715108802047,0.0514513803953727,0.000768358582446346,4.64066053336541e-07,2.35424780461433e-06,0.0513150999599143,0.114913492900481,0.384025883686971
