"scale","analysis_set","sv_measure","sv_label","diversity_measure","diversity_label","n","edge_n","pearson_r","r_squared","slope","intercept","f_statistic","f_p_value","spearman_r","spearman_p_value"
"10m","edge_only","spec_spca_med","Std PCA median distance","phy_faith","Faith's PD",304,304,0.24234315793375,0.0587302061973027,0.00128538597320405,5.28722108071593,18.8431865001537,1.93867658134683e-05,0.210016790472718,0.000226116499641237
"10m","all_quads","spec_spca_med","Std PCA median distance","phy_rao","Phylogenetic Rao's Q",1744,304,0.18280196113636,0.0334165569952994,0.00389828902189699,5.49803397695719,60.224125197982,1.43192902446609e-14,0.179429692391525,4.38019017755968e-14
"10m","non_edge","spec_spca_med","Std PCA median distance","phy_rao","Phylogenetic Rao's Q",1440,0,0.167226099397236,0.0279645683196142,0.00364875477991992,5.56510906610328,41.3699418076642,1.71077079344856e-10,0.172723189208249,4.15778435823927e-11
"10m","edge_only","spec_spca_med","Std PCA median distance","phy_rao","Phylogenetic Rao's Q",304,304,0.258676039893438,0.0669132936149516,0.00473614140453662,5.24449441699617,21.6569527070043,4.88652138582335e-06,0.209224070436325,0.000239102398714961
"10m","all_quads","spec_spca_med","Std PCA median distance","phy_afaith","Abundance-weighted Faith's PD",1744,304,0.159062213668665,0.0253007878171759,0.00131900793430849,5.64728584167928,45.2180240084707,2.38219889730294e-11,0.159307656663917,2.21824056591599e-11
"10m","non_edge","spec_spca_med","Std PCA median distance","phy_afaith","Abundance-weighted Faith's PD",1440,0,0.146098926365354,0.0213448962851091,0.00122264991413391,5.71268761728823,31.3634095826766,2.55974561104003e-08,0.149951618334928,1.07988999083439e-08
"10m","edge_only","spec_spca_med","Std PCA median distance","phy_afaith","Abundance-weighted Faith's PD",304,304,0.229588655670975,0.0527109508128054,0.00177330260070483,5.35596291595839,16.8044876683901,5.33083060559461e-05,0.208693906491598,0.000248172238445734
"10m","all_quads","spec_spca_med","Std PCA median distance","sp_shannon","Shannon diversity",1744,304,-0.01062774139185,0.000112948887092041,-0.040925971333971,6.06023273564505,0.196779187304543,0.657388340078715,0.0167945156670124,0.48336159581085
"10m","non_edge","spec_spca_med","Std PCA median distance","sp_shannon","Shannon diversity",1440,0,-0.031093059675446,0.000966778359980844,-0.124467326141484,6.19178484803929,1.39157262395163,0.238334819919013,-0.0138230751160431,0.600196233397851
"10m","edge_only","spec_spca_med","Std PCA median distance","sp_shannon","Shannon diversity",304,304,0.123504616385805,0.0152533902686049,0.357476702663495,5.44110799230913,4.67787734996639,0.0313380392835544,0.170143760899972,0.00291972153172678
