"quad_id","n_pixels","manual_excluded","metric_method","pca_euclidean_mean","pca_euclidean_median","pca_euclidean_sd","rao_q_pca","rao_q_distance","alpha_hull_area","alpha_hull_method","alpha_hull_n_points","alpha_hull_alpha","pca_convex_hull_area","pca_hull_volume_3d","pca_hull_area_3d","pca_hull_3d_method","pca_hull_3d_n_points","sa_n_pixels","sa_n_pairs","sa_method","sa_entropy","sa_exact_entropy","sa_boot_mean","sa_boot_sd","sa_boot_cv","sa_boot_median","sa_boot_min","sa_boot_max","scale"
"sub50_1",175140,FALSE,"all_pixels",9.50709693038709,8.67661042508336,5.14406313429135,233.692252972607,"squared_euclidean_pc1_pc3",838.125967539002,"sampled_pixels",10000,1,1928.02448996959,18432.7860410253,4742.61821805174,"sampled_pixels",10000,175140,15336922230,"bootstrap_mean",2.82516356772824,NA,2.82516356772824,0.0128165116908762,0.00453655563071774,2.82429916532442,2.7945852055805,2.86170594381956,"50m"
"sub50_10",190670,FALSE,"all_pixels",9.30636395626182,8.45532708114871,5.17929670442351,226.866767500324,"squared_euclidean_pc1_pc3",808.522091791803,"sampled_pixels",10000,1,1680.8090870797,21948.3523229657,4858.68812655737,"sampled_pixels",10000,190670,18177429115,"bootstrap_mean",2.82493821424302,NA,2.82493821424302,0.0128331829509422,0.00454281898493878,2.82295637502315,2.79452892287199,2.85970844438765,"50m"
"sub50_11",176363,FALSE,"all_pixels",7.9308259044601,7.02872997224767,4.45490724007015,165.488171028174,"squared_euclidean_pc1_pc3",636.950594324078,"sampled_pixels",10000,1,1259.37929211163,13436.1739452488,3492.64393484036,"sampled_pixels",10000,176363,15551865703,"bootstrap_mean",2.75360494872893,NA,2.75360494872893,0.0117326453642928,0.0042608310134352,2.75281532625913,2.7248588928631,2.77923034657649,"50m"
"sub50_12",169495,FALSE,"all_pixels",10.546166099444,9.5583587013577,7.19944862596965,326.106748224298,"squared_euclidean_pc1_pc3",892.137060382378,"sampled_pixels",10000,1,4085.59799316248,50221.1761127008,10093.411500904,"sampled_pixels",10000,169495,14364192765,"bootstrap_mean",2.81096742869172,NA,2.81096742869172,0.280609594725106,0.099826697335909,2.95062859692263,2.25520195678569,2.98994130459829,"50m"
"sub50_13",203330,FALSE,"all_pixels",8.77967211621726,7.52397226497475,5.97835782217517,225.646457882248,"squared_euclidean_pc1_pc3",923.420604053424,"sampled_pixels",10000,1,2472.13173831579,33697.8390807014,7624.21990754822,"sampled_pixels",10000,203330,20671442785,"bootstrap_mean",2.92035429389884,NA,2.92035429389884,0.0142844587332628,0.0048913444382778,2.9201153498508,2.88198116917066,2.95091423361465,"50m"
"sub50_14",178478,FALSE,"all_pixels",7.17912230819552,6.54259453328872,4.01302348930981,135.288128820343,"squared_euclidean_pc1_pc3",595.486524775298,"sampled_pixels",10000,1,1554.05862006637,10315.6288869685,3033.45979947887,"sampled_pixels",10000,178478,15927109003,"bootstrap_mean",2.82111058153471,NA,2.82111058153471,0.0137403496407453,0.00487054627729992,2.82201458328054,2.79009161914052,2.85169472462369,"50m"
"sub50_15",172782,FALSE,"all_pixels",7.45379844498205,6.79754462476792,4.0518709719161,143.953349223956,"squared_euclidean_pc1_pc3",678.040868098998,"sampled_pixels",10000,1,1444.08027828473,11672.8421549363,3391.78536500577,"sampled_pixels",10000,172782,14926723371,"bootstrap_mean",2.82963069525012,NA,2.82963069525012,0.0131298830970402,0.00464014018475284,2.82861210974102,2.79365638898686,2.86006403508917,"50m"
"sub50_16",157562,FALSE,"all_pixels",7.61538736328586,6.98137803129393,4.13779806970795,150.230777788439,"squared_euclidean_pc1_pc3",614.830208960876,"sampled_pixels",10000,1,1388.93292408854,13421.7725031331,3915.07295609519,"sampled_pixels",10000,157562,12412813141,"bootstrap_mean",2.85105553449855,NA,2.85105553449855,0.0821878815190329,0.0288271766454694,2.84262099720654,2.80222638131818,3.52139402960417,"50m"
"sub50_17",170415,FALSE,"all_pixels",9.4951218088735,8.89237102636453,4.72734769282721,225.010046473223,"squared_euclidean_pc1_pc3",927.417094491109,"sampled_pixels",10000,1,1816.23431697896,18999.1242554146,4682.975847945,"sampled_pixels",10000,170415,14520550905,"bootstrap_mean",2.91094868684144,NA,2.91094868684144,0.0122286738599357,0.00420092388272381,2.90890704203898,2.88821960132699,2.93829514323761,"50m"
"sub50_18",175121,FALSE,"all_pixels",9.54647557127315,8.72673612395233,5.34780018937211,239.467998777225,"squared_euclidean_pc1_pc3",861.945109962049,"sampled_pixels",10000,1,2364.96652042062,24397.2835394496,5632.69416417017,"sampled_pixels",10000,175121,15333594760,"bootstrap_mean",2.97404641423138,NA,2.97404641423138,0.0129341544220475,0.00434900893279779,2.97416351834114,2.9325798836446,2.9979326673378,"50m"
