"pc_axis","variance","pct_variance","cumulative_pct_variance"
1,81.0421549441622,0.669769875571589,0.669769875571589
2,24.1176814094919,0.199319681070181,0.86908955664177
3,4.5958785003361,0.0379824669449265,0.907072023586696
4,1.94772218033728,0.0160968775234486,0.923168901110145
5,1.46169964685345,0.0120801623706897,0.935249063480834
6,1.12406152179332,0.00928976464292,0.944538828123754
7,0.936737980324995,0.00774163620103302,0.952280464324787
8,0.902206944451011,0.00745625573926456,0.959736720064052
9,0.729680993932294,0.00603042143745698,0.965767141501509
10,0.605362038238843,0.00500299205156069,0.97077013355307
11,0.51543450914493,0.00425978933177629,0.975029922884846
12,0.439930613798999,0.00363579019668594,0.978665713081532
13,0.427808286443215,0.00353560567308443,0.982201318754616
14,0.302395202821644,0.00249913390761689,0.984700452662233
15,0.240633203760846,0.00198870416331277,0.986689156825546
16,0.179623982948845,0.00148449572684996,0.988173652552396
17,0.142125106218764,0.00117458765470053,0.989348240207096
18,0.130174422596187,0.00107582167434865,0.990424061881445
19,0.122519042747332,0.001012554072292,0.991436615953737
20,0.0925313921895475,0.000764722249500394,0.992201338203237
21,0.0748188550837118,0.000618337645319933,0.992819675848557
22,0.0711601786886859,0.000588100650319719,0.993407776498877
23,0.0657902130782053,0.000543720769241366,0.993951497268118
24,0.053411298592275,0.000441415690845248,0.994392912958964
25,0.0471602727407207,0.000389754320171245,0.994782667279135
26,0.0442189800853815,0.000365446116408112,0.995148113395543
27,0.0359656208041076,0.000297236535571138,0.995445349931114
28,0.0339960876970464,0.000280959402454929,0.995726309333569
29,0.0308517924645764,0.00025497349144278,0.995981282825012
30,0.0288400136257361,0.000238347220047406,0.996219630045059
31,0.0266823352705208,0.000220515167524965,0.996440145212584
32,0.025437511597587,0.000210227368575099,0.996650372581159
33,0.0241167754318649,0.000199312193651776,0.996849684774811
34,0.0231292406782585,0.000191150749407095,0.997040835524218
35,0.0206600695874835,0.000170744376756062,0.997211579900974
36,0.0203994857718348,0.000168590791502767,0.997380170692477
37,0.0188663115512383,0.000155919930175523,0.997536090622653
38,0.0170709303856242,0.000141082069302679,0.997677172691955
39,0.0164807774834045,0.00013620477259012,0.997813377464545
40,0.0153812033951372,0.000127117383430886,0.997940494847976
41,0.0144781080006427,0.000119653785129278,0.998060148633106
42,0.0139479013866209,0.000115271912286123,0.998175420545392
43,0.0130583659444161,0.000107920379705918,0.998283340925098
44,0.0123015992817787,0.000101666109766766,0.998385007034864
45,0.0115019747278317,9.50576423787748e-05,0.998480064677243
46,0.0109759554825108,9.07103758885191e-05,0.998570775053132
47,0.0104857235459499,8.66588722805776e-05,0.998657433925412
48,0.00984690865397247,8.1379410363409e-05,0.998738813335776
49,0.00900674906027026,7.44359426468617e-05,0.998813249278423
50,0.00848150441200681,7.00950777851803e-05,0.998883344356208
51,0.00772677669789765,6.38576586603112e-05,0.998947202014868
52,0.0075930962232305,6.27528613490125e-05,0.999009954876217
53,0.0068059919436578,5.6247867302957e-05,0.99906620274352
54,0.00657558970883839,5.43437166019702e-05,0.999120546460122
55,0.00583685955416491,4.82385087121068e-05,0.999168784968834
56,0.00561931906520158,4.6440653431418e-05,0.999215225622265
57,0.00554372686129343,4.58159244734995e-05,0.999261041546739
58,0.00534101544743313,4.41406235325052e-05,0.999305182170271
59,0.00515569951701781,4.26090869175026e-05,0.999347791257189
60,0.00488987223489826,4.04121672305642e-05,0.999388203424419
61,0.00483392736345156,3.99498129210873e-05,0.999428153237341
62,0.00449660645811289,3.71620368439082e-05,0.999465315274185
63,0.0043153165597165,3.56637732207975e-05,0.999500979047405
64,0.00403817066581365,3.33733112877162e-05,0.999534352358693
65,0.00377475700818923,3.11963389106548e-05,0.999565548697604
66,0.00359527281947042,2.971299850802e-05,0.999595261696112
67,0.00334410940205538,2.76372677855816e-05,0.999622898963897
68,0.00290307686226642,2.39923707625324e-05,0.99964689133466
69,0.00283750744112805,2.34504747200665e-05,0.99967034180938
70,0.00264827800628837,2.18865950932923e-05,0.999692228404473
71,0.00240873597179697,1.99069088578262e-05,0.999712135313331
72,0.00227784619617633,1.8825175175011e-05,0.999730960488506
73,0.00215551764349888,1.78141954008172e-05,0.999748774683907
74,0.00195533544978899,1.61597971056941e-05,0.999764934481013
75,0.00189859549649286,1.56908718718418e-05,0.999780625352884
76,0.00176086580824054,1.4552609985459e-05,0.99979517796287
77,0.0016954722809232,1.40121676109356e-05,0.999809190130481
78,0.0016534469947503,1.36648511962835e-05,0.999822854981677
79,0.00161646949825021,1.33592520516547e-05,0.999836214233729
80,0.0013990784797676,1.1562632064195e-05,0.999847776865793
81,0.00129248016865513,1.0681654286406e-05,0.999858458520079
82,0.00114475697890283,9.4608014785358e-06,0.999867919321558
83,0.00108761614763412,8.98856320358776e-06,0.999876907884761
84,0.00106095655372621,8.76823598120835e-06,0.999885676120743
85,0.000982100390656149,8.11653215418306e-06,0.999893792652897
86,0.000966928958040821,7.99114841356051e-06,0.99990178380131
87,0.000897391600718677,7.41645951007172e-06,0.99990920026082
88,0.000888859515903478,7.34594641242544e-06,0.999916546207233
89,0.000814127915717885,6.728329881966e-06,0.999923274537115
90,0.000734870516502664,6.07331005374103e-06,0.999929347847169
91,0.000670315013165714,5.53979349723731e-06,0.999934887640666
92,0.000636035730850534,5.25649364339285e-06,0.999940144134309
93,0.000594185440017782,4.91062347122134e-06,0.99994505475778
94,0.000543412783788993,4.4910147420578e-06,0.999949545772522
