"scale","x_metric","x_label","y_metric","y_label","x_transform","y_transform","n","pearson_r","spearman_r","r_squared","f_statistic","f_p_value","slope","intercept","residual_shapiro_p","residual_abs_cor_fitted","abs_r"
"10m","phy_faith","Faith's PD","spec_alpha","Raw PCA alpha hull","identity","identity",1741,0.0216571076011506,-0.00358404145363175,0.000469030309647819,0.816026449615902,0.366469617987335,0.0147918911475803,527.786485468402,4.1532289111924e-23,0.0559876716382884,0.0216571076011506
"10m","phy_faith","Faith's PD","spec_alpha","Raw PCA alpha hull","identity","log",1741,0.0103232924528701,-0.00358404145363175,0.000106570367067483,0.185345620681184,0.666872333507957,1.40248618610925e-05,6.23157941736033,1.44306252503243e-26,0.047885523025835,0.0103232924528701
"10m","phy_faith","Faith's PD","spec_alpha","Raw PCA alpha hull","identity","log1p",1741,0.0103581185537743,-0.00358404145363175,0.000107290619974043,0.186598408393783,0.665816494637304,1.40362019982567e-05,6.23363385286647,1.74599177481742e-26,0.0479149934945878,0.0103581185537743
"10m","phy_faith","Faith's PD","spec_alpha","Raw PCA alpha hull","identity","sqrt",1741,0.0164701912248463,-0.00358404145363175,0.000271267198983005,0.471861659622159,0.492223551814063,0.000242838073757294,22.7682660741743,3.53422926111897e-17,0.0527190404673608,0.0164701912248463
"10m","phy_faith","Faith's PD","spec_alpha","Raw PCA alpha hull","identity","power_0.25",1741,0.0134976760807462,-0.00358404145363175,0.000182187259580748,0.316881376160456,0.573560443452477,2.1165402678183e-05,4.76042615299622,1.78950009445572e-20,0.0504232251273986,0.0134976760807462
"10m","phy_faith","Faith's PD","spec_alpha","Raw PCA alpha hull","identity","power_0.5",1741,0.0164701912248463,-0.00358404145363175,0.000271267198983005,0.471861659622159,0.492223551814063,0.000242838073757294,22.7682660741743,3.53422926111897e-17,0.0527190404673608,0.0164701912248463
"10m","phy_faith","Faith's PD","spec_alpha","Raw PCA alpha hull","identity","power_2",1741,0.0282390509109641,-0.00358404145363175,0.000797443996352028,1.38786185175763,0.238927699002832,24.1995932275647,298470.745349041,4.62482648124578e-42,0.0542525653114663,0.0282390509109641
"10m","phy_faith","Faith's PD","spec_alpha","Raw PCA alpha hull","identity","boxcox",1741,0.0175933625769273,-0.00358404145363175,0.000309526406763229,0.538433080617981,0.463181748773453,0.000968030095775003,69.3892436294566,3.47150846767916e-17,0.0537650995450252,0.0175933625769273
"10m","phy_faith","Faith's PD","spec_alpha","Raw PCA alpha hull","identity","yeojohnson",1741,0.0176037026416761,-0.00358404145363175,0.000309890346696558,0.53906636436786,0.462918894336394,0.000967785452946486,69.4724532264408,3.49704340685557e-17,0.0537745612463427,0.0176037026416761
"10m","phy_faith","Faith's PD","spec_alpha","Raw PCA alpha hull","log","identity",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10m","phy_faith","Faith's PD","spec_alpha","Raw PCA alpha hull","log","log",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10m","phy_faith","Faith's PD","spec_alpha","Raw PCA alpha hull","log","log1p",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10m","phy_faith","Faith's PD","spec_alpha","Raw PCA alpha hull","log","sqrt",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10m","phy_faith","Faith's PD","spec_alpha","Raw PCA alpha hull","log","power_0.25",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10m","phy_faith","Faith's PD","spec_alpha","Raw PCA alpha hull","log","power_0.5",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10m","phy_faith","Faith's PD","spec_alpha","Raw PCA alpha hull","log","power_2",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10m","phy_faith","Faith's PD","spec_alpha","Raw PCA alpha hull","log","boxcox",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10m","phy_faith","Faith's PD","spec_alpha","Raw PCA alpha hull","log","yeojohnson",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10m","phy_faith","Faith's PD","spec_alpha","Raw PCA alpha hull","log1p","identity",1741,-0.0349559655818438,-0.00360759776933328,0.00122191952975905,2.12751771770016,0.144855462163896,-5.19111524744947,565.144965854962,3.28591187681286e-23,-0.0177790769834412,0.0349559655818438
"10m","phy_faith","Faith's PD","spec_alpha","Raw PCA alpha hull","log1p","log",1741,-0.0419529574739184,-0.00360759776933328,0.00176005064080841,3.06612459893097,0.0801161345171419,-0.0123925038660186,6.31100559853755,1.91389125647426e-26,-0.0432157818275302,0.0419529574739184
"10m","phy_faith","Faith's PD","spec_alpha","Raw PCA alpha hull","log1p","log1p",1741,-0.0419390698178951,-0.00360759776933328,0.00175888557719029,3.06409140491321,0.0802162329622366,-0.012356732518576,6.31285452356554,2.31658327529856e-26,-0.0431749876485397,0.0419390698178951
"10m","phy_faith","Faith's PD","spec_alpha","Raw PCA alpha hull","log1p","sqrt",1741,-0.0387514500287752,-0.00360759776933328,0.00150167487933266,2.61534000554675,0.106016202059302,-0.124228778617801,23.6113437436524,3.92166211132466e-17,-0.0309974110138632,0.0387514500287752
"10m","phy_faith","Faith's PD","spec_alpha","Raw PCA alpha hull","log1p","power_0.25",1741,-0.0404619385965851,-0.00360759776933328,0.00163716847499383,2.85170469904755,0.0914563860895891,-0.0137952742986138,4.8513884633129,2.32458993394371e-20,-0.0375723711712244,0.0404619385965851
"10m","phy_faith","Faith's PD","spec_alpha","Raw PCA alpha hull","log1p","power_0.5",1741,-0.0387514500287752,-0.00360759776933328,0.00150167487933266,2.61534000554675,0.106016202059302,-0.124228778617801,23.6113437436524,3.92166211132466e-17,-0.0309974110138632,0.0387514500287752
"10m","phy_faith","Faith's PD","spec_alpha","Raw PCA alpha hull","log1p","power_2",1741,-0.0269069601678718,-0.00360759776933328,0.000723984505475451,1.2599212184621,0.261820953069918,-5013.47351627227,339095.301157029,3.73016712998326e-42,0.0023909251548937,0.0269069601678718
"10m","phy_faith","Faith's PD","spec_alpha","Raw PCA alpha hull","log1p","boxcox",1741,-0.038023474743693,-0.00360759776933328,0.00144578463158426,2.51785975726658,0.112745065667704,-0.454891611535271,72.5124947487435,3.50433728236337e-17,-0.028319010765096,0.038023474743693
"10m","phy_faith","Faith's PD","spec_alpha","Raw PCA alpha hull","log1p","yeojohnson",1741,-0.0380165360093418,-0.00360759776933328,0.00144525701014959,2.51693956520087,0.11281078373998,-0.454426582090051,72.5928529769142,3.52681492296837e-17,-0.0282974970187332,0.0380165360093418
"10m","phy_faith","Faith's PD","spec_alpha","Raw PCA alpha hull","sqrt","identity",1741,-0.00307689231885725,-0.00358231541369657,9.46726634184375e-06,0.0164637320350024,0.897917637209271,-0.0803156678233944,536.219799202976,3.35679207025985e-23,-0.0463204363676128,0.00307689231885725
"10m","phy_faith","Faith's PD","spec_alpha","Raw PCA alpha hull","sqrt","log",1741,-0.0139748769011937,-0.00358231541369657,0.00019529718440352,0.339688143815784,0.560084851449005,-0.000725592995908824,6.25293980096957,1.58018143891169e-26,-0.053944184184805,0.0139748769011937
"10m","phy_faith","Faith's PD","spec_alpha","Raw PCA alpha hull","sqrt","log1p",1741,-0.0139449049585869,-0.00358231541369657,0.000194460374304023,0.338232363706743,0.560926692128486,-0.000722185925259846,6.25492932323203,1.911451707149e-26,-0.0539458724180501,0.0139449049585869
"10m","phy_faith","Faith's PD","spec_alpha","Raw PCA alpha hull","sqrt","sqrt",1741,-0.00834718030040947,-0.00358231541369657,6.96754189675457e-05,0.121173996433531,0.727806799409236,-0.0047035163877731,22.9763724205569,3.24393552848671e-17,-0.0511312623001344,0.00834718030040947
"10m","phy_faith","Faith's PD","spec_alpha","Raw PCA alpha hull","sqrt","power_0.25",1741,-0.0111458348106652,-0.00358231541369657,0.000124229633626639,0.216062174201467,0.642115058155009,-0.000667951401320767,4.78387357627598,1.85223432675465e-20,-0.0531632626854602,0.0111458348106652
"10m","phy_faith","Faith's PD","spec_alpha","Raw PCA alpha hull","sqrt","power_0.5",1741,-0.00834718030040947,-0.00358231541369657,6.96754189675457e-05,0.121173996433531,0.727806799409236,-0.0047035163877731,22.9763724205569,3.24393552848671e-17,-0.0511312623001344,0.00834718030040947
"10m","phy_faith","Faith's PD","spec_alpha","Raw PCA alpha hull","sqrt","power_2",1741,0.00518362194492162,-0.00358231541369657,2.6869936467871e-05,0.0467280750980368,0.82888310279477,169.768072828393,306070.237370104,4.04926120582243e-42,0.0344765738001658,0.00518362194492162
"10m","phy_faith","Faith's PD","spec_alpha","Raw PCA alpha hull","sqrt","boxcox",1741,-0.00725085412995287,-0.00358231541369657,5.25748856138553e-05,0.0914325331374655,0.762399986064916,-0.0152473336582635,70.1467490525124,3.02561902116916e-17,-0.050237899572015,0.00725085412995287
"10m","phy_faith","Faith's PD","spec_alpha","Raw PCA alpha hull","sqrt","yeojohnson",1741,-0.0072406043036343,-0.00358231541369657,5.24263506818092e-05,0.091174203766446,0.76272577848708,-0.0152129910328026,70.2291397950612,3.0462944320342e-17,-0.0502311818322619,0.0072406043036343
"10m","phy_faith","Faith's PD","spec_alpha","Raw PCA alpha hull","power_0.25","identity",1741,-0.0196404866715817,-0.00357851102442699,0.000385748716696579,0.671075884996795,0.412789005970708,-3.67435362162672,550.957368741329,3.1733348138011e-23,-0.035036606506555,0.0196404866715817
"10m","phy_faith","Faith's PD","spec_alpha","Raw PCA alpha hull","power_0.25","log",1741,-0.0291312521124539,-0.00357851102442699,0.000848629849639346,1.47702075242186,0.224406205710618,-0.0108403916016939,6.2863645069566,1.75542122033951e-26,-0.0517737523406507,0.0291312521124539
"10m","phy_faith","Faith's PD","spec_alpha","Raw PCA alpha hull","power_0.25","log1p",1741,-0.0291079534594786,-0.00357851102442699,0.000847272954599168,1.47465710513044,0.224777217976039,-0.0108040320004298,6.28826195013146,2.1238698626844e-26,-0.0517535002864997,0.0291079534594786
"10m","phy_faith","Faith's PD","spec_alpha","Raw PCA alpha hull","power_0.25","sqrt",1741,-0.0244393893878641,-0.00357851102442699,0.000597283753651646,1.03929720293474,0.308126783809623,-0.0986992713627864,23.31985380088,3.4431484723077e-17,-0.0442238877305996,0.0244393893878641
"10m","phy_faith","Faith's PD","spec_alpha","Raw PCA alpha hull","power_0.25","power_0.25",1741,-0.0268332225132896,-0.00357851102442699,0.000720021830447711,1.25302016502138,0.263131010533799,-0.0115251297568356,4.82153888178927,2.05709550748619e-20,-0.0484220882263872,0.0268332225132896
"10m","phy_faith","Faith's PD","spec_alpha","Raw PCA alpha hull","power_0.25","power_0.5",1741,-0.0244393893878641,-0.00357851102442699,0.000597283753651646,1.03929720293474,0.308126783809623,-0.0986992713627864,23.31985380088,3.4431484723077e-17,-0.0442238877305996,0.0244393893878641
"10m","phy_faith","Faith's PD","spec_alpha","Raw PCA alpha hull","power_0.25","power_2",1741,-0.011056325861082,-0.00357851102442699,0.000122242341546431,0.212605421333773,0.644790582060011,-2595.22046643032,321140.361830111,3.80192253141399e-42,-0.0176789229248056,0.011056325861082
"10m","phy_faith","Faith's PD","spec_alpha","Raw PCA alpha hull","power_0.25","boxcox",1741,-0.0234722180157875,-0.00357851102442699,0.000550945018580659,0.958621535071218,0.327670611103144,-0.353752562695649,71.4109828318201,3.11671289886549e-17,-0.0424879827913718,0.0234722180157875
"10m","phy_faith","Faith's PD","spec_alpha","Raw PCA alpha hull","power_0.25","yeojohnson",1741,-0.0234631048855787,-0.00357851102442699,0.000550517290871666,0.957876896619943,0.327858504008627,-0.353318197119976,71.4921426947047,3.13710421322924e-17,-0.042474003375414,0.0234631048855787
"10m","phy_faith","Faith's PD","spec_alpha","Raw PCA alpha hull","power_0.5","identity",1741,-0.00307689231885725,-0.00358231541369657,9.46726634184375e-06,0.0164637320350024,0.897917637209271,-0.0803156678233944,536.219799202976,3.35679207025985e-23,-0.0463204363676128,0.00307689231885725
"10m","phy_faith","Faith's PD","spec_alpha","Raw PCA alpha hull","power_0.5","log",1741,-0.0139748769011937,-0.00358231541369657,0.00019529718440352,0.339688143815784,0.560084851449005,-0.000725592995908824,6.25293980096957,1.58018143891169e-26,-0.053944184184805,0.0139748769011937
"10m","phy_faith","Faith's PD","spec_alpha","Raw PCA alpha hull","power_0.5","log1p",1741,-0.0139449049585869,-0.00358231541369657,0.000194460374304023,0.338232363706743,0.560926692128486,-0.000722185925259846,6.25492932323203,1.911451707149e-26,-0.0539458724180501,0.0139449049585869
"10m","phy_faith","Faith's PD","spec_alpha","Raw PCA alpha hull","power_0.5","sqrt",1741,-0.00834718030040947,-0.00358231541369657,6.96754189675457e-05,0.121173996433531,0.727806799409236,-0.0047035163877731,22.9763724205569,3.24393552848671e-17,-0.0511312623001344,0.00834718030040947
"10m","phy_faith","Faith's PD","spec_alpha","Raw PCA alpha hull","power_0.5","power_0.25",1741,-0.0111458348106652,-0.00358231541369657,0.000124229633626639,0.216062174201467,0.642115058155009,-0.000667951401320767,4.78387357627598,1.85223432675465e-20,-0.0531632626854602,0.0111458348106652
"10m","phy_faith","Faith's PD","spec_alpha","Raw PCA alpha hull","power_0.5","power_0.5",1741,-0.00834718030040947,-0.00358231541369657,6.96754189675457e-05,0.121173996433531,0.727806799409236,-0.0047035163877731,22.9763724205569,3.24393552848671e-17,-0.0511312623001344,0.00834718030040947
"10m","phy_faith","Faith's PD","spec_alpha","Raw PCA alpha hull","power_0.5","power_2",1741,0.00518362194492162,-0.00358231541369657,2.6869936467871e-05,0.0467280750980368,0.82888310279477,169.768072828393,306070.237370104,4.04926120582243e-42,0.0344765738001658,0.00518362194492162
"10m","phy_faith","Faith's PD","spec_alpha","Raw PCA alpha hull","power_0.5","boxcox",1741,-0.00725085412995287,-0.00358231541369657,5.25748856138553e-05,0.0914325331374655,0.762399986064916,-0.0152473336582635,70.1467490525124,3.02561902116916e-17,-0.050237899572015,0.00725085412995287
"10m","phy_faith","Faith's PD","spec_alpha","Raw PCA alpha hull","power_0.5","yeojohnson",1741,-0.0072406043036343,-0.00358231541369657,5.24263506818092e-05,0.091174203766446,0.76272577848708,-0.0152129910328026,70.2291397950612,3.0462944320342e-17,-0.0502311818322619,0.0072406043036343
"10m","phy_faith","Faith's PD","spec_alpha","Raw PCA alpha hull","power_2","identity",1741,0.0444863183399547,-0.00358404145363175,0.00197903251944379,3.44836197179374,0.0634834660044877,2.67022723564805e-05,527.59373007608,5.22643703462074e-23,0.0556450809152698,0.0444863183399547
"10m","phy_faith","Faith's PD","spec_alpha","Raw PCA alpha hull","power_2","log",1741,0.0357212524517235,-0.00358404145363175,0.00127600787671975,2.22181274818293,0.136254559685594,4.26486753981285e-08,6.22687064572681,1.49999209845536e-26,0.0323268078847248,0.0357212524517235
"10m","phy_faith","Faith's PD","spec_alpha","Raw PCA alpha hull","power_2","log1p",1741,0.0357522797319015,-0.00358404145363175,0.00127822550602813,2.22567907474449,0.135914343914308,4.25766002427317e-08,6.22894910198598,1.81637773026013e-26,0.0323933470039321,0.0357522797319015
"10m","phy_faith","Faith's PD","spec_alpha","Raw PCA alpha hull","power_2","sqrt",1741,0.0408090504453981,-0.00358404145363175,0.00166537859825504,2.90092451997623,0.0887074457262258,5.28777704853529e-07,22.7414917147133,4.56042169649795e-17,0.045966461591122,0.0408090504453981
"10m","phy_faith","Faith's PD","spec_alpha","Raw PCA alpha hull","power_2","power_0.25",1741,0.0384385452074546,-0.00358404145363175,0.00147752175766553,2.57321231376103,0.108868409768686,5.29703672942544e-08,4.75629506801104,2.05133919773925e-20,0.0393578827138749,0.0384385452074546
"10m","phy_faith","Faith's PD","spec_alpha","Raw PCA alpha hull","power_2","power_0.5",1741,0.0408090504453981,-0.00358404145363175,0.00166537859825504,2.90092451997623,0.0887074457262258,5.28777704853529e-07,22.7414917147133,4.56042169649795e-17,0.045966461591122,0.0408090504453981
"10m","phy_faith","Faith's PD","spec_alpha","Raw PCA alpha hull","power_2","power_2",1741,0.0472232062983491,-0.00358404145363175,0.00223003121309643,3.88669172343364,0.0488285140809201,0.0355641103011155,300276.178204372,5.04377426491739e-42,0.0636202814369969,0.0472232062983491
"10m","phy_faith","Faith's PD","spec_alpha","Raw PCA alpha hull","power_2","boxcox",1741,0.0416590560621077,-0.00358404145363175,0.00173547695198583,3.02324118490004,0.0822562448634876,2.01441032981483e-06,69.3069212962397,4.59301306140606e-17,0.0483336689141055,0.0416590560621077
"10m","phy_faith","Faith's PD","spec_alpha","Raw PCA alpha hull","power_2","yeojohnson",1741,0.0416667038465259,-0.00358404145363175,0.00173611420943409,3.02435323282775,0.0821999746523756,2.01308781334803e-06,69.3903641256234,4.62793237947426e-17,0.0483550809991052,0.0416667038465259
"10m","phy_faith","Faith's PD","spec_alpha","Raw PCA alpha hull","boxcox","identity",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10m","phy_faith","Faith's PD","spec_alpha","Raw PCA alpha hull","boxcox","log",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10m","phy_faith","Faith's PD","spec_alpha","Raw PCA alpha hull","boxcox","log1p",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10m","phy_faith","Faith's PD","spec_alpha","Raw PCA alpha hull","boxcox","sqrt",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10m","phy_faith","Faith's PD","spec_alpha","Raw PCA alpha hull","boxcox","power_0.25",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10m","phy_faith","Faith's PD","spec_alpha","Raw PCA alpha hull","boxcox","power_0.5",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10m","phy_faith","Faith's PD","spec_alpha","Raw PCA alpha hull","boxcox","power_2",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10m","phy_faith","Faith's PD","spec_alpha","Raw PCA alpha hull","boxcox","boxcox",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10m","phy_faith","Faith's PD","spec_alpha","Raw PCA alpha hull","boxcox","yeojohnson",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10m","phy_faith","Faith's PD","spec_alpha","Raw PCA alpha hull","yeojohnson","identity",1741,0.00871149978566135,-0.00358705300952772,7.58902285155774e-05,0.131983123618001,0.716428820668499,0.0363588198697615,530.936322295094,3.66166892111981e-23,0.0520339020264866,0.00871149978566135
"10m","phy_faith","Faith's PD","spec_alpha","Raw PCA alpha hull","yeojohnson","log",1741,-0.00268777817570138,-0.00358705300952772,7.22415152177738e-06,0.0125628902525936,0.910769501589761,-2.23134839606467e-05,6.24023655326527,1.49665955473925e-26,-0.0522297475546488,0.00268777817570138
"10m","phy_faith","Faith's PD","spec_alpha","Raw PCA alpha hull","yeojohnson","log1p",1741,-0.00265463783540214,-0.00358705300952772,7.04710203714871e-06,0.0122549968048146,0.911865204945701,-2.19820206951195e-05,6.24226308777434,1.81049758339075e-26,-0.0522451470709299,0.00265463783540214
"10m","phy_faith","Faith's PD","spec_alpha","Raw PCA alpha hull","yeojohnson","sqrt",1741,0.00334100785145557,-0.00358705300952772,1.1162333463487e-05,0.0194115145708026,0.889209301160865,0.000301015760125213,22.8495234637133,3.30518274782055e-17,0.0531660646704439,0.00334100785145557
"10m","phy_faith","Faith's PD","spec_alpha","Raw PCA alpha hull","yeojohnson","power_0.25",1741,0.000383772626067094,-0.00358705300952772,1.47281428518361e-07,0.000256122441915509,0.987233175311561,3.67735136525322e-06,4.76976109668284,1.79000691210264e-20,0.0531439050877675,0.000383772626067094
"10m","phy_faith","Faith's PD","spec_alpha","Raw PCA alpha hull","yeojohnson","power_0.5",1741,0.00334100785145557,-0.00358705300952772,1.1162333463487e-05,0.0194115145708026,0.889209301160865,0.000301015760125213,22.8495234637133,3.30518274782055e-17,0.0531660646704439,0.00334100785145557
"10m","phy_faith","Faith's PD","spec_alpha","Raw PCA alpha hull","yeojohnson","power_2",1741,0.0163883233643064,-0.00358705300952772,0.000268577142693069,0.467181125315005,0.49437790601411,85.8195226344386,300993.994203407,4.30395270505282e-42,0.0447966004207218,0.0163883233643064
"10m","phy_faith","Faith's PD","spec_alpha","Raw PCA alpha hull","yeojohnson","boxcox",1741,0.00447948590728279,-0.00358705300952772,2.00657939935441e-05,0.0348951159529812,0.851837398166591,0.00150612764981124,69.6825867127149,3.15837854332265e-17,0.052974144509248,0.00447948590728279
"10m","phy_faith","Faith's PD","spec_alpha","Raw PCA alpha hull","yeojohnson","yeojohnson",1741,0.00449005772910059,-0.00358705300952772,2.01606184106561e-05,0.035060022247861,0.851491784594447,0.00150841412650849,69.7654558430138,3.18071615765424e-17,0.0529735379682483,0.00449005772910059
"10m","phy_rao","Phylogenetic Rao's Q","spec_alpha","Raw PCA alpha hull","identity","identity",1741,0.0481748699927916,-0.00178992906540143,0.00232081809882237,4.04529105855581,0.044448783169685,0.104966952347124,520.55184084803,6.76392590806743e-23,0.0670433577568723,0.0481748699927916
"10m","phy_rao","Phylogenetic Rao's Q","spec_alpha","Raw PCA alpha hull","identity","log",1741,0.0352797387485258,-0.00178992906540143,0.00124465996616423,2.16716105977093,0.141167242691448,0.000152902473350709,6.21759281096581,1.52032413405831e-26,0.0370877683996357,0.0352797387485258
"10m","phy_rao","Phylogenetic Rao's Q","spec_alpha","Raw PCA alpha hull","identity","log1p",1741,0.0353139980536891,-0.00178992906540143,0.00124707845853596,2.17137731727175,0.140781240055042,0.000152659701757051,6.2196848596558,1.84114048487899e-26,0.0371720978011357,0.0353139980536891
"10m","phy_rao","Phylogenetic Rao's Q","spec_alpha","Raw PCA alpha hull","identity","sqrt",1741,0.0420741873669451,-0.00178992906540143,0.0017702372425888,3.08390180268553,0.0792466420985276,0.00197898573205583,22.61534784864,5.27865767070043e-17,0.053627741037685,0.0420741873669451
"10m","phy_rao","Phylogenetic Rao's Q","spec_alpha","Raw PCA alpha hull","identity","power_0.25",1741,0.0387591097939618,-0.00178992906540143,0.00150226859202038,2.61637558038279,0.105947130992734,0.000193887636329277,4.74424040399883,2.1684724853227e-20,0.0455209404129824,0.0387591097939618
"10m","phy_rao","Phylogenetic Rao's Q","spec_alpha","Raw PCA alpha hull","identity","power_0.5",1741,0.0420741873669451,-0.00178992906540143,0.0017702372425888,3.08390180268553,0.0792466420985276,0.00197898573205583,22.61534784864,5.27865767070043e-17,0.053627741037685,0.0420741873669451
"10m","phy_rao","Phylogenetic Rao's Q","spec_alpha","Raw PCA alpha hull","identity","power_2",1741,0.0577663480785222,-0.00178992906540143,0.00333695097032897,5.82238675653895,0.0159263181928579,157.92164930636,288478.04407794,6.62202392958568e-42,0.0830889905849191,0.0577663480785222
"10m","phy_rao","Phylogenetic Rao's Q","spec_alpha","Raw PCA alpha hull","identity","boxcox",1741,0.0433522834825144,-0.00178992906540143,0.00187942048314829,3.27446631926669,0.0705383999466721,0.00760958150567464,68.8169532636498,5.52722876093448e-17,0.0567039593285805,0.0433522834825144
"10m","phy_rao","Phylogenetic Rao's Q","spec_alpha","Raw PCA alpha hull","identity","yeojohnson",1741,0.0433624852528738,-0.00178992906540143,0.0018803051273057,3.27601051575449,0.0704721813333176,0.00760497900933922,68.9006652430894,5.57087174621633e-17,0.0567310337086065,0.0433624852528738
"10m","phy_rao","Phylogenetic Rao's Q","spec_alpha","Raw PCA alpha hull","log","identity",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10m","phy_rao","Phylogenetic Rao's Q","spec_alpha","Raw PCA alpha hull","log","log",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10m","phy_rao","Phylogenetic Rao's Q","spec_alpha","Raw PCA alpha hull","log","log1p",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10m","phy_rao","Phylogenetic Rao's Q","spec_alpha","Raw PCA alpha hull","log","sqrt",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10m","phy_rao","Phylogenetic Rao's Q","spec_alpha","Raw PCA alpha hull","log","power_0.25",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10m","phy_rao","Phylogenetic Rao's Q","spec_alpha","Raw PCA alpha hull","log","power_0.5",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10m","phy_rao","Phylogenetic Rao's Q","spec_alpha","Raw PCA alpha hull","log","power_2",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10m","phy_rao","Phylogenetic Rao's Q","spec_alpha","Raw PCA alpha hull","log","boxcox",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10m","phy_rao","Phylogenetic Rao's Q","spec_alpha","Raw PCA alpha hull","log","yeojohnson",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10m","phy_rao","Phylogenetic Rao's Q","spec_alpha","Raw PCA alpha hull","log1p","identity",1741,-0.0121981262039114,-0.00178992906540143,0.000148794282886547,0.258791764674746,0.611015978177225,-1.72668338083919,542.530445125154,3.25377458763895e-23,-0.0225734180629303,0.0121981262039114
"10m","phy_rao","Phylogenetic Rao's Q","spec_alpha","Raw PCA alpha hull","log1p","log",1741,-0.016086785811579,-0.00178992906540143,0.000258784677747621,0.450143044725882,0.50235613164508,-0.00452945531635307,6.25889805584111,1.4875962353744e-26,-0.0277428458471229,0.016086785811579
"10m","phy_rao","Phylogenetic Rao's Q","spec_alpha","Raw PCA alpha hull","log1p","log1p",1741,-0.0160820766948318,-0.00178992906540143,0.00025863319081845,0.449879472596766,0.502481265028042,-0.00451655392516073,6.26089818888268,1.79960240197546e-26,-0.0277454884215749,0.0160820766948318
"10m","phy_rao","Phylogenetic Rao's Q","spec_alpha","Raw PCA alpha hull","log1p","sqrt",1741,-0.0144866671301102,-0.00178992906540143,0.000209863524538614,0.365029275502966,0.545805094721736,-0.0442672922375498,23.0837414662836,3.14271561268757e-17,-0.0258112943930446,0.0144866671301102
"10m","phy_rao","Phylogenetic Rao's Q","spec_alpha","Raw PCA alpha hull","log1p","power_0.25",1741,-0.0153844805616952,-0.00178992906540143,0.000236682242153171,0.411687858309736,0.521198615402001,-0.00499973182044236,4.79318689211825,1.76614321798972e-20,-0.0271862424662717,0.0153844805616952
"10m","phy_rao","Phylogenetic Rao's Q","spec_alpha","Raw PCA alpha hull","log1p","power_0.5",1741,-0.0144866671301102,-0.00178992906540143,0.000209863524538614,0.365029275502966,0.545805094721736,-0.0442672922375498,23.0837414662836,3.14271561268757e-17,-0.0258112943930446,0.0144866671301102
"10m","phy_rao","Phylogenetic Rao's Q","spec_alpha","Raw PCA alpha hull","log1p","power_2",1741,-0.00619881173066174,-0.00178992906540143,3.84252668721885e-05,0.066824106824874,0.796048868665214,-1100.93772730487,314641.251018977,3.88414471680813e-42,-0.0147249080958177,0.00619881173066174
"10m","phy_rao","Phylogenetic Rao's Q","spec_alpha","Raw PCA alpha hull","log1p","boxcox",1741,-0.0140781901829808,-0.00178992906540143,0.000198195438828179,0.344730192073898,0.557187725674224,-0.160539968376827,70.5733902368626,2.94291365388537e-17,-0.0252010468409604,0.0140781901829808
"10m","phy_rao","Phylogenetic Rao's Q","spec_alpha","Raw PCA alpha hull","log1p","yeojohnson",1741,-0.0140750966725785,-0.00178992906540143,0.000198108346342427,0.344578678201605,0.557274368322843,-0.160369875121003,70.6557032263698,2.96309697033995e-17,-0.0251971078664786,0.0140750966725785
"10m","phy_rao","Phylogenetic Rao's Q","spec_alpha","Raw PCA alpha hull","sqrt","identity",1741,0.0190737036813363,-0.00178992906540143,0.000363806172123424,0.63288918231343,0.426406091397912,0.812778735691307,525.648221569962,4.18494167361447e-23,0.0513878876176931,0.0190737036813363
"10m","phy_rao","Phylogenetic Rao's Q","spec_alpha","Raw PCA alpha hull","sqrt","log",1741,0.00927333879251461,-0.00178992906540143,8.59948123607561e-05,0.149557839893734,0.699005576498149,0.000786014470854892,6.22938324044929,1.48521756137919e-26,0.0380913580726994,0.00927333879251461
