"scale","x_metric","y_metric","n","x_label","y_label","x_transform","y_transform","pearson_r","spearman_r","r_squared","f_statistic","f_p_value","slope","intercept","residual_shapiro_p","residual_abs_cor_fitted","abs_r","identity_pearson_r","identity_spearman_r","identity_r_squared","identity_residual_abs_cor_fitted","delta_abs_r","delta_r_squared","best_transform_pair"
"20m","sp_simpson","spec_spca_alpha",436,"Simpson diversity","Std PCA alpha hull","power_2","power_2",-0.0471303709444823,-0.021694319426477,0.0022212718653645,0.966178133873896,0.326182829736956,-65343.4467242879,478143.664759755,3.82026049876317e-19,0.117504475876313,0.0471303709444823,-0.0212100944926629,-0.021694319426477,0.000449868108387698,0.0949081047912085,0.0259202764518194,0.0017714037569768,"power_2 x / power_2 y"
"10m","phy_faith","spec_alpha",1741,"Faith's PD","Raw PCA alpha hull","power_2","power_2",0.0472232062983491,-0.00358404145363175,0.00223003121309643,3.88669172343364,0.0488285140809201,0.0355641103011155,300276.178204372,5.04377426491739e-42,0.0636202814369969,0.0472232062983491,0.0216571076011506,-0.00358404145363175,0.000469030309647819,0.0559876716382884,0.0255660986971985,0.00176100090344862,"power_2 x / power_2 y"
"50m","phy_faith","spec_rao_q",74,"Faith's PD","Raw PCA Rao's Q","power_2","power_2",0.184639571282462,0.0723731951129211,0.0340917712833715,2.54124300780014,0.115288180016868,0.00367778813545726,31752.6947355828,2.98590366701409e-07,0.356615413850082,0.184639571282462,0.1594731425415,0.0723731951129211,0.0254316831920616,0.353766966851629,0.025166428740962,0.00866008809130988,"power_2 x / power_2 y"
"10m","phy_rao","spec_convex",1744,"Phylogenetic Rao's Q","Raw PCA convex hull","log1p","identity",-0.0261847443549058,-0.0196884756973743,0.000685640836931768,1.19520581985377,0.274433146881199,-12.0255284009146,1122.29495769744,2.63805650964266e-40,0.0277707706771399,0.0261847443549058,0.00111515619985443,-0.0196884756973743,1.24357335007374e-06,-0.00870446705200637,0.0250695881550513,0.000684397263581694,"log1p x / identity y"
"50m","sp_rich","spec_hull3d_a",74,"Species richness","Raw PCA 3D hull area","power_2","power_2",-0.062594250693624,-0.00221791806298128,0.00391804021989626,0.283208518197446,0.596244337665293,-12584.9787253588,31185890.983085,3.29979431461786e-09,0.123806998034997,0.062594250693624,-0.0375764038219089,-0.00221791806298128,0.00141198612418717,0.092527660578145,0.0250178468717152,0.00250605409570909,"power_2 x / power_2 y"
"50m","sp_rich","spec_alpha",74,"Species richness","Raw PCA alpha hull","power_2","log1p",-0.0480201578237206,-0.0740993028021529,0.00230593555741501,0.16641109339128,0.68453181644393,-6.65205653461594e-05,6.59961735734333,0.0473703048834238,0.0211048372915443,0.0480201578237206,-0.023224014936866,-0.0740993028021529,0.00053935486978777,-0.0166373759681072,0.0247961428868546,0.00176658068762724,"power_2 x / log1p y"
"50m","phy_rao","spec_spca_hull3d_v",74,"Phylogenetic Rao's Q","Std PCA 3D hull volume","log","power_2",0.137305875275613,0.0111810440577564,0.0188529033852021,1.3834918825301,0.243381625975838,2581336756.79654,-9533106828.6466,6.48040706362126e-08,0.261446368246425,0.137305875275613,0.112688515015215,0.0111810440577564,0.0126987014163343,0.198317980812872,0.0246173602603977,0.00615420196886776,"log x / power_2 y"
"50m","phy_rao","spec_spca_convex",74,"Phylogenetic Rao's Q","Std PCA convex hull","boxcox","power_2",0.149941299833741,0.098407997038134,0.0224823933958303,1.65596232084571,0.202271348274947,2754206031.05843,-2483771581.97631,5.81248760213858e-08,0.242878186351313,0.149941299833741,0.125361131956469,0.098407997038134,0.0157154134054073,0.172005958643882,0.0245801678772723,0.0067669799904231,"boxcox x / power_2 y"
"10m","sp_simpson","spec_spca_mean",1744,"Simpson diversity","Std PCA mean distance","power_0.25","log1p",-0.049227350914217,0.00196896441638474,0.00242333207803145,4.23169929257105,0.0398242870849582,-0.0534154070418837,2.08499677005547,2.32359598947541e-33,0.0333092325819158,0.049227350914217,-0.0248121691009242,0.00196896441638474,0.00061564373549286,0.0471944444023005,0.0244151818132928,0.00180768834253859,"power_0.25 x / log1p y"
"10m","phy_faith","spec_hull3d_v",1744,"Faith's PD","Raw PCA 3D hull volume","power_2","log1p",0.0390710259536214,0.014534796410469,0.00152654506906856,2.66330716874329,0.102867769125517,8.51906146970138e-08,8.77654331635327,8.85169554290613e-19,-0.0136876276227775,0.0390710259536214,0.0147227735240872,0.014534796410469,0.000216760060241562,-0.000604114970637246,0.0243482524295342,0.001309785008827,"power_2 x / log1p y"
"50m","sp_even","spec_hull3d_v",74,"Species evenness","Raw PCA 3D hull volume","log1p","power_2",-0.0695962437357841,0.0207774898185857,0.00484363714213062,0.350439274921476,0.555718961847246,-745729836.652306,906744346.054267,5.75679987961725e-10,0.177029518576712,0.0695962437357841,-0.0452654277089133,0.0207774898185857,0.00204895894567085,0.148304469616797,0.0243308160268708,0.00279467819645977,"log1p x / power_2 y"
"20m","sp_shannon","spec_rao_q",436,"Shannon diversity","Raw PCA Rao's Q","power_2","log",-0.103902663957277,-0.132811575863444,0.0107957635774188,4.73649547796541,0.0300677113268391,-0.0318696518256236,5.19427559916741,5.45359312954126e-13,0.0250446799419126,0.103902663957277,-0.0797017315765266,-0.132811575863444,0.00635236601629669,0.0619476248988751,0.0242009323807505,0.00444339756112216,"power_2 x / log y"
"50m","sp_even","spec_spca_hull3d_a",74,"Species evenness","Std PCA 3D hull area","log","boxcox",-0.02565207238778,-0.0158015549796372,0.00065802881778794,0.0474092715476404,0.828250160972966,-0.00558950277179484,3.11263740794429,0.321166477841017,-0.103340602885903,0.02565207238778,0.00215441393701367,-0.0158015549796372,4.64149941199961e-06,0.103797229502424,0.0234976584507663,0.000653387318375941,"log x / boxcox y"
"50m","sp_simpson","spec_hull3d_a",74,"Simpson diversity","Raw PCA 3D hull area","boxcox","power_2",-0.0563698113373158,0.0413328396890041,0.00317755563020457,0.229513296642683,0.633336787608576,-23592953.6707,24727698.2976547,3.18965427980942e-09,0.156469642535825,0.0563698113373158,-0.0331987870742142,0.0413328396890041,0.00110215946319901,0.120880570056456,0.0231710242631016,0.00207539616700556,"boxcox x / power_2 y"
"10m","phy_faith","spec_rao_q",1744,"Faith's PD","Raw PCA Rao's Q","log1p","log",-0.0331776333369446,0.00356923531259132,0.00110075535384073,1.91962886814455,0.166074943259584,-0.0130118118012771,5.06009292484009,5.36921067878595e-27,-0.00273343066227453,0.0331776333369446,0.0100877822167479,0.00363295509266002,0.000101763350052535,0.0208981645551476,0.0230898511201967,0.000998992003788198,"log1p x / log y"
"20m","phy_afaith","spec_hull3d_a",436,"Abundance-weighted Faith's PD","Raw PCA 3D hull area","power_2","boxcox",0.0779228408785838,0.0293895061160873,0.00607196913058906,2.65133341734064,0.104188739314395,4.87607414027667e-09,4.00788666395198,7.75987349195321e-09,-0.0303330799611855,0.0779228408785838,0.0548347890571015,0.0293895061160873,0.00300685409093682,-0.00188285634609296,0.0230880518214823,0.00306511503965224,"power_2 x / boxcox y"
"10m","phy_rao","spec_rao_q",1744,"Phylogenetic Rao's Q","Raw PCA Rao's Q","power_2","power_0.25",0.0501175804487784,0.00183740617666626,0.00251177187003977,4.3865245465726,0.036368247387816,7.39024897748532e-07,3.47713580104781,7.09817025537053e-31,0.0331293454832773,0.0501175804487784,0.0272486443352239,0.00183740617666626,0.000742488618107531,0.0326433962710935,0.0228689361135545,0.00176928325193224,"power_2 x / power_0.25 y"
