"quad_id","scale","composition_cluster","cluster_size","species_value","phylo_value","phylo_residual","phylo_residual_z","abs_phylo_residual_z","species_metric","species_label","phylo_metric","phylo_label"
"1009_b","10m","10m_C2",320,5,630.664898,84.9746340129633,0.534691612021173,0.534691612021173,"sp_rich","Species richness","phy_faith","Faith's PD"
"1009_c","10m","10m_C2",320,7,662.650136,-90.9558505114835,-0.572327623386088,0.572327623386088,"sp_rich","Species richness","phy_faith","Faith's PD"
"1009_d","10m","10m_C5",431,5,1032.151572,486.461308012963,3.06099324802857,3.06099324802857,"sp_rich","Species richness","phy_faith","Faith's PD"
"100_a","10m","10m_C2",320,3,335.03677,-2.73777146258999,-0.017227063742981,0.017227063742981,"sp_rich","Species richness","phy_faith","Faith's PD"
"100_b","10m","10m_C2",320,3,369.703936,31.92939453741,0.200911479459427,0.200911479459427,"sp_rich","Species richness","phy_faith","Faith's PD"
"100_c","10m","10m_C2",320,3,394.229465,56.45492353741,0.355235117201503,0.355235117201503,"sp_rich","Species richness","phy_faith","Faith's PD"
"100_d","10m","10m_C5",431,5,636.542307,90.8520430129633,0.571674428472472,0.571674428472472,"sp_rich","Species richness","phy_faith","Faith's PD"
"1010_a","10m","10m_C5",431,5,974.302186,428.611922012963,2.69698366076684,2.69698366076684,"sp_rich","Species richness","phy_faith","Faith's PD"
"1010_b","10m","10m_C4",374,7,683.556226,-70.0497605114834,-0.440778825406512,0.440778825406512,"sp_rich","Species richness","phy_faith","Faith's PD"
"1010_c","10m","10m_C2",320,5,565.526409,19.8361450129632,0.124816311084659,0.124816311084659,"sp_rich","Species richness","phy_faith","Faith's PD"
"1010_d","10m","10m_C2",320,8,814.671279,-42.8925687737069,-0.269895798996246,0.269895798996246,"sp_rich","Species richness","phy_faith","Faith's PD"
"1011_a","10m","10m_C2",320,6,631.468863,-18.1792622492601,-0.114390596091648,0.114390596091648,"sp_rich","Species richness","phy_faith","Faith's PD"
"1011_b","10m","10m_C2",320,4,403.620195,-38.1122077248133,-0.239816011245867,0.239816011245867,"sp_rich","Species richness","phy_faith","Faith's PD"
"1011_c","10m","10m_C4",374,4,474.536796,32.8043932751866,0.206417292941917,0.206417292941917,"sp_rich","Species richness","phy_faith","Faith's PD"
"1011_d","10m","10m_C4",374,5,534.501904,-11.1883599870368,-0.0704012710008171,0.0704012710008171,"sp_rich","Species richness","phy_faith","Faith's PD"
"1012_a","10m","10m_C4",374,6,638.759963,-10.8881622492601,-0.0685123165592786,0.0685123165592786,"sp_rich","Species richness","phy_faith","Faith's PD"
"1012_b","10m","10m_C5",431,4,408.525919,-33.2064837248134,-0.208947393755961,0.208947393755961,"sp_rich","Species richness","phy_faith","Faith's PD"
"1012_c","10m","10m_C5",431,1,1,-128.858818938143,-0.810827024105444,0.810827024105444,"sp_rich","Species richness","phy_faith","Faith's PD"
"1012_d","10m","10m_C5",431,4,494.661036,52.9286332751867,0.333046403514603,0.333046403514603,"sp_rich","Species richness","phy_faith","Faith's PD"
"1013_a","10m","10m_C4",374,3,366.047078,28.27253653741,0.177901185603331,0.177901185603331,"sp_rich","Species richness","phy_faith","Faith's PD"
"1013_b","10m","10m_C4",374,3,351.726533,13.95199153741,0.0877910559156451,0.0877910559156451,"sp_rich","Species richness","phy_faith","Faith's PD"
"1013_c","10m","10m_C4",374,5,581.453145,35.7628810129632,0.225033184566885,0.225033184566885,"sp_rich","Species richness","phy_faith","Faith's PD"
"1013_d","10m","10m_C4",374,3,366.047078,28.27253653741,0.177901185603331,0.177901185603331,"sp_rich","Species richness","phy_faith","Faith's PD"
"1014_a","10m","10m_C5",431,3,316.32785,-21.44669146259,-0.134950460968194,0.134950460968194,"sp_rich","Species richness","phy_faith","Faith's PD"
"1014_b","10m","10m_C5",431,6,684.979687,35.3315617507399,0.222319165326993,0.222319165326993,"sp_rich","Species richness","phy_faith","Faith's PD"
"1014_c","10m","10m_C5",431,6,627.582729,-22.0653962492601,-0.13884357876261,0.13884357876261,"sp_rich","Species richness","phy_faith","Faith's PD"
"1014_d","10m","10m_C5",431,1,1,-128.858818938143,-0.810827024105444,0.810827024105444,"sp_rich","Species richness","phy_faith","Faith's PD"
"1015_a","10m","10m_C5",431,4,351.931867,-89.8005357248133,-0.565057958351905,0.565057958351905,"sp_rich","Species richness","phy_faith","Faith's PD"
"1015_b","10m","10m_C4",374,6,728.214136,78.5660107507399,0.494366200294282,0.494366200294282,"sp_rich","Species richness","phy_faith","Faith's PD"
"1015_c","10m","10m_C4",374,6,729.543281,79.8951557507399,0.502729668885997,0.502729668885997,"sp_rich","Species richness","phy_faith","Faith's PD"
"1015_d","10m","10m_C5",431,5,631.875517,86.1852530129632,0.542309271481226,0.542309271481226,"sp_rich","Species richness","phy_faith","Faith's PD"
"1016_a","10m","10m_C5",431,7,824.707677,71.1016904885165,0.447397955240803,0.447397955240803,"sp_rich","Species richness","phy_faith","Faith's PD"
"1016_b","10m","10m_C4",374,3,395.55861,57.78406853741,0.363598585793218,0.363598585793218,"sp_rich","Species richness","phy_faith","Faith's PD"
"1016_c","10m","10m_C4",374,4,517.963702,76.2312992751867,0.479675338050881,0.479675338050881,"sp_rich","Species richness","phy_faith","Faith's PD"
"1016_d","10m","10m_C5",431,3,394.229466,56.45492453741,0.35523512349387,0.35523512349387,"sp_rich","Species richness","phy_faith","Faith's PD"
"1017_a","10m","10m_C4",374,2,237.157208,3.34052779963337,0.0210198280337992,0.0210198280337992,"sp_rich","Species richness","phy_faith","Faith's PD"
"1017_b","10m","10m_C4",374,3,390.402977,52.62843553741,0.331157449073064,0.331157449073064,"sp_rich","Species richness","phy_faith","Faith's PD"
"1017_c","10m","10m_C2",320,2,237.157207,3.34052679963337,0.0210198217414318,0.0210198217414318,"sp_rich","Species richness","phy_faith","Faith's PD"
