"scale","x_metric","x_label","y_metric","y_label","n","base_r2","elevation_adjusted_r2","elevation_incremental_r2_after_metric","elevation_partial_f","elevation_partial_p_value","elevation_slope","elevation_p_value_in_adjusted_model"
"50m","sp_rich","Species richness","sp_even","Species evenness",80,0.171791303294372,0.216590979316773,0.0447996760224005,4.40328737945396,0.0391487121425272,0.000981877154781031,0.0391487121425272
"50m","sp_rich","Species richness","phy_faith","Faith's PD",80,0.579671851609296,0.628488031151294,0.0488161795419985,10.1176977861099,0.00211712131770334,-4.86613059955949,0.00211712131770333
"50m","sp_rich","Species richness","phy_rao","Phylogenetic Rao's Q",80,0.14923785226325,0.20581931850416,0.0565814662409101,5.48587116516621,0.0217563974587347,-0.658753964099772,0.0217563974587347
"50m","sp_rich","Species richness","phy_afaith","Abundance-weighted Faith's PD",80,8.50571508149467e-05,0.0793741627631036,0.0792891056122886,6.63164217774958,0.0119344369782891,-28.2882144387703,0.0119344369782891
"50m","sp_shannon","Shannon diversity","sp_simpson","Simpson diversity",80,0.882556464255238,0.89419737458163,0.0116409103263925,8.47190787173596,0.00471437513571924,0.000427556038863283,0.00471437513571921
"50m","sp_shannon","Shannon diversity","sp_even","Species evenness",80,0.687578075264517,0.732916937519822,0.0453388622553044,13.0711860244508,0.000533123044172821,0.000944891882488513,0.000533123044172821
"50m","sp_shannon","Shannon diversity","phy_faith","Faith's PD",80,0.340431800874228,0.474526093297853,0.134094292423624,19.6494257563044,3.04453396939616e-05,-7.71496754850543,3.04453396939616e-05
"50m","sp_shannon","Shannon diversity","phy_rao","Phylogenetic Rao's Q",80,0.12391951632468,0.211381529427435,0.0874620131027551,8.53971249750543,0.00455905295973945,-0.783471075932587,0.00455905295973951
"50m","sp_shannon","Shannon diversity","phy_afaith","Abundance-weighted Faith's PD",80,0.0143626633507394,0.101235198011234,0.0868725346604941,7.44264256238825,0.00788707297643123,-28.3248170152777,0.00788707297643118
"50m","sp_simpson","Simpson diversity","sp_even","Species evenness",80,0.814045201862423,0.82779284118399,0.0137476393215669,6.14706284592764,0.0153487493470229,0.000512691711884836,0.0153487493470228
"50m","sp_simpson","Simpson diversity","phy_faith","Faith's PD",80,0.202253675843062,0.394113112608267,0.191859436765205,24.3827304045437,4.47792385599902e-06,-9.09318365214692,4.47792385599897e-06
"50m","sp_simpson","Simpson diversity","phy_rao","Phylogenetic Rao's Q",80,0.130367722629121,0.240682388118003,0.110314665488882,11.186661694295,0.00127509450525692,-0.867012346936871,0.00127509450525692
"50m","sp_simpson","Simpson diversity","phy_afaith","Abundance-weighted Faith's PD",80,0.00969675180550227,0.0853048154320461,0.0756080636265439,6.36476609636219,0.013702700244517,-26.0378635612231,0.0137027002445169
"50m","sp_even","Species evenness","phy_faith","Faith's PD",80,0.0396454075586467,0.268854751041456,0.22920934348281,24.1390058587074,4.92982369871099e-06,-9.93486753058077,4.92982369871095e-06
"50m","sp_even","Species evenness","phy_rao","Phylogenetic Rao's Q",80,0.0378196070840665,0.17241819838699,0.134598591302923,12.5233439282072,0.000685084427800353,-0.957305282774451,0.000685084427800353
"50m","sp_even","Species evenness","phy_afaith","Abundance-weighted Faith's PD",80,0.0497870498605922,0.11501668987929,0.0652296400186982,5.67545424190506,0.0196716267061388,-24.1749354000051,0.0196716267061389
"50m","phy_faith","Faith's PD","phy_rao","Phylogenetic Rao's Q",80,0.428765251341898,0.431903181041065,0.00313792969916632,0.425315859501873,0.516238497619049,-0.164951648083118,0.51623849761905
"50m","phy_faith","Faith's PD","phy_afaith","Abundance-weighted Faith's PD",80,0.132772701179667,0.145062801341423,0.0122901001617567,1.10690903839498,0.296045398213828,-11.8420093201481,0.296045398213829
"50m","phy_rao","Phylogenetic Rao's Q","phy_afaith","Abundance-weighted Faith's PD",80,0.473676614033089,0.474320820158422,0.000644206125332225,0.0943614918618935,0.759533219019484,-2.56535610749379,0.759533219019487
