"scale","composition_cluster","quad_id","cluster_size","composition_type","mean_silhouette_width"
"10m","10m_C2","1017_c",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","1724_a",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","1724_b",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","305_c",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","305_d",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","901_d",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","902_a",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","207_b",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","1308_c",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","609_d",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","600_a",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","704_c",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","101_c",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","101_d",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","1310_a",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","1310_b",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","904_c",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","1310_d",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","1812_b",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","905_b",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","905_c",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","905_d",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","906_a",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","906_b",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","906_c",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","802_b",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","1908_c",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","907_b",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","907_c",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","907_d",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","709_a",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","605_b",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","908_c",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","908_d",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","102_a",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","102_b",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","102_c",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","102_d",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","701_b",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","103_b",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","103_c",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","910_d",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","911_a",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","104_b",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","104_c",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","1809_a",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","703_b",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","703_c",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","5_c",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","1209_a",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","1800_a",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","1209_c",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","704_d",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","106_d",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","601_a",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","402_c",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","601_c",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","601_d",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","2_a",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","602_b",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","602_c",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","602_d",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","1500_b",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","1500_c",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","707_d",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","708_a",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","708_b",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","604_b",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","1710_c",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","1815_a",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","302_a",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","6_b",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","709_c",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","709_d",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","710_b",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","710_c",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","502_a",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","606_d",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","607_a",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","607_b",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","1817_d",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","1818_a",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","1818_b",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","608_b",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","1818_d",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","608_d",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","609_a",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","504_d",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","609_c",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","703_d",320,"FAGR+LIST2+LITU",0.0912236219752787
