"scale","species_metric","species_label","phylo_metric","phylo_label","n","pearson_r","r_squared","f_statistic","f_p_value","slope","intercept","spearman_r","spearman_p_value"
"20m","sp_even","Species evenness","phy_rao","Phylogenetic Rao's Q",500,0.348572132816155,0.121502531776003,68.8769894201008,9.91137768244169e-16,171.979624365751,40.0532346993993,0.312822051288205,8.19661995320068e-13
"20m","sp_even","Species evenness","phy_afaith","Abundance-weighted Faith's PD",500,-0.0179633680086034,0.000322682590212516,0.160747800442451,0.688640927655102,-65.5883813798618,896.057255305042,-0.00640245760983044,0.8864430449848
"50m","sp_rich","Species richness","phy_faith","Faith's PD",80,0.761361840132073,0.579671851609296,107.569299364403,2.44910241489586e-16,76.7942472622749,153.318034784268,0.69117390425504,1.28041834902872e-12
"50m","sp_rich","Species richness","phy_rao","Phylogenetic Rao's Q",80,0.386313153106712,0.14923785226325,13.6824992831433,0.000401090377452535,4.89960820368124,132.796447910005,0.519443582365415,7.92592576706033e-07
"50m","sp_rich","Species richness","phy_afaith","Abundance-weighted Faith's PD",80,0.00922264337459432,8.50571508149467e-05,0.00663502211964293,0.935288251905006,4.24316486779189,3725.69444117913,0.0173756499373849,0.878415549859305
"50m","sp_shannon","Shannon diversity","phy_faith","Faith's PD",80,0.583465338194334,0.340431800874228,40.259188516647,1.34788916288587e-08,617.271595697569,-32.9699646416287,0.582372245663385,1.45582271104134e-08
"50m","sp_shannon","Shannon diversity","phy_rao","Phylogenetic Rao's Q",80,0.352022039543947,0.12391951632468,11.0329158718107,0.00136389699887996,46.8290516487171,104.316859402019,0.541631504922644,2.12413165349146e-07
"50m","sp_shannon","Shannon diversity","phy_afaith","Abundance-weighted Faith's PD",80,-0.119844329656181,0.0143626633507394,1.13661252440595,0.289658183418712,-578.329880700305,5080.26464819758,0.00745428973277075,0.947676581939995
"50m","sp_simpson","Simpson diversity","phy_faith","Faith's PD",80,0.449726223210368,0.202253675843062,19.7754426915483,2.85087567929977e-05,2390.98909777042,-681.14865767083,0.544866385372714,1.73913549799149e-07
"50m","sp_simpson","Simpson diversity","phy_rao","Phylogenetic Rao's Q",80,0.361064706983555,0.130367722629121,11.6930829612419,0.00100051545466806,241.378564278181,4.3677902083859,0.545124238162213,1.71147839896124e-07
"50m","sp_simpson","Simpson diversity","phy_afaith","Abundance-weighted Faith's PD",80,-0.0984720864280957,0.00969675180550227,0.76375255984279,0.384839512425449,-2388.02810235276,5812.72176292592,0.033778715424285,0.766118478529059
"50m","sp_even","Species evenness","phy_faith","Faith's PD",80,0.199111545518202,0.0396454075586467,3.22000000199227,0.0766181746572375,945.319445062041,568.095060665758,0.247913736521331,0.0266062764380946
"50m","sp_even","Species evenness","phy_rao","Phylogenetic Rao's Q",80,0.194472638394368,0.0378196070840665,3.06587971889272,0.0838833514514177,116.098051344599,113.550950387959,0.37892639474918,0.000528084761711482
"50m","sp_even","Species evenness","phy_afaith","Abundance-weighted Faith's PD",80,-0.223130118676507,0.0497870498605922,4.08686272751435,0.0466476829621868,-4832.11491186716,7750.73871234085,-0.0069620253164557,0.951127511190992
