"scale","metric","metric_label","n","mean","sd","cv","min","median","max"
"10m","sp_rich","Species richness",2000,4.138,1.54050075341937,0.372281477385058,0,4,10
"10m","sp_shannon","Shannon diversity",2000,1.00069654264941,0.407751190278135,0.407467371875381,0,1.05004815980802,2.03063602339081
"10m","sp_simpson","Simpson diversity",2000,0.549377016233109,0.197963307586959,0.360341444468002,0,0.602082324000415,0.856962621125664
"10m","sp_even","Species evenness",2000,0.713283402600046,0.228410290012417,0.320223755634606,0,0.768556274159418,0.99997110356411
"10m","phy_faith","Faith's PD",2000,456.078587579,225.618124727021,0.494691333624472,0,434.460873,1301.666307
"10m","phy_rao","Phylogenetic Rao's Q",2000,132.015155043316,70.1131638696224,0.531099356332362,0,135.105348050487,373.607055097305
"10m","phy_afaith","Abundance-weighted Faith's PD",2000,275.570732176516,179.693199352484,0.652076502948006,0,245.570776149085,1312.09850870376
"20m","sp_rich","Species richness",500,7.454,2.27733539757016,0.305518566886257,1,7,16
"20m","sp_shannon","Shannon diversity",500,1.59182277406581,0.381309741922574,0.239542836134099,0,1.63827828962821,2.4357115299787
"20m","sp_simpson","Simpson diversity",500,0.737217710592459,0.126211791706512,0.171200162303593,0,0.770538651994306,0.908212759436947
"20m","sp_even","Species evenness",500,0.806812236458286,0.114727079137952,0.142197990999215,0,0.835447925551125,0.99896861773978
"20m","phy_faith","Faith's PD",500,751.86409775,283.222943713648,0.376694331543706,1,707.2862655,1685.946518
"20m","phy_rao","Phylogenetic Rao's Q",500,178.808500059187,56.6044101555621,0.316564425834485,0,175.259462108342,379.90813717436
"20m","phy_afaith","Abundance-weighted Faith's PD",500,843.139746638277,418.89490976824,0.496827378187822,0.0309734107638238,765.119462771361,3451.1316714789
"50m","sp_rich","Species richness",80,15.4875,3.56137418364729,0.229951521139453,8,16,23
"50m","sp_shannon","Shannon diversity",80,2.2285796292729,0.339542354717955,0.152358188263946,1.43632274649917,2.31766439113856,2.7175819313459
"50m","sp_simpson","Simpson diversity",80,0.846435309477894,0.0675656258414492,0.0798237326407444,0.58324277398464,0.869097195486698,0.926247756164296
"50m","sp_even","Species evenness",80,0.819377917844648,0.0756611677834478,0.092339769153741,0.552795218235668,0.843086726981285,0.940218822690118
"50m","phy_faith","Faith's PD",80,1342.66893925875,359.215599254422,0.26753847411763,686.203365,1339.431496,2011.166307
"50m","phy_rao","Phylogenetic Rao's Q",80,208.679129964518,45.168894784581,0.216451423734904,135.66864559096,199.4938110786,359.612466510694
"50m","phy_afaith","Abundance-weighted Faith's PD",80,3791.41045706906,1638.52132228608,0.432166693856919,1573.59873949189,3300.35299672338,10143.203276901
