"scale","composition_cluster","cluster_size","species_metric","species_label","phylo_metric","phylo_label","n","mean_abs_phylo_residual_z","sd_phylo_residual","mean_species_value","mean_phylo_value"
"10m","10m_C6",286,"sp_shannon","Shannon diversity","phy_faith","Faith's PD",286,0.703771960970887,176.381543272537,1.03079399913244,480.271640685315
"10m","10m_C4",374,"sp_simpson","Simpson diversity","phy_faith","Faith's PD",374,0.688906707788001,172.696128582864,0.591403024904131,505.421469318182
"10m","10m_C5",431,"sp_simpson","Simpson diversity","phy_faith","Faith's PD",431,0.687749951188518,177.759662711397,0.445341747600037,415.509128645012
"10m","10m_C4",374,"sp_even","Species evenness","phy_faith","Faith's PD",374,0.682733405196055,194.171503224915,0.734683136534251,505.421469318182
"10m","10m_C5",431,"sp_shannon","Shannon diversity","phy_faith","Faith's PD",431,0.665999239360597,169.437639005547,0.774644018541103,415.509128645012
"10m","10m_C1",250,"sp_shannon","Shannon diversity","phy_faith","Faith's PD",250,0.663151733448249,145.575014190837,1.09864450768323,437.272741204
"10m","10m_C4",374,"sp_shannon","Shannon diversity","phy_faith","Faith's PD",374,0.657823477987982,160.916636222608,1.10226325237063,505.421469318182
"10m","10m_C1",250,"sp_rich","Species richness","phy_faith","Faith's PD",250,0.636851338938283,126.295087930029,4.484,437.272741204
"10m","10m_C1",250,"sp_simpson","Simpson diversity","phy_faith","Faith's PD",250,0.633282237927191,148.738560304952,0.59878057427688,437.272741204
"10m","10m_C5",431,"sp_rich","Species richness","phy_faith","Faith's PD",431,0.62204984808371,151.000969926838,3.21345707656613,415.509128645012
"10m","10m_C6",286,"sp_rich","Species richness","phy_faith","Faith's PD",286,0.574416405835334,149.789269559563,4.31468531468532,480.271640685315
"10m","10m_C1",250,"sp_even","Species evenness","phy_faith","Faith's PD",250,0.561310721772099,163.594394019415,0.753119108558597,437.272741204
"10m","10m_C4",374,"sp_rich","Species richness","phy_faith","Faith's PD",374,0.559419491981895,136.310163062845,4.5855614973262,505.421469318182
"10m","10m_C3",339,"sp_even","Species evenness","phy_rao","Phylogenetic Rao's Q",339,0.830720305160858,61.2301334655737,0.725321002368635,110.72970607426
"10m","10m_C5",431,"sp_rich","Species richness","phy_rao","Phylogenetic Rao's Q",431,0.809786837215002,68.4656242710491,3.21345707656613,125.779484110222
"10m","10m_C3",339,"sp_simpson","Simpson diversity","phy_rao","Phylogenetic Rao's Q",339,0.784126378206236,53.3448502777085,0.547337750804321,110.72970607426
"10m","10m_C3",339,"sp_shannon","Shannon diversity","phy_rao","Phylogenetic Rao's Q",339,0.773362163663672,52.5063723005652,0.99422566447648,110.72970607426
"10m","10m_C3",339,"sp_rich","Species richness","phy_rao","Phylogenetic Rao's Q",339,0.770063289430402,58.9296297093693,4.10029498525074,110.72970607426
"10m","10m_C2",320,"sp_rich","Species richness","phy_rao","Phylogenetic Rao's Q",320,0.710925244029653,63.2515659784206,4.471875,151.19397389941
"10m","10m_C2",320,"sp_even","Species evenness","phy_rao","Phylogenetic Rao's Q",320,0.69465206926507,61.6609507801896,0.747581660067873,151.19397389941
"10m","10m_C2",320,"sp_shannon","Shannon diversity","phy_rao","Phylogenetic Rao's Q",320,0.661062118333409,57.1807303971429,1.08988858122117,151.19397389941
"10m","10m_C5",431,"sp_even","Species evenness","phy_rao","Phylogenetic Rao's Q",431,0.642801334927828,59.9210187266594,0.63340513466654,125.779484110222
"10m","10m_C6",286,"sp_rich","Species richness","phy_rao","Phylogenetic Rao's Q",286,0.618081936766265,56.8678078370577,4.31468531468532,135.207092591487
"10m","10m_C4",374,"sp_rich","Species richness","phy_rao","Phylogenetic Rao's Q",374,0.612087348122612,55.2028037912619,4.5855614973262,141.671862650943
"10m","10m_C2",320,"sp_simpson","Simpson diversity","phy_rao","Phylogenetic Rao's Q",320,0.608276949273793,55.6701766974789,0.593080908904937,151.19397389941
"10m","10m_C5",431,"sp_shannon","Shannon diversity","phy_rao","Phylogenetic Rao's Q",431,0.599634963012412,54.3198029609297,0.774644018541103,125.779484110222
"10m","10m_C6",286,"sp_even","Species evenness","phy_rao","Phylogenetic Rao's Q",286,0.599313674907748,55.3486710737678,0.718209688568765,135.207092591487
"10m","10m_C1",250,"sp_rich","Species richness","phy_rao","Phylogenetic Rao's Q",250,0.55056741702058,45.818243422842,4.484,128.981621262097
"10m","10m_C1",250,"sp_shannon","Shannon diversity","phy_rao","Phylogenetic Rao's Q",250,0.547740737399171,40.1312509805284,1.09864450768323,128.981621262097
