"scale","x_metric","x_label","y_metric","y_label","composition_cluster","composition_type","n","mean_scatterplot_silhouette_width","overall_scatterplot_silhouette_width"
"50m","sp_simpson","Simpson diversity","phy_afaith","Abundance-weighted Faith's PD","50m_C1","FAGR+CATO6+QUVE",26,-0.0846581268867839,0.00290638057545067
"50m","sp_simpson","Simpson diversity","phy_afaith","Abundance-weighted Faith's PD","50m_C2","QURU+CAGL8+CACA38",24,0.155864544225744,0.00290638057545067
"50m","sp_even","Species evenness","phy_faith","Faith's PD","50m_C3","CELA+MAAC+ACNE2",30,0.0461525216029359,0.0427829117489953
"50m","sp_even","Species evenness","phy_faith","Faith's PD","50m_C1","FAGR+CATO6+QUVE",26,0.0997166445909221,0.0427829117489953
"50m","sp_even","Species evenness","phy_faith","Faith's PD","50m_C2","QURU+CAGL8+CACA38",24,-0.0231073111471846,0.0427829117489953
"50m","sp_even","Species evenness","phy_rao","Phylogenetic Rao's Q","50m_C3","CELA+MAAC+ACNE2",30,0.153180048761266,-0.00951308145228334
"50m","sp_even","Species evenness","phy_rao","Phylogenetic Rao's Q","50m_C1","FAGR+CATO6+QUVE",26,-0.191529390898164,-0.00951308145228334
"50m","sp_even","Species evenness","phy_rao","Phylogenetic Rao's Q","50m_C2","QURU+CAGL8+CACA38",24,-0.0156951589861831,-0.00951308145228334
"50m","sp_even","Species evenness","phy_afaith","Abundance-weighted Faith's PD","50m_C3","CELA+MAAC+ACNE2",30,-0.0377987290964482,-0.0472093739335714
"50m","sp_even","Species evenness","phy_afaith","Abundance-weighted Faith's PD","50m_C1","FAGR+CATO6+QUVE",26,-0.16363944804797,-0.0472093739335714
"50m","sp_even","Species evenness","phy_afaith","Abundance-weighted Faith's PD","50m_C2","QURU+CAGL8+CACA38",24,0.0671599003106229,-0.0472093739335714
"50m","phy_faith","Faith's PD","phy_rao","Phylogenetic Rao's Q","50m_C3","CELA+MAAC+ACNE2",30,0.233273649633171,0.0594378885996858
"50m","phy_faith","Faith's PD","phy_rao","Phylogenetic Rao's Q","50m_C1","FAGR+CATO6+QUVE",26,-0.0269161439019608,0.0594378885996858
"50m","phy_faith","Faith's PD","phy_rao","Phylogenetic Rao's Q","50m_C2","QURU+CAGL8+CACA38",24,-0.0643066108153864,0.0594378885996858
"50m","phy_faith","Faith's PD","phy_afaith","Abundance-weighted Faith's PD","50m_C3","CELA+MAAC+ACNE2",30,0.0285162945940875,0.0218353561734081
"50m","phy_faith","Faith's PD","phy_afaith","Abundance-weighted Faith's PD","50m_C1","FAGR+CATO6+QUVE",26,0.009271514701316,0.0218353561734081
"50m","phy_faith","Faith's PD","phy_afaith","Abundance-weighted Faith's PD","50m_C2","QURU+CAGL8+CACA38",24,0.0270950114089919,0.0218353561734081
"50m","phy_rao","Phylogenetic Rao's Q","phy_afaith","Abundance-weighted Faith's PD","50m_C3","CELA+MAAC+ACNE2",30,0.0976506075351892,-0.0105594724165994
"50m","phy_rao","Phylogenetic Rao's Q","phy_afaith","Abundance-weighted Faith's PD","50m_C1","FAGR+CATO6+QUVE",26,-0.250217578240226,-0.0105594724165994
"50m","phy_rao","Phylogenetic Rao's Q","phy_afaith","Abundance-weighted Faith's PD","50m_C2","QURU+CAGL8+CACA38",24,0.113807542285926,-0.0105594724165994
