"scale","x_metric","x_label","y_metric","y_label","moderator","moderator_label","moderator_is_plotted_metric","n","base_r2","additive_r2","full_interaction_r2","moderator_incremental_r2_after_metric","interaction_incremental_r2_after_additive","full_incremental_r2_after_metric","moderator_main_slope","moderator_main_p_value","interaction_slope","interaction_f","interaction_p_value","full_partial_f","full_partial_p_value","interaction_q_value","full_partial_q_value","moderator_main_q_value"
"10m","sp_shannon","Shannon diversity","sp_even","Species evenness","crown_equivalent_individuals","Crown-equivalent individuals",FALSE,2000,0.581788146199986,0.58464064435364,0.629515692238851,0.0028524981536544,0.0448750478852107,0.0477275460388651,-0.0606459482669306,0.000218583740888335,-0.185577798612998,241.766233285721,1.50788271945766e-51,128.5670943383,3.01115048467714e-53,2.7141888950238e-50,1.2646832035644e-52,0.000319014108323515
"10m","sp_shannon","Shannon diversity","phy_faith","Faith's PD","present_species_count","Number of species",FALSE,2000,0.368108249876857,0.505327305719496,0.512961076651629,0.137219055842638,0.00763377093213358,0.144852826774772,0.653694561653232,2.61379208048836e-108,-0.0709977148087555,31.2849878112099,2.53472450963153e-08,296.82046791529,1.40327700334938e-113,1.14062602933419e-07,1.36009924940017e-112,2.17145803609802e-107
"10m","sp_shannon","Shannon diversity","phy_faith","Faith's PD","crown_equivalent_individuals","Crown-equivalent individuals",FALSE,2000,0.368108249876857,0.387037167837477,0.387443643453977,0.0189289179606191,0.00040647561650059,0.0193353935771197,0.156225527450754,6.57586360632399e-15,-0.0176620376159277,1.32449091722767,0.249925508270515,31.5019550181023,3.39124275284575e-14,0.384031878562011,7.7690288519739e-14,1.73217870605607e-14
"10m","sp_shannon","Shannon diversity","phy_rao","Phylogenetic Rao's Q","present_species_count","Number of species",FALSE,2000,0.437448752667846,0.44335577969374,0.452331545107295,0.0059070270258943,0.00897576541355505,0.0148827924394493,-0.13562886813673,4.41665248574066e-06,-0.0769857872557616,32.7125427900824,1.229769575732e-08,27.120471741394,2.39289430292821e-12,5.73892468674931e-08,5.28955582752553e-12,7.22724952212109e-06
"10m","sp_shannon","Shannon diversity","phy_rao","Phylogenetic Rao's Q","crown_equivalent_individuals","Crown-equivalent individuals",FALSE,2000,0.437448752667846,0.444801234696254,0.449058686326886,0.00735248202840805,0.00425745163063196,0.01160993365904,0.0973657225174256,2.97470146055332e-07,-0.0571608156735958,15.4242806699068,8.87956557735213e-05,21.0307586382904,9.14874980302529e-10,0.000279706315686592,1.8011601174706e-09,5.18173802806062e-07
"10m","sp_shannon","Shannon diversity","phy_afaith","Abundance-weighted Faith's PD","present_species_count","Number of species",FALSE,2000,0.181684858644191,0.213621041149853,0.218564705844606,0.0319361825056616,0.00494366469475324,0.0368798472004148,0.31536185336237,4.87586632678157e-19,-0.0571346158791796,12.6274751147408,0.000388948997260142,47.1006208464074,1.02917844649005e-20,0.0010890571923284,2.75907413314354e-20,1.54880459791885e-18
"10m","sp_shannon","Shannon diversity","phy_afaith","Abundance-weighted Faith's PD","crown_equivalent_individuals","Crown-equivalent individuals",FALSE,2000,0.181684858644191,0.524445484922136,0.52649581163033,0.342760626277945,0.00205032670819483,0.344810952986139,0.664790139224554,1.1848498929018e-237,-0.0396675237702328,8.64290582866361,0.00332110941079085,726.754566342945,7.55842630344234e-238,0.0080473035723009,1.05817968248193e-236,1.59954735541743e-236
"10m","sp_simpson","Simpson diversity","sp_even","Species evenness","present_species_count","Number of species",FALSE,2000,0.74037705668869,0.893445678696446,0.900620210215765,0.153068622007756,0.00717453151931935,0.160243153527075,-0.562900350600138,0,-0.0783509901732713,144.097355645976,4.19069695232932e-32,1609.20713927079,0,3.77162725709639e-31,0,0
"10m","sp_simpson","Simpson diversity","sp_even","Species evenness","crown_equivalent_individuals","Crown-equivalent individuals",FALSE,2000,0.74037705668869,0.745681748716671,0.760982408539781,0.00530469202798078,0.0153006598231106,0.0206053518510914,-0.0811615239303623,1.36329778008892e-10,-0.115574981996236,127.773511649714,9.22656080010088e-29,86.0360989404907,1.44086412729199e-36,6.83850976948654e-28,4.90672648753488e-36,3.13268426062987e-10
"10m","sp_simpson","Simpson diversity","phy_faith","Faith's PD","present_species_count","Number of species",FALSE,2000,0.298955715159335,0.506585356723045,0.513782383410085,0.207629641563711,0.00719702668703903,0.21482666825075,0.655591191874598,1.62476674830573e-154,-0.0784737256621953,29.5449296306466,6.13254429147371e-08,440.948677297874,2.52968530111073e-159,2.49258251846996e-07,2.89763952672684e-158,1.59522553470017e-153
"10m","sp_simpson","Simpson diversity","phy_faith","Faith's PD","crown_equivalent_individuals","Crown-equivalent individuals",FALSE,2000,0.298955715159335,0.33372536013048,0.333753598176356,0.034769644971145,2.82380458765386e-05,0.0347978830170215,0.207787890177122,6.93217732285608e-24,0.00496507798656575,0.084598039727096,0.771190584926373,52.1252905170361,8.58310798089492e-23,0.839545983451996,2.40327023465058e-22,2.41508113183373e-23
