quad_id,n_pixels,n_pairs,method,spectral_entropy,exact_entropy,boot_mean,boot_sd,boot_cv,boot_median,boot_min,boot_max,scale,boot_se,valid_entropy,n_boot,boot_range,outlier_reps,boot_ci_t,boot_ci_half_width,boot_ci_low,boot_ci_high,boot_ci_width,boot_ci_half_width_pct
800_a,3976,7902300,bootstrap_mean,2.85455482195701,NA,2.85455482195701,0.346939047981437,0.121538758097343,2.54055857867283,2.50228281793438,3.22517986357928,10 m,0.04146714758426514,TRUE,70,0.7228970456449,0,1.9949454151072379,0.08272469595080491,2.771830126006205,2.9372795179078146,0.16544939190160957,0.02897989392759007
1902_a,7162,25643541,bootstrap_mean,3.00763831967422,NA,3.00763831967422,0.346691963970097,0.115270497021613,2.70412375151975,2.67736667212143,3.40270974566262,10 m,0.041437615396338875,TRUE,70,0.7253430735411897,0,1.9949454151072379,0.08266578084790333,2.924972538826317,3.0903041005221232,0.16533156169580643,0.02748527983140522
600_b,6421,20611410,bootstrap_mean,3.01278832615704,NA,3.01278832615704,0.346082133758934,0.114871041803451,3.0119970046967,2.65506894180725,3.37368002112877,10 m,0.041364726744817025,TRUE,70,0.7186110793215201,0,1.9949454151072379,0.08252037196673646,2.9302679541903034,3.0953086981237767,0.16504074393347334,0.027390033096681327
921_b,7563,28595703,bootstrap_mean,2.97350286409214,NA,2.97350286409214,0.345886351301858,0.116322857959467,2.65584727418776,2.62358770705968,3.34139114721346,10 m,0.04134132626542673,TRUE,70,0.7178034401537801,0,1.9949454151072379,0.08247368928766548,2.8910291748044745,3.0559765533798053,0.16494737857533082,0.027736206439756054
12_d,7543,28444653,bootstrap_mean,2.93565362438237,NA,2.93565362438237,0.34567229683084,0.117749687483504,2.62652405292788,2.59052132610139,3.32000221584537,10 m,0.04131574186265506,TRUE,70,0.72948088974398,0,1.9949454151072379,0.08242264980065789,2.853230974581712,3.018076274183028,0.1648452996013159,0.028076421930737394
713_d,7118,25329403,bootstrap_mean,2.97995840458644,NA,2.97995840458644,0.345593308620671,0.115972527699974,2.66429001956939,2.62853939450525,3.35652708785277,10 m,0.04130630096579565,TRUE,70,0.72798769334752,0,1.9949454151072379,0.0824038157267537,2.897554588859686,3.0623622203131937,0.16480763145350785,0.027652673137962727
1708_c,7744,29980896,bootstrap_mean,3.00822071998893,NA,3.00822071998893,0.345392301197834,0.114816143277913,3.3188227859505,2.63028000702234,3.34706684022112,10 m,0.04128227598354931,TRUE,70,0.7167868331987801,0,1.9949454151072379,0.08235588719857334,2.9258648327903565,3.0905766071875034,0.1647117743971469,0.027376943005324558
1124_a,8301,34449150,bootstrap_mean,2.95196559179526,NA,2.95196559179526,0.344943274292437,0.116852064689093,2.64013890899501,2.60445995980922,3.32308425251837,10 m,0.04122860700318017,TRUE,70,0.71862429270915,0,1.9949454151072379,0.08224882051225245,2.8697167712830076,3.034214412307512,0.16449764102450448,0.02786239133032449
1414_a,6227,19384651,bootstrap_mean,2.70719015152057,NA,2.70719015152057,0.34490878821178,0.127404714448319,2.39410204965384,2.35011548021243,3.07583400152105,10 m,0.04122448512815767,TRUE,70,0.7257185213086199,0,1.9949454151072379,0.08224059759657466,2.6249495539239955,2.7894307491171446,0.16448119519314908,0.030378581848187466
403_a,8396,35242210,bootstrap_mean,3.02858155694117,NA,3.02858155694117,0.344605528397709,0.113784463755949,3.34178448472741,2.65711722799,3.38286228799239,10 m,0.04118823864757377,TRUE,70,0.72574506000239,0,1.9949454151072379,0.08216828784632003,2.94641326909485,3.11074984478749,0.16433657569263982,0.027130947706526017
518_b,7612,28967466,bootstrap_mean,2.9407334473234,NA,2.9407334473234,0.344480442949563,0.117140995306155,2.63794276584248,2.6018104403941,3.32833130372999,10 m,0.041173288076950205,TRUE,70,0.7265208633358902,0,1.9949454151072379,0.08213846227400132,2.8585949850493986,3.0228719095974013,0.1642769245480027,0.027931284404155092
613_c,8099,32792851,bootstrap_mean,3.02638264554646,NA,3.02638264554646,0.34416406786811,0.113721266666187,3.31466438636897,2.6280113776103,3.36203645840616,10 m,0.0411354740220869,TRUE,70,0.7340250807958602,0,1.9949454151072379,0.08206302529862515,2.944319620247835,3.1084456708450854,0.16412605059725038,0.02711587889237562
