scale,summary_rows,valid_entropy_n,missing_entropy_n,bootstrap_quads_n,exact_quads_n,insufficient_quads_n,between_sd,between_var,between_iqr,mean_entropy,median_entropy,entropy_skewness,within_sd_mean,within_sd_median,within_sd_p90,within_sd_max,within_cv_mean,within_cv_median,within_cv_p90,within_cv_max,boot_se_mean,boot_se_median,boot_se_p90,mean_within_var,median_outlier_reps,quads_cv_gt_005,quads_cv_gt_010,sd_ratio_mean_within_to_between,sd_ratio_median_within_to_between,se_ratio_mean_to_between,within_to_between_var_ratio,icc_like_between_fraction,pct_cv_gt_005,pct_cv_gt_010,stability_class
10 m,1909,1903,6,1866,37,6,0.1084472064692309,0.011760796590979996,0.11987509484933012,2.843486294521384,2.82940872341135,0.2749167812366011,0.0680165390603049,0.0102489562729518,0.23623512261401952,0.346939047981437,0.023971709654322697,0.0036336147386740953,0.08500322976231739,0.134619382699053,0.008129531339278668,0.001224984575324919,0.02823549770778945,0.014301718223895234,1,372,127,0.6271857180535383,0.09450641106057146,0.07496303135835236,1.2160501300451034,0.45125332971580695,0.19935691318327975,0.06806002143622722,Review
20 m,485,485,0,477,8,0,0.09775908257230342,0.00955683822537844,0.10181754421526001,2.8349213867425624,2.8211963429333,-0.0021498722506442655,0.05272881519390954,0.0126797701643786,0.15992967064756003,0.346405013572431,0.01871666937205073,0.00450842140002875,0.05721660953497114,0.125457568244597,0.006302298845606674,0.0015155224060249969,0.019115251783939077,0.0088237156802686,1,60,12,0.539375102614234,0.12970426717129363,0.06446765538072068,0.9232881704366395,0.5199428849879384,0.12578616352201258,0.025157232704402517,Review
50 m,80,80,0,79,1,0,0.07611722430119973,0.00579383183531915,0.08514746916678462,2.8470524162879416,2.832990594462665,1.187033921532284,0.05334836673427843,0.0138783253808204,0.16194457116769664,0.280609594725106,0.018679558601563416,0.00494787634291924,0.05787312167977963,0.099826697335909,0.006376349418207284,0.0016587771544808185,0.01935607845860208,0.007090113558836526,1,11,0,0.7008711526733585,0.18232831672767205,0.08377012531323719,1.2237347856068679,0.44969391425295135,0.13924050632911392,0,Review
