"scenario","scale","spectral_metric","spectral_label","spectral_transform","biodiversity_metric","biodiversity_label","biodiversity_transform","model_formula","x_axis","y_axis","n","pearson_r","spearman_r","r_squared","f_statistic","f_p_value","slope","intercept","spectral_group","biodiversity_group","abs_pearson_r"
"spectral_power2_biodiversity_identity","50m","spec_alpha","Raw PCA alpha hull","power_2","phy_faith","Faith's PD","identity","spectral_metric^2 ~ biodiversity_metric","biodiversity_identity","spectral_power_2",74,0.153613190575811,0.110492410218438,0.0235970123188804,1.74004474422425,0.191313049241962,77.4558708644233,440367.626961237,"raw_pca","phylogenetic",0.153613190575811
"spectral_power2_biodiversity_identity","10m","spec_alpha","Raw PCA alpha hull","power_2","phy_rao","Phylogenetic Rao's Q","identity","spectral_metric^2 ~ biodiversity_metric","biodiversity_identity","spectral_power_2",1741,0.0577663480785222,-0.00178992906540143,0.00333695097032897,5.82238675653895,0.0159263181928579,157.92164930636,288478.04407794,"raw_pca","phylogenetic",0.0577663480785222
"spectral_power2_biodiversity_identity","20m","spec_alpha","Raw PCA alpha hull","power_2","phy_rao","Phylogenetic Rao's Q","identity","spectral_metric^2 ~ biodiversity_metric","biodiversity_identity","spectral_power_2",436,0.149324744962595,0.154596096447189,0.0222978794581441,9.89798373299144,0.0017684734897303,581.45755411398,342563.316820429,"raw_pca","phylogenetic",0.149324744962595
"spectral_power2_biodiversity_identity","50m","spec_alpha","Raw PCA alpha hull","power_2","phy_rao","Phylogenetic Rao's Q","identity","spectral_metric^2 ~ biodiversity_metric","biodiversity_identity","spectral_power_2",74,0.345597344085439,0.237497223250648,0.119437524238909,9.7659189233208,0.00256267771578835,1376.42430695601,256524.312697103,"raw_pca","phylogenetic",0.345597344085439
"spectral_power2_biodiversity_identity","10m","spec_alpha","Raw PCA alpha hull","power_2","phy_afaith","Abundance-weighted Faith's PD","identity","spectral_metric^2 ~ biodiversity_metric","biodiversity_identity","spectral_power_2",1741,0.0432729180376729,0.0363631889286604,0.00187254543549516,3.26246562744522,0.0710552959712038,45.9647674467261,296624.861920137,"raw_pca","phylogenetic",0.0432729180376729
"spectral_power2_biodiversity_identity","20m","spec_alpha","Raw PCA alpha hull","power_2","phy_afaith","Abundance-weighted Faith's PD","identity","spectral_metric^2 ~ biodiversity_metric","biodiversity_identity","spectral_power_2",436,0.2049911920974,0.165161649016149,0.0420213888375133,19.0372546348923,1.60362815817186e-05,108.417072527739,355417.157324973,"raw_pca","phylogenetic",0.2049911920974
"spectral_power2_biodiversity_identity","50m","spec_alpha","Raw PCA alpha hull","power_2","phy_afaith","Abundance-weighted Faith's PD","identity","spectral_metric^2 ~ biodiversity_metric","biodiversity_identity","spectral_power_2",74,0.423639158445713,0.268922621251388,0.179470136568592,15.7481773776035,0.000169243557010977,46.5826343718054,365353.624371986,"raw_pca","phylogenetic",0.423639158445713
"spectral_power2_biodiversity_identity","10m","spec_alpha","Raw PCA alpha hull","power_2","sp_shannon","Shannon diversity","identity","spectral_metric^2 ~ biodiversity_metric","biodiversity_identity","spectral_power_2",1741,-0.0468546118581002,-0.0539126699080307,0.00219535465237322,3.82612143396764,0.0506194599625493,-23124.1289457373,332961.993657851,"raw_pca","shannon",0.0468546118581002
"spectral_power2_biodiversity_identity","20m","spec_alpha","Raw PCA alpha hull","power_2","sp_shannon","Shannon diversity","identity","spectral_metric^2 ~ biodiversity_metric","biodiversity_identity","spectral_power_2",436,-0.102157288263526,-0.111890843569041,0.0104361115453572,4.57703889918435,0.032960411774385,-64375.5398159833,551119.560403851,"raw_pca","shannon",0.102157288263526
"spectral_power2_biodiversity_identity","50m","spec_alpha","Raw PCA alpha hull","power_2","sp_shannon","Shannon diversity","identity","spectral_metric^2 ~ biodiversity_metric","biodiversity_identity","spectral_power_2",74,-0.16384727751326,-0.17251388374676,0.0268459303485074,1.98622915463401,0.163040352532223,-92485.9561357273,752261.26142943,"raw_pca","shannon",0.16384727751326
"spectral_power2_biodiversity_identity","10m","spec_rao_q","Raw PCA Rao's Q","power_2","phy_faith","Faith's PD","identity","spectral_metric^2 ~ biodiversity_metric","biodiversity_identity","spectral_power_2",1744,0.000555349812946429,0.00363295509266002,3.08413414739618e-07,0.000537256334173476,0.981510311358288,0.236623063211677,33334.131546605,"raw_pca","phylogenetic",0.000555349812946429
