Genus,Species,Number of individuals
Acer,negundo,31
Acer,rubrum,2
Acer,saccharum,327
Aesculus,flava,114
Albizia,julibrissin,1
Carpinus,caroliniana,6
Carpinus,caroliniana-septentrionalis,320
Carya,cordiformis,31
Carya,glabra,102
Carya,laciniosa,12
Carya,ovalis,10
Carya,ovata,139
Carya,pallida,1
Carya,sp,3
Carya,tomentosa,74
Celtis,laevigata,59
Diospyros,virginiana,68
Fagus,grandifolia,201
Fraxinus,americana,331
Fraxinus,quadrangulata,12
Gleditsia,triacanthos,1
Juglans,nigra,40
Juniperus,virginiana,73
Liquidambar,benzoin,1
Liquidambar,styraciflua,310
Liriodendron,tulipifera,324
Magnolia,acuminata,64
Nyssa,sylvatica,3
Ostrya,virginiana,5
Oxydendrum,arboreum,21
Pinus,echinata,58
Pinus,virginiana,1
Platanus,occidentalis,11
Prunus,serotina,32
Quercus,alba,335
Quercus,falcata,27
Quercus,montana,21
Quercus,muehlenbergii,221
Quercus,nigra,13
Quercus,pagoda,17
Quercus,rubra,85
Quercus,shumardii,95
Quercus,velutina,23
Sassafras,albidum,5
Tilia,americana,100
Ulmus,alata,38
Ulmus,americana,14
Ulmus,rubra,12
Ulmus,serotina,19
